N	4gram	Losev_Prob	Narrotol
1	в то же время	1	8
2	состоит в том что	1	6
3	во времени и пространстве	1	5
4	мы имеем дело с	1	5
5	дело в том что	4	3
6	здесь мы имеем дело	1	2
7	в войне и мире	1	2
8	в той или иной	2	2
9	еще и потому что	2	2
10	во всяком случае он	1	1
11	по себе но как	1	1
12	с этой точки зрения	2	1
13	в том смысле что	1	1
14	не что иное как	3	1
15	сам по себе а	2	1
16	но еще и потому	1	1
17	том смысле как мы	1	1
18	который в свою очередь	1	1
19	в том смысле как	1	1
20	уж во всяком случае	2	1
21	в том что и	1	1
22	дело здесь не в	1	1
23	бы то ни было	2	1
24	ни в чем не	2	1
25	добра и зла и	1	1
26	в то время как	4	1
27	все это свидетельствует о	1	1
28	в том числе и	1	1
29	одной из этих сторон	1	1
30	в том что он	2	1
31	и потому что оно	1	1
32	в связи с этим	1	1
33	свидетельствует о том что	1	1
34	и с точки зрения	1	1
35	это свидетельствует о том	1	1
36	и тем не менее	1	1
37	одним и тем же	1	1
38	тип в том смысле	1	1
39	в нем не только	1	1
40	и все же не	1	1
