N	3gram	Bakhtin_Fr	Poddanst
1	то же время	14	7
2	в то же	14	7
3	в том что	8	4
4	не только в	1	4
5	с точки зрения	5	3
6	с одной стороны	2	3
7	и если бы	1	2
8	в полной мере	1	2
9	но и в	3	2
10	в значительной мере	1	2
11	и в то	3	2
12	в том числе	6	2
13	одной стороны и	1	2
14	было бы неправильно	1	1
15	там где он	1	1
16	что дело идет	1	1
17	друг с другом	2	1
18	но в общем	2	1
19	совершенно ясно что	1	1
20	именно потому что	1	1
21	и в частности	1	1
22	тех кто не	1	1
23	далеко не все	2	1
24	вместе с тем	2	1
25	но в то	6	1
26	и будущее в	1	1
27	в противоречии с	1	1
28	прежде всего мы	1	1
29	в отрыве от	2	1
30	том числе и	3	1
31	и в формах	1	1
32	не может быть	4	1
33	о котором говорит	1	1
34	и не менее	1	1
35	в большинстве случаев	5	1
36	том что в	1	1
37	в ней и	2	1
38	в отличие от	3	1
39	можно говорить о	2	1
40	и то что	1	1
41	не может исчезнуть	1	1
42	же время в	1	1
43	для того чтобы	8	1
44	и не столько	1	1
45	касается не только	1	1
46	с другой стороны	2	1
47	в последующие века	2	1
48	все это в	1	1
49	и не может	1	1
50	мы не будем	1	1
51	более или менее	2	1
52	так же как	4	1
53	и тех кто	1	1
54	большей степени чем	1	1
55	одно из важнейших	1	1
56	и философской мысли	1	1
