N	3gram	Nazirov_Tr	Myshleni
1	в том что	2	133
2	по сравнению с	1	45
3	с самого начала	1	36
4	в этом случае	1	27
5	о том что	2	25
6	не может быть	1	23
7	смысле этого слова	1	22
8	к тому что	1	22
9	в высшей степени	1	22
10	не только не	1	21
11	в самом деле	1	19
12	в отличие от	2	18
13	во всяком случае	1	18
14	в связи с	1	17
15	и то что	1	15
16	в данном случае	2	15
17	на всем протяжении	1	14
18	точно так же	2	13
19	тем не менее	1	12
20	вместо того чтобы	1	10
21	связаны между собой	1	10
22	как и в	1	9
23	на вопрос о	1	9
24	том что он	1	9
25	то что он	1	8
26	сам по себе	1	8
27	не могут быть	1	8
28	что он не	1	8
29	и вместе с	1	7
30	с тем и	1	7
31	имеет в виду	1	6
32	в обоих случаях	1	6
33	и в частности	2	6
34	и не может	1	6
35	и как бы	2	5
36	но все же	2	5
37	в той же	1	5
38	в конце концов	1	5
39	и в этом	1	5
40	в то же	5	5
41	по нашему мнению	1	5
42	между этими двумя	2	5
43	так и в	3	4
44	как и все	1	4
45	это мы видим	1	4
46	ту же мысль	1	4
47	после того как	1	4
48	в применении к	1	3
49	хотя бы и	1	3
50	но при этом	1	3
51	в скрытом виде	1	3
52	то же время	5	3
53	понятно что в	1	3
54	в известной мере	1	3
55	ответа на вопрос	1	3
56	во всем его	1	3
57	и в самом	2	3
58	на деле же	1	2
59	жизни гораздо важнее	1	2
60	может быть понят	1	2
61	в самой природе	1	2
62	в этой связи	1	2
63	в одном из	1	2
64	за то что	1	2
65	как это часто	1	2
66	в чем же	1	2
67	может быть в	1	2
68	не только к	1	2
69	и в сфере	1	2
70	все же не	1	2
71	и все же	1	2
72	можно так выразиться	1	2
73	я не хочу	1	2
74	может быть не	1	2
75	если можно так	1	2
76	в своей книге	1	2
77	говорит по поводу	1	2
78	сам говорит что	1	2
79	с того что	1	2
80	что все это	1	2
81	с помощью этих	1	2
82	не только по	1	2
83	и при этом	1	2
84	и до конца	1	2
85	и психологического исследования	1	1
86	выходящее за пределы	1	1
87	скрытом виде в	1	1
88	в известной степени	1	1
89	относится то что	1	1
90	об этом прямо	1	1
91	как и его	1	1
92	все это говорит	1	1
93	линии не только	1	1
94	самой природе вещей	1	1
95	бы и не	1	1
96	и хотя сам	1	1
97	он и в	1	1
98	что при таком	1	1
99	создается впечатление что	1	1
100	не может жить	1	1
101	тем чем для	1	1
102	ни разу не	1	1
103	гораздо больше в	1	1
104	с другим в	1	1
105	факт что в	1	1
106	объясняется и то	1	1
107	не имеет для	1	1
108	которой не может	1	1
109	отнюдь не является	1	1
110	которая вся состоит	1	1
111	только один раз	1	1
112	в виду не	1	1
113	это говорит не	1	1
114	распадается на две	1	1
115	и не случайно	2	1
116	тому что оно	1	1
117	предстает перед нами	1	1
118	самое большее что	1	1
119	могло бы и	1	1
120	не играют никакой	1	1
121	значение для понимания	1	1
122	в этом состоит	1	1
123	сводится только к	1	1
124	и то в	1	1
125	который в своей	1	1
126	и он сам	1	1
127	и не быть	1	1
128	все эти черты	1	1
129	в ходе работы	1	1
130	сам автор в	1	1
131	но и на	1	1
132	обстоит дело с	1	1
133	общепринятый взгляд на	1	1
134	и т.д не	1	1
135	к тому типу	1	1
136	уже в момент	1	1
137	он противопоставляет свою	1	1
138	две неравные части	1	1
139	не только о	1	1
140	на две неравные	1	1
141	он сам говорит	1	1
142	несмотря на все	1	1
143	не в силах	2	1
144	приобретает символическое значение	1	1
145	никакой роли в	1	1
146	играют никакой роли	1	1
147	друг друга и	1	1
148	это может быть	1	1
149	и должно быть	1	1
150	не имеет своих	1	1
151	ведет к тому	1	1
152	мы бы сказали	1	1
153	в разговоре с	1	1
154	должно быть по	1	1
155	в этом мы	1	1
156	одно из самых	1	1
157	она все же	1	1
158	этим объясняется и	1	1
159	и не могли	1	1
160	с первого же	2	1
161	о чем он	2	1
162	в таком виде	1	1
163	в этом варианте	1	1
164	давно известно что	1	1
165	это понятие в	1	1
166	и в истории	1	1
167	это и есть	1	1
168	начала и до	1	1
169	и в ходе	1	1
