N	2gram	Tiupa_Lite	RusskieA
1	и в	26	79
2	в том	22	64
3	том что	19	59
4	что в	7	57
5	не только	29	41
6	во время	1	38
7	так как	2	34
8	в этом	19	33
9	состоит в	18	32
10	как бы	8	31
11	но и	25	31
12	и п	2	30
13	как и	13	28
14	и на	5	28
15	может быть	24	28
16	в этот	1	26
17	и м	2	25
18	этот день	1	25
19	одна из	8	24
20	о том	3	23
21	и т	2	23
22	при этом	23	22
23	в поле	2	22
24	это не	4	20
25	а в	5	20
26	как мы	2	20
27	из них	5	19
28	представляют собой	1	18
29	с тем	2	17
30	таким образом	4	17
31	то что	14	17
32	вместе с	5	17
33	потому что	5	17
34	во многих	3	16
35	мы не	5	16
36	один из	7	15
37	в них	1	14
38	и с	4	14
39	не менее	11	14
40	тем не	4	14
41	как это	9	14
42	и что	2	14
43	мы видели	1	14
44	и не	19	14
45	для нас	3	14
46	у нас	5	14
47	в xix	1	14
48	в день	1	13
49	уже не	9	13
50	к этому	2	13
51	в некоторых	1	13
52	так что	4	13
53	в землю	1	13
54	и по	1	13
55	как в	5	13
56	в которых	1	13
57	еще не	4	13
58	не может	10	13
59	тем что	6	12
60	этом случае	2	12
61	мы имеем	2	12
62	в виде	1	12
63	а затем	3	11
64	следующим образом	2	11
65	не имеет	2	11
66	но это	2	11
67	а на	1	11
68	далеко не	4	11
69	все же	6	10
70	так например	1	10
71	представляет собой	5	10
72	том чтобы	1	10
73	его в	4	10
74	между тем	2	10
75	что и	3	10
76	эту теорию	1	10
77	так и	7	10
78	или в	1	10
79	а также	5	10
80	по существу	4	10
81	и других	4	10
82	то же	13	9
83	что они	1	9
84	к жизни	2	9
85	с ней	1	9
86	и все	1	9
87	данном случае	6	9
88	того как	1	9
89	земли и	1	9
90	том же	3	9
91	но в	5	9
92	в г	1	9
93	но не	8	9
94	одно из	3	8
95	в этих	2	8
96	что по	1	8
97	так же	1	8
98	связи с	7	8
99	на себя	4	8
100	во всех	4	8
101	что это	1	8
102	подобно тому	4	8
103	в россии	2	8
104	того чтобы	1	8
105	как например	1	8
106	того что	7	8
107	ее в	1	8
108	в данном	7	8
109	не все	1	8
110	как уже	3	8
111	тому как	4	8
112	для того	2	8
113	же в	6	8
114	в это	1	7
115	в руках	2	7
116	в своем	12	7
117	к нему	1	7
118	не в	11	7
119	а с	2	7
120	было бы	4	7
121	только в	8	7
122	с этого	1	7
123	еще в	7	7
124	это время	1	7
125	из этих	2	7
126	а не	28	7
127	до конца	3	7
128	ничего не	3	7
129	не можем	2	7
130	и как	2	7
131	по этому	2	7
132	как будто	2	7
133	в эти	1	7
134	для этого	5	7
135	в году	18	6
136	с собой	4	6
137	же как	3	6
138	к тому	3	6
139	что этот	1	6
140	не всегда	1	6
141	только на	3	6
142	но они	1	6
143	в одном	2	6
