N	2gram	Propp_Morf	Retstnzi
1	не может	19	4
2	и в	17	3
3	если в	7	2
4	один из	7	2
5	при сравнении	1	1
6	может и	1	1
7	в особенности	1	1
8	несмотря на	4	1
9	может быть	61	1
10	не только	8	1
11	точки зрения	7	1
12	с точки	6	1
13	формальных приемов	1	1
14	может не	2	1
15	становится особенно	1	1
16	для него	2	1
17	с теми	4	1
18	тех же	4	1
19	в каждом	1	1
20	связи с	12	1
21	может спасти	1	1
22	бы на	1	1
23	если один	1	1
24	с другими	2	1
25	если бы	3	1
26	конечно и	1	1
27	на примере	1	1
28	в его	1	1
29	значительное количество	1	1
30	зрения их	1	1
31	влияния на	1	1
32	не менее	7	1
33	и заставляет	2	1
34	но и	9	1
35	вторая половина	2	1
36	в выборе	1	1
37	мы видим	15	1
38	к тому	5	1
39	не смог	1	1
40	во второй	2	1
41	можно назвать	3	1
42	о формах	3	1
43	тому что	5	1
44	вопрос что	3	1
45	теми или	1	1
46	в то	4	1
47	из этих	2	1
48	и больше	2	1
49	он в	1	1
50	же время	1	1
51	то же	10	1
52	при анализе	1	1
53	а не	11	1
54	бы в	2	1
55	и не	16	1
56	и все	1	1
57	и на	1	1
