N	3gram	Ircho_Kome	OGranits
1	до тех пор	1	4
2	по отношению к	5	3
3	в том что	13	2
4	не что иное	1	2
5	того или иного	1	2
6	в зависимости от	1	2
7	в данном случае	1	2
8	что иное как	1	2
9	с одной стороны	5	2
10	с другой стороны	6	2
11	с самого начала	2	2
12	и один из	1	1
13	само собой разумеется	1	1
14	и тем что	2	1
15	в борьбе с	1	1
16	в течение всей	1	1
17	и тот же	1	1
18	чуть ли не	2	1
19	так и для	1	1
20	греции и в	1	1
21	подобно тому как	1	1
22	если говорить о	1	1
23	в нашу задачу	1	1
24	так же как	1	1
25	на то что	2	1
26	для того чтобы	3	1
27	только потому что	2	1
28	том что в	1	1
29	здесь мы не	1	1
30	можно говорить о	1	1
31	в чем же	1	1
32	хотя бы в	1	1
33	тех случаях когда	1	1
34	еще и тем	1	1
35	в отличие от	3	1
36	этой точки зрения	1	1
37	втором году жизни	1	1
38	как и в	2	1
39	в связи с	3	1
40	то же самое	2	1
41	то что в	1	1
42	к тому что	3	1
43	тем не менее	2	1
44	и это особенно	1	1
45	в предисловии к	1	1
46	и к тому	1	1
47	только в связи	1	1
48	в этом отношении	3	1
49	в одном случае	1	1
50	и в их	1	1
51	своего времени в	1	1
52	с этим же	1	1
53	то же время	5	1
54	более или менее	1	1
55	в то же	5	1
56	само по себе	1	1
57	вместе с ними	1	1
58	и особенно его	1	1
59	с этой точки	1	1
60	в течение всего	1	1
61	не мог бы	1	1
62	можно было бы	3	1
63	но не менее	1	1
64	и подобно тому	1	1
65	в тех случаях	1	1
66	состоит в том	1	1
67	потому что они	1	1
