N	3gram	Medvedev_V	Vladivir
1	у вл соловьева	1	85
2	в том что	5	29
3	о том что	3	22
4	в письме к	11	13
5	в то время	1	13
6	во всяком случае	2	12
7	в связи с	4	12
8	более или менее	6	11
9	в конце концов	2	11
10	к тому же	1	11
11	не может быть	8	10
12	в то же	5	10
13	вместе с тем	4	10
14	в этом смысле	1	9
15	у него в	1	9
16	то же время	5	9
17	на то что	1	8
18	так или иначе	1	6
19	как это мы	1	6
20	в данном случае	1	6
21	с другой стороны	8	6
22	как мы знаем	1	6
23	но даже и	1	5
24	и в то	3	5
25	то что в	1	5
26	не говоря уже	1	5
27	не только в	2	5
28	то время как	1	5
29	можно сказать что	4	4
30	говоря уже о	1	4
31	в том же	1	4
32	для того чтобы	3	4
33	в этом отношении	14	4
34	и вместе с	1	4
35	еще в году	1	4
36	только в году	1	4
37	и т д	16	4
38	от декабря года	1	4
39	в том чтобы	2	4
40	по крайней мере	2	4
41	можно было бы	2	4
42	с одной стороны	2	4
43	также и в	2	4
44	что он не	1	3
45	по существу же	1	3
46	хотя бы и	5	3
47	в самом деле	1	3
48	в том числе	2	3
49	что в своем	1	3
50	не в том	2	3
51	мы знаем что	2	3
52	в том случае	1	3
53	ничего общего с	1	3
54	по себе в	1	3
55	иметь в виду	2	3
56	даже и в	1	3
57	а в том	1	3
58	не только не	2	3
59	вот что пишет	2	3
60	по этому поводу	7	3
61	это вовсе не	1	3
62	к тому что	4	3
63	только то что	2	3
64	в свою очередь	1	3
65	от июля года	2	3
66	в этом же	1	3
67	только в том	2	3
68	н н страхову	1	3
69	хотя и не	1	3
70	так же как	1	2
71	одной стороны и	2	2
72	имеет ничего общего	1	2
73	в конце года	1	2
74	но вместе с	1	2
75	года по поводу	1	2
76	а значит и	3	2
77	в таком случае	1	2
78	до сих пор	2	2
79	его точки зрения	1	2
80	бросается в глаза	1	2
81	за это время	1	2
82	в этой области	3	2
83	из них не	2	2
84	не имеет ничего	1	2
85	не может не	2	2
86	а не только	1	2
87	даже и не	1	2
88	уже о том	1	2
89	те или иные	1	2
90	сих пор не	1	2
91	в году и	1	2
92	он пишет в	1	2
93	и без того	1	2
94	в которой он	1	2
95	с его точки	1	2
96	или как говорит	1	2
97	как это было	1	2
98	но у него	1	2
99	о свободе воли	1	2
100	но в то	1	2
101	том что и	1	2
102	одно и то	1	2
103	и то же	1	2
104	толстого в его	1	2
105	по одному тому	2	2
106	в ноябре года	1	2
107	главным образом в	1	2
108	в этом случае	1	2
109	московского университета а	1	2
110	вещи в себе	1	2
111	том случае если	1	2
112	по этому вопросу	2	2
113	как это делает	3	2
114	мы не будем	1	2
115	к н н	1	2
116	это и есть	3	2
117	после того как	2	2
118	и это самое	1	2
119	может быть и	1	2
120	можно говорить только	1	2
121	да и сам	1	1
122	при помощи которых	1	1
123	в частности к	2	1
124	бы и не	3	1
125	все то что	1	1
126	как будто бы	1	1
127	и психологии в	1	1
128	с которого начинается	1	1
129	речь идет только	1	1
130	мы видим что	1	1
131	но и у	1	1
132	не в этом	1	1
133	и в результате	1	1
134	письме к страхову	1	1
135	между ними нет	1	1
136	до последних дней	1	1
137	мало чем отличается	1	1
138	дело не в	1	1
139	прежде всего не	2	1
140	сказать что ни	1	1
141	не значит что	1	1
142	еще из другого	1	1
143	и многих других	1	1
144	не механически и	1	1
145	далеко не всегда	1	1
146	об этом пишет	1	1
147	об этом у	1	1
148	от августа года	1	1
149	уже по одному	2	1
150	говорить не о	2	1
151	кроме того что	1	1
152	них не может	1	1
153	три года в	1	1
154	той или иной	1	1
155	об этом же	1	1
156	и есть для	1	1
157	а потому и	1	1
158	и никогда не	2	1
159	что во всех	1	1
160	в ней не	1	1
161	чем иным как	1	1
162	в существе своем	1	1
163	от октября года	1	1
164	в целом и	1	1
165	каждой из этих	2	1
166	то же самое	1	1
167	письме к а	2	1
168	с по год	1	1
169	эта не только	1	1
170	сама по себе	1	1
171	уже в самых	1	1
172	и сводится к	1	1
173	в силу чего	2	1
174	приходится признать что	1	1
175	но все же	1	1
176	лицом к лицу	1	1
177	уже есть и	1	1
178	могут привести к	1	1
179	письме к н	2	1
180	не только у	1	1
181	нет никаких оснований	2	1
182	письмо к н	1	1
183	о том как	3	1
184	что даже и	1	1
185	на основании всех	1	1
186	и невозможно и	1	1
187	только тогда когда	1	1
188	мы имеем дело	1	1
189	это то что	1	1
190	на вопрос что	1	1
191	что пишет о	1	1
192	говорит в письме	1	1
193	этому поводу с	1	1
194	чуть ли не	2	1
195	может быть в	1	1
196	равно как и	4	1
197	в значительной мере	3	1
198	по существу своему	1	1
199	при всем своем	1	1
200	в каждой из	1	1
201	в какой мере	1	1
