N	2gram	Voloshinov	IolandNe
1	и с	8	3
2	что в	3	2
3	не утверждал	1	2
4	он не	2	2
5	ничего не	1	2
6	и не	4	2
7	в этом	9	2
8	говорить о	2	1
9	все эти	5	1
10	для того	1	1
11	а в	3	1
12	и о	2	1
13	это было	1	1
14	и со	1	1
15	и та	1	1
16	что для	1	1
17	для него	6	1
18	тех же	3	1
19	не случайно	1	1
20	только что	1	1
21	от нее	1	1
22	и чрезвычайно	1	1
23	не слишком	1	1
24	того же	2	1
25	нам в	1	1
26	художественного творчества	4	1
27	и др	3	1
28	жизни и	3	1
29	с другой	1	1
30	точно и	1	1
31	в эту	1	1
32	я не	1	1
33	себя в	1	1
34	к отцу	6	1
35	с любым	1	1
36	то и	1	1
37	и еще	1	1
38	что при	1	1
39	если бы	1	1
40	и сам	1	1
41	а с	1	1
42	ненависть к	2	1
43	только для	5	1
44	по поводу	1	1
45	так и	4	1
46	в основе	3	1
47	о ней	1	1
48	от этого	1	1
49	его ученики	3	1
50	того чтобы	1	1
51	а для	1	1
52	этим и	1	1
53	не дает	1	1
54	и в	16	1
55	никогда не	2	1
56	все это	4	1
57	со всеми	2	1
58	в них	2	1
