N	3gram	Trubetskoy	EvropaiE
1	с точки зрения	9	16
2	в то же	10	15
3	то же время	10	14
4	в том что	7	6
5	так же как	1	5
6	для того чтобы	6	5
7	того или иного	2	4
8	той или иной	3	4
9	то ни было	1	4
10	бы то ни	4	4
11	и в этом	1	4
12	друг с другом	14	3
13	в применении к	1	3
14	можно было бы	3	3
15	заключает в себе	1	3
16	как бы ни	1	3
17	во всяком случае	6	3
18	и прежде всего	1	3
19	в этом отношении	1	3
20	и в частности	1	2
21	которое в последние	1	2
22	но в то	1	2
23	и только в	1	2
24	не может быть	4	2
25	на то что	4	2
26	в большинстве случаев	2	2
27	в данном случае	3	2
28	прежде всего в	1	2
29	заключается в том	1	2
30	к тому чтобы	4	2
31	только в том	2	2
32	сплошь и рядом	1	2
33	друг от друга	2	2
34	в свою очередь	1	2
35	между прочим и	1	2
36	на земном шаре	1	2
37	или хотя бы	1	2
38	представителей данного народа	1	2
39	говорить не о	1	1
40	в противном случае	1	1
41	условии если в	1	1
42	к европейской культуре	1	1
43	в том случае	4	1
44	и не только	1	1
45	фактом что к	1	1
46	тех изменений в	1	1
47	и с точки	1	1
48	ибо в своем	1	1
49	дело в том	1	1
50	смысле этого слова	1	1
51	о котором мы	1	1
52	стремление каждого народа	1	1
53	речь идет о	1	1
54	в лучшем случае	3	1
55	всех этих случаях	1	1
56	которая как мы	1	1
57	твердо помнить что	1	1
58	отказаться от своей	1	1
59	в значительной мере	2	1
60	существующих на земном	1	1
61	к тому что	2	1
62	том числе и	1	1
63	этого отнюдь не	1	1
64	последнее время в	1	1
65	в полной мере	1	1
66	тех или иных	1	1
67	и тем самым	2	1
68	во многих случаях	1	1
69	есть то что	1	1
70	во всех этих	1	1
71	и ту же	1	1
72	несмотря на то	1	1
73	и в своем	1	1
74	и то и	1	1
75	котором мы говорили	1	1
76	по сие время	1	1
77	только в виде	1	1
78	о которых мы	1	1
79	и того же	1	1
80	из всего этого	1	1
81	то и другое	1	1
82	не может не	3	1
83	в силу этого	1	1
84	одну и ту	1	1
85	все что по	1	1
86	к участию в	1	1
87	себя как на	2	1
88	в связи с	1	1
89	том случае если	3	1
90	в том же	1	1
91	же время в	1	1
92	в том числе	1	1
93	с отказом от	1	1
94	но как бы	1	1
95	древних галлов и	1	1
96	говорить о том	1	1
97	россии что же	1	1
98	народов и культур	1	1
99	точки зрения этих	1	1
100	более или менее	4	1
101	это зависит от	1	1
102	мы говорили в	2	1
103	в значительной степени	1	1
104	россию в ее	1	1
105	на этот вопрос	1	1
106	совершенно очевидно также	1	1
107	это потому что	2	1
108	но и для	1	1
109	и по сие	1	1
110	к тому же	1	1
111	что во многих	1	1
112	совершенно очевидно что	1	1
113	одного и того	1	1
114	как бы то	1	1
115	случае если будет	1	1
116	друг к другу	1	1
