N	4gram	Propp_Russ	Psycholo
1	в то время как	1	13
2	не что иное как	3	6
3	так же как и	3	5
4	в том что в	6	4
5	одного и того же	1	4
6	состоит в том что	16	4
7	одна и та же	1	4
8	а как раз наоборот	1	3
9	одни и те же	1	3
10	привело к тому что	2	3
11	что в этом случае	2	2
12	в том что они	1	2
13	вместе с тем и	2	2
14	приходит к выводу что	1	2
15	и т д и	1	2
16	ни одно из этих	2	2
17	но вместе с тем	3	2
18	приводит к тому что	1	2
19	что в один из	1	1
20	представлять себе дело так	1	1
21	делается для того чтобы	1	1
22	в том что это	2	1
23	сомнения в том что	1	1
24	как мы увидим ниже	1	1
25	мы увидим ниже что	1	1
26	только о том что	1	1
27	но совершенно очевидно что	1	1
28	одно из этих толкований	1	1
29	не потому что они	1	1
30	к тому что в	1	1
31	и т д с	1	1
32	на то что и	1	1
33	нас совершенно очевидно что	1	1
34	каждый из этих элементов	1	1
35	из этих толкований не	1	1
36	такое же значение как	1	1
37	в отличие от других	1	1
38	это приводит к тому	1	1
39	в том что ее	1	1
40	но это не дает	1	1
41	бросается в глаза что	1	1
42	есть вместе с тем	1	1
43	которое в свою очередь	1	1
44	одном и том же	1	1
45	те мыслительные процессы которые	1	1
46	в одни и те	1	1
47	как это имеет место	3	1
48	прав когда полагает что	1	1
49	перед нами когда мы	1	1
50	для того чтобы вызвать	1	1
51	это делается для того	1	1
52	себе дело так будто	1	1
