N	2gram	Savitsky_P	Vladivir
1	и в	14	116
2	то что	4	71
3	и не	12	67
4	не только	17	65
5	в этом	10	53
6	в том	9	52
7	том что	4	51
8	что в	4	48
9	но и	6	47
10	в его	2	40
11	и с	2	39
12	также и	1	36
13	потому что	3	33
14	не может	4	31
15	только в	7	30
16	никогда не	1	29
17	соловьев и	1	28
18	а в	4	27
19	соловьева и	1	27
20	не было	2	26
21	в себе	3	25
22	но в	9	25
23	в то	7	25
24	и то	1	25
25	а также	4	24
26	точки зрения	3	23
27	между прочим	2	23
28	может быть	5	23
29	он был	1	22
30	в виде	2	22
31	вместе с	1	21
32	и что	1	20
33	в своем	4	20
34	для нас	2	20
35	прежде всего	3	20
36	не менее	2	19
37	как раз	2	19
38	и потому	4	19
39	как и	1	18
40	н н	3	18
41	не в	5	18
42	хотя и	3	18
43	с его	1	18
44	что и	1	17
45	в этой	1	17
46	и если	4	17
47	а не	2	17
48	все же	1	16
49	не есть	1	16
50	было бы	6	16
51	того что	2	16
52	в котором	4	16
53	а н	5	16
54	и к	4	15
55	то же	9	15
56	в эти	1	15
57	иной раз	1	15
58	в с	4	14
59	и на	1	14
60	уже в	1	14
61	и как	3	14
62	в результате	1	13
63	с тем	3	13
64	так же	1	13
65	не просто	1	13
66	что это	1	13
67	да и	2	13
68	по себе	4	12
69	только на	1	12
70	и это	2	12
71	и по	1	12
72	в нем	3	12
73	всяком случае	1	12
74	во всяком	1	12
75	более или	1	11
76	в данном	1	11
77	хотя бы	8	11
78	в которой	1	11
79	на то	1	11
80	и здесь	1	11
81	в основном	1	11
82	никак не	2	11
83	в отношении	10	11
84	еще в	1	11
85	все это	2	11
86	или менее	1	11
87	мы должны	4	11
88	не очень	1	11
89	и о	5	11
90	в самом	1	10
91	что все	1	10
92	с точки	3	10
93	в качестве	9	10
94	что его	1	10
95	отнюдь не	2	10
96	в россии	3	10
97	еще не	1	10
98	в истории	1	10
99	в ней	6	10
100	но не	3	10
101	именно в	2	9
102	с этим	2	9
103	с другой	5	9
104	мы знаем	1	9
105	и притом	1	9
106	но как	1	9
107	а с	1	9
108	этом смысле	1	9
109	в начале	2	9
110	оно есть	1	9
111	отношения к	2	9
112	что мы	3	9
113	что если	1	9
114	это не	3	9
115	же время	7	9
116	можно судить	1	9
117	не столько	2	8
118	в этих	1	8
119	в это	1	8
120	все существующее	1	8
121	себя в	1	8
122	в смысле	6	8
123	и особенно	1	8
124	со стороны	2	8
125	должно быть	2	8
126	и и	2	8
127	как бы	4	8
128	тот же	3	8
129	xix века	6	8
130	и я	1	8
131	из этих	1	8
132	мы и	1	7
133	к этой	1	7
134	в них	2	7
135	и мы	2	7
136	м и	2	7
137	и есть	2	7
138	если бы	4	7
139	судить по	1	7
140	не имеет	1	7
141	в каком	1	7
142	бы и	1	7
143	и вот	2	7
144	того чтобы	1	7
145	нисколько не	1	7
146	же в	4	7
147	был и	1	6
148	можно говорить	1	6
149	и очень	1	6
150	мысли и	1	6
151	те же	1	6
152	другой стороны	1	6
153	для того	3	6
154	в отличие	1	6
155	настоящее время	1	6
156	если мы	1	6
157	его в	1	6
158	на себя	1	6
159	главным образом	2	6
160	не с	1	6
161	но на	1	6
162	в сравнении	3	6
163	и теперь	1	6
164	на основании	1	6
165	в настоящее	1	6
166	м а	2	6
167	мы не	3	6
168	и всегда	1	6
169	в общем	2	6
170	россия и	1	6
171	тем более	2	6
172	отличие от	1	6
173	в жизни	2	6
174	есть и	1	6
175	само по	1	6
176	есть не	2	6
177	тех кто	4	5
178	еще более	2	5
179	отношением к	1	5
180	вопрос о	1	5
181	не вполне	1	5
182	как на	2	5
183	и еще	1	5
184	у с	1	5
185	из них	2	5
186	во всех	2	5
187	сравнении с	3	5
188	в философии	1	5
189	и весьма	2	5
190	и тем	2	5
191	последние годы	1	5
192	с которым	1	5
193	с с	2	5
194	в частности	2	5
195	сводится к	3	5
196	нет ничего	1	5
197	е н	5	5
198	по преимуществу	1	5
199	друг друга	1	5
200	что с	1	5
201	где он	1	5
202	место в	1	5
203	и без	3	5
204	только к	1	5
205	эти последние	1	5
206	она не	1	5
207	церкви и	2	5
208	далеко не	1	5
209	только то	1	5
210	которое в	2	5
211	в области	11	5
212	и только	1	5
213	а м	1	5
214	не к	2	5
215	и другие	1	4
216	только что	1	4
217	относиться к	1	4
218	об отношении	1	4
219	наряду с	3	4
220	были в	1	4
221	она есть	3	4
222	с одной	3	4
223	время в	2	4
224	на этих	2	4
225	философской мысли	1	4
226	мы можем	1	4
227	не о	2	4
228	вселенской церкви	1	4
229	но для	1	4
230	в последние	2	4
231	ясно что	1	4
232	для тех	2	4
233	в статье	2	4
234	н и	8	4
235	с и	1	4
236	заключается в	3	4
237	есть нечто	2	4
238	и т	3	4
239	ни к	1	4
240	и более	1	4
241	с которой	1	4
242	и вселенская	3	4
243	знаем что	1	4
244	т д	1	4
245	как к	1	4
246	на путях	4	4
247	тем самым	3	4
248	не будем	2	4
249	к а	1	4
250	этом не	1	4
251	не все	1	4
252	владимира соловьева	1	4
253	одной стороны	3	4
254	россии и	4	4
255	и других	2	4
256	она всегда	1	3
257	не как	1	3
258	исходить из	1	3
259	д н	2	3
260	что по	1	3
261	притом в	1	3
262	веры и	1	3
263	в природе	1	3
264	когда в	1	3
265	казалось бы	1	3
266	и который	1	3
267	только как	1	3
268	во многих	1	3
269	не нужно	2	3
270	находится в	1	3
271	леонтьева и	1	3
272	наука и	1	3
273	не будут	1	3
274	гораздо более	1	3
275	можно думать	1	3
276	начала и	2	3
277	и через	1	3
278	в тот	2	3
279	к жизни	1	3
280	что не	1	3
281	я и	3	3
282	по одному	1	3
283	славянофилов и	1	3
284	же как	1	3
285	в мире	2	3
286	и м	1	3
287	одно и	1	3
288	не были	1	3
289	не могла	1	3
290	как известно	1	3
291	возможно что	1	3
292	что есть	1	3
293	в силу	2	3
294	которая и	1	3
295	и ее	1	3
296	от нее	1	3
297	также что	1	3
298	и при	1	3
299	для них	2	3
300	с ними	3	3
301	в которых	5	3
302	но о	2	3
303	и вся	1	3
304	отношении к	5	3
305	в статьях	1	3
306	с того	1	3
307	этой области	1	3
308	том числе	2	3
309	ни на	1	3
310	с богом	1	3
311	история и	1	3
312	более что	1	3
