N	3gram	Losev_Vesc	FransuaR
1	то же время	4	55
2	в то же	5	55
3	в том что	9	27
4	до сих пор	1	27
5	с точки зрения	6	20
6	но в то	1	20
7	в этом отношении	2	20
8	для того чтобы	2	17
9	о том что	4	17
10	в связи с	1	16
11	но и в	1	15
12	нужно сказать что	2	14
13	и прежде всего	1	14
14	не может быть	22	13
15	дело в том	4	13
16	с одной стороны	3	13
17	в той же	1	13
18	и в то	3	12
19	с другой стороны	3	12
20	мы уже сказали	1	12
21	все то что	2	11
22	можно сказать что	3	11
23	в той или	2	10
24	самом же деле	1	10
25	таким образом и	1	10
26	на самом же	1	10
27	в данном случае	2	10
28	в конце концов	2	10
29	не только в	5	10
30	мы видим что	2	9
31	в свое время	2	9
32	более или менее	4	8
33	мы видели что	3	8
34	в самом деле	7	7
35	в то время	4	7
36	о том как	4	7
37	в чем же	5	7
38	можно было бы	3	7
39	на первый план	1	7
40	в отрыве от	3	7
41	подобно тому как	5	7
42	как мы видим	1	7
43	и в особенности	1	6
44	но все же	2	6
45	в xix веке	1	6
46	и во всех	1	6
47	даже и в	1	6
48	в свою очередь	5	6
49	это одна из	1	6
50	в новое время	1	6
51	одной стороны и	1	5
52	в применении к	2	5
53	друг с другом	2	5
54	то же самое	1	5
55	по сравнению с	7	5
56	не было ни	2	5
57	и в частности	2	5
58	во всяком случае	2	5
59	и тот же	1	5
60	в первом случае	2	5
61	потому что он	1	5
62	вместо того чтобы	1	5
63	только то что	3	5
64	как раз в	2	5
65	это и есть	4	5
66	в основе своей	2	5
67	то что в	1	4
68	в собственном смысле	3	4
69	но даже и	2	4
70	прежде всего на	1	4
71	не нуждается в	1	4
72	так же как	2	4
73	и то что	5	4
74	в самом начале	1	4
75	что и в	1	4
76	вовсе не в	1	4
77	может быть и	1	4
78	во втором случае	1	4
79	как раз и	2	4
80	и не может	1	4
81	мы находим в	2	4
82	это уже не	1	4
83	и в самом	1	4
84	а следовательно и	2	4
85	и во всей	1	4
86	один и тот	1	4
87	и как бы	1	3
88	потому что это	1	3
89	жизни и мира	1	3
90	и ни на	1	3
