N	2gram	Potebnia_M	EvropaiE
1	и в	58	37
2	в отношении	1	32
3	точки зрения	8	23
4	что в	34	21
5	не только	32	18
6	с точки	4	17
7	в то	6	16
8	то же	13	15
9	хотя бы	4	15
10	отношении к	1	15
11	и не	34	14
12	но и	26	14
13	же время	4	14
14	в своем	3	14
15	но в	12	14
16	в этом	18	12
17	в том	38	11
18	в их	3	11
19	в области	1	11
20	с и	3	10
21	так и	17	10
22	в себе	22	9
23	прежде всего	8	9
24	только в	36	9
25	земного шара	1	9
26	в смысле	4	9
27	все более	3	9
28	так же	7	9
29	не может	30	9
30	с одной	7	8
31	в ее	2	8
32	в своей	3	8
33	одной стороны	6	8
34	между тем	7	8
35	было бы	21	8
36	думать что	6	8
37	к тому	5	8
38	так как	29	7
39	того что	15	7
40	как и	16	7
41	между прочим	5	7
42	с другой	13	7
43	нам кажется	2	7
44	то есть	69	6
45	с этой	3	6
46	и даже	4	6
47	вслед за	2	6
48	и на	8	6
49	том что	21	6
50	вовсе не	13	6
51	во всех	12	6
52	может быть	47	6
53	того чтобы	4	6
54	для того	8	6
55	стороны и	3	6
56	то что	24	6
57	как бы	12	6
58	на то	5	6
59	в той	1	5
60	тем самым	6	5
61	в виде	1	5
62	этой точки	2	5
63	не в	23	5
64	но не	19	5
65	от этого	2	5
66	со стороны	11	5
67	и потому	7	5
68	которую мы	1	5
69	в течение	2	5
70	же как	1	5
71	как мы	3	5
72	столь же	6	5
73	но если	4	5
74	и по	8	5
75	в самом	5	4
76	бы то	2	4
77	то в	6	4
78	мы не	17	4
79	даже в	1	4
80	ни было	4	4
81	того или	1	4
82	для нас	29	4
83	не на	3	4
84	чем в	2	4
85	и притом	6	4
86	само по	6	4
87	в некотором	2	4
88	именно в	2	4
89	в процессе	1	4
90	по себе	24	4
91	не имеет	9	4
92	в каком	7	4
93	тем более	2	4
94	в полной	1	4
95	вопрос о	5	4
96	но даже	2	4
97	то ни	3	4
98	как это	1	4
99	несмотря на	5	4
100	к ней	3	4
101	в ней	9	4
102	сказать что	5	4
103	можно сказать	1	4
104	во многих	5	4
105	независимо от	15	4
106	применении к	3	3
107	но на	3	3
108	и мы	1	3
109	приближается к	2	3
110	различия в	3	3
111	всех случаях	1	3
112	можно думать	4	3
113	в применении	3	3
114	из всех	1	3
115	можно считать	2	3
116	этом отношении	1	3
117	по общему	2	3
118	ее в	1	3
119	что и	16	3
120	в результате	1	3
121	мы можем	10	3
122	себе не	3	3
123	можно было	1	3
124	на себя	1	3
125	не более	4	3
126	дело в	3	3
127	тем что	15	3
128	очевидно что	5	3
129	в таком	7	3
130	в стороне	5	3
131	большинстве случаев	1	3
132	как в	18	3
133	в которых	2	3
134	по своим	1	3
135	в известном	2	3
136	бы ни	8	3
137	в них	7	3
138	в психологии	1	3
139	во всяком	9	3
140	тем в	2	3
141	ни на	1	3
142	во все	2	3
143	в данном	1	3
144	некотором смысле	2	3
145	и народов	2	3
146	в свою	8	3
147	не дает	2	3
148	потому что	89	3
149	и тем	5	3
150	во второй	1	3
151	когда он	1	3
152	не будет	2	3
153	и для	8	3
154	народов и	1	3
155	заключает в	6	3
156	этом смысле	4	3
157	уже и	2	3
158	новое слово	1	3
159	себе в	2	3
160	в прошлом	1	3
161	известной степени	1	3
162	и южной	1	3
163	существования в	2	3
164	к ним	3	3
165	как на	5	3
166	с тем	9	3
167	это так	1	3
168	и от	5	3
169	место в	3	3
170	о том	6	3
171	в общем	1	3
172	и прежде	1	3
173	от них	2	3
174	мы видели	5	3
175	там где	8	3
176	и только	6	3
177	всяком случае	7	3
178	не из	3	3
179	того же	13	3
180	из них	2	3
181	никогда не	7	3
182	таким образом	21	2
183	именно к	1	2
184	и то	4	2
185	в другой	4	2
186	во втором	6	2
187	и во	6	2
188	влияние на	4	2
189	мы видим	5	2
190	и этот	1	2
191	говоря уже	1	2
192	только те	1	2
193	этот процесс	1	2
194	если в	3	2
195	на язык	7	2
196	и того	6	2
197	должна быть	4	2
198	но еще	1	2
199	тогда когда	15	2
200	и имеет	1	2
201	в его	7	2
202	свою очередь	8	2
203	или по	2	2
204	одна и	1	2
205	еще более	2	2
206	мира но	1	2
207	что это	5	2
208	это значит	1	2
209	хотя и	6	2
210	наблюдения над	1	2
211	с этим	11	2
212	будет ли	1	2
213	в некоторых	4	2
214	какой бы	1	2
215	его на	3	2
216	и если	6	2
217	из того	3	2
218	мира то	1	2
219	например с	2	2
220	для них	2	2
221	с другими	3	2
222	то не	5	2
223	другой стороны	7	2
224	в этих	10	2
225	не могут	10	2
226	с мы	1	2
227	но с	3	2
228	в своих	4	2
229	как же	1	2
230	нужно иметь	1	2
231	от друга	3	2
232	если бы	23	2
233	или в	4	2
234	что к	2	2
235	и с	3	2
236	заключается в	3	2
237	и все	6	2
238	за тем	2	2
239	то окажется	1	2
240	относятся к	2	2
241	стороны в	1	2
242	народов которые	1	2
243	в какой	2	2
244	имеет место	4	2
245	вместе с	12	2
246	и как	11	2
247	нас к	1	2
248	как не	4	2
249	помнить что	6	2
250	притом в	1	2
251	есть в	4	2
252	не есть	13	2
253	в мире	3	2
254	одном из	3	2
255	же мало	2	2
256	как оно	2	2
257	между ними	2	2
258	сравнению с	1	2
259	даже что	1	2
260	в сторону	1	2
261	друг от	3	2
262	бы совершенно	1	2
263	в эту	2	2
264	и таким	1	2
265	в других	6	2
266	а именно	1	2
267	на них	1	2
268	то которое	1	2
269	только одно	1	2
270	что эти	1	2
271	не дают	2	2
272	не говоря	1	2
273	ко всему	1	2
274	но как	4	2
275	только к	1	2
276	духовной жизни	2	2
277	и других	6	2
278	значение только	1	2
279	и более	3	2
280	в котором	5	2
281	или вернее	1	2
282	следовало бы	1	2
283	эти последние	3	2
284	и что	13	2
285	человеческого рода	1	2
286	более чем	1	2
287	она не	3	2
288	имеет в	1	2
289	по сравнению	1	2
290	и поэтому	2	2
291	он не	4	2
292	окажется что	1	2
293	мы должны	4	2
294	кажется что	1	2
295	в развитии	2	2
296	и теперь	1	2
297	что если	7	2
298	а не	38	2
299	и та	1	2
300	в одном	13	2
301	чем больше	1	2
302	отношений между	5	2
303	на основании	3	2
304	даже при	3	2
305	с в	5	2
306	далеко не	4	2
307	этот вопрос	2	2
308	и другая	2	2
309	в истории	8	2
310	по своей	2	2
311	при помощи	2	2
312	в известных	1	2
313	а в	11	2
314	в большинстве	1	2
315	способны к	1	2
316	его собственная	1	2
317	а тем	1	2
318	всего человечества	1	2
319	в этой	3	2
320	что же	3	2
321	именно тогда	1	2
322	заметить что	7	2
323	главным образом	4	2
324	мог бы	5	2
325	начиная с	2	2
326	могут быть	17	2
327	народов не	1	2
328	ее от	1	2
329	с а	4	2
330	которое в	1	2
331	к природе	1	2
332	что все	4	2
333	во всей	1	2
334	на этот	2	2
335	же в	7	2
336	жизни и	3	2
337	такой же	4	2
338	ли такое	1	2
339	с течением	1	2
340	можем сказать	1	2
341	всего к	1	2
342	как будто	2	2
343	бы в	6	2
344	и чем	1	2
345	или точнее	1	2
346	не можем	5	2
347	что на	9	2
348	есть не	7	2
349	не имеющим	1	2
350	не к	1	2
351	к нему	2	2
352	каждую из	1	1
353	в оценке	1	1
354	как кажется	6	1
355	его мысль	2	1
356	жизни но	2	1
357	к сожалению	1	1
358	представить себе	3	1
359	во всем	5	1
360	положении и	1	1
361	но тем	6	1
362	дает нам	2	1
363	этого различия	1	1
364	и другие	1	1
365	нет ли	1	1
366	душе и	3	1
367	которую они	1	1
368	является в	1	1
369	находятся в	3	1
370	все что	5	1
371	изменение в	2	1
372	видели что	2	1
373	ее и	1	1
374	или наоборот	1	1
375	а другие	1	1
376	для всех	6	1
377	в более	4	1
378	было связано	1	1
379	что оно	5	1
380	к другу	1	1
381	один из	2	1
382	человеческой жизни	1	1
383	та же	1	1
384	с но	4	1
385	таковы например	1	1
386	при некотором	1	1
387	друг к	1	1
388	смысле что	2	1
389	с которыми	3	1
390	мир в	1	1
391	приблизиться к	1	1
392	аналогии с	1	1
393	смотреть на	1	1
394	мы принуждены	3	1
395	в свой	1	1
396	нельзя сказать	2	1
397	как с	1	1
398	известных условиях	2	1
399	на такую	1	1
400	различие между	2	1
