N	2gram	Medvedev_S	RusskieA
1	и в	3	79
2	в том	5	64
3	том что	2	59
4	что в	2	57
5	не только	3	41
6	в этом	5	33
7	как бы	2	31
8	но и	2	31
9	как и	1	28
10	может быть	2	28
11	о том	1	23
12	это не	1	20
13	а в	1	20
14	все это	7	18
15	таким образом	2	17
16	то что	2	17
17	мы не	1	16
18	один из	1	15
19	в них	1	14
20	и что	2	14
21	и не	1	14
22	для нас	3	14
23	и по	1	13
24	еще не	2	13
25	не может	1	13
26	тем что	1	12
27	между собой	1	12
28	полагает что	1	12
29	в виде	1	12
30	далеко не	2	11
31	что на	1	11
32	все же	1	10
33	его в	1	10
34	между тем	1	10
35	так и	1	10
36	по существу	2	10
37	то же	2	9
38	но не	1	9
39	в этих	1	8
40	связи с	1	8
41	что это	1	8
42	в данном	1	8
43	настоящее время	1	7
44	не в	3	7
45	а с	1	7
46	было бы	2	7
47	главным образом	2	7
48	только в	2	7
49	в настоящее	1	7
50	ничего не	1	7
51	и как	1	7
52	мы должны	1	7
53	как будто	2	7
54	для этого	1	7
55	что она	1	6
56	тому что	1	6
57	должно было	1	6
58	в этой	1	6
59	и более	1	6
60	все эти	1	6
61	но она	1	6
62	и о	1	6
63	только для	1	5
64	с другой	1	5
65	связь между	1	5
66	не было	1	5
67	в связи	1	5
68	в то	1	5
69	прежде всего	1	5
70	с ним	1	5
71	что он	1	5
72	в его	3	5
73	или даже	2	5
74	и потому	1	5
75	отнюдь не	1	5
76	их на	1	5
77	в целом	1	5
78	только тогда	1	4
79	именно в	1	4
80	во всяком	1	4
81	в котором	1	4
82	дерево или	1	4
83	вряд ли	1	4
84	всяком случае	1	4
85	в таких	1	4
86	дело не	2	4
87	можно будет	1	4
88	как только	2	3
89	на первый	1	3
90	только как	2	3
91	по отношению	2	3
92	что все	1	3
93	никогда не	1	3
94	с одной	1	3
95	или не	1	3
96	очевидно что	2	3
97	в области	1	3
98	в своей	1	3
99	том как	1	3
100	на этот	1	3
101	это и	2	3
102	же не	1	3
103	этом не	1	3
104	между собою	1	3
105	на все	1	3
106	отношению к	2	3
107	место в	1	3
108	и его	1	3
109	по себе	1	2
110	на основании	1	2
111	собой не	1	2
112	у которых	1	2
113	одной стороны	1	2
114	на ней	1	2
115	нам право	1	2
116	в противном	1	2
117	на шею	1	2
118	которая должна	1	2
119	у него	1	2
120	в конце	2	2
121	между ними	1	2
122	в чем	1	2
123	в каждом	1	2
124	не дает	1	2
125	для наших	1	2
126	ни одно	1	2
127	когда мы	1	2
128	образом в	1	2
129	в заключение	1	2
130	в силу	1	2
131	в него	1	2
132	и должны	1	2
133	и затем	1	2
134	в область	1	2
135	все то	1	2
136	перед нами	1	2
137	какие же	1	2
138	быть не	1	2
139	они не	1	2
140	на тех	1	2
141	на что	1	2
142	право на	1	2
143	тем более	2	2
144	что эти	1	2
145	и остаются	1	2
146	в частности	2	2
147	им не	2	2
148	и наконец	1	2
149	развитие по	1	1
150	нет его	1	1
151	или нет	1	1
152	те же	1	1
153	не меняет	1	1
154	исторического развития	2	1
155	происходит не	1	1
156	и им	1	1
157	он по	1	1
158	должны служить	1	1
159	хотя бы	1	1
160	из себя	1	1
161	может служить	1	1
162	а между	1	1
163	к которому	2	1
164	необходимости их	1	1
165	она может	2	1
166	представить себе	1	1
167	этого и	1	1
168	и мы	2	1
169	хотелось бы	1	1
170	пишет он	1	1
171	два или	1	1
172	не от	1	1
173	входящие в	1	1
174	в результате	2	1
175	даже не	1	1
176	правильно говорит	1	1
177	представляется нам	1	1
178	что личность	1	1
179	остается в	1	1
180	это по	1	1
181	будто говорит	1	1
182	на определенных	1	1
183	и есть	1	1
184	что без	1	1
185	какой же	1	1
186	и стало	1	1
187	должна быть	2	1
188	и куда	1	1
189	никак не	1	1
190	в те	1	1
191	в любой	1	1
192	в труде	1	1
193	из круга	1	1
194	еще и	1	1
195	ни на	1	1
196	наконец в	1	1
197	как живой	1	1
198	не без	1	1
199	тем же	1	1
200	мы еще	1	1
201	развития развитие	1	1
202	может не	1	1
203	зависит от	1	1
204	в свои	1	1
205	сама по	1	1
206	противном случае	1	1
207	это происходит	1	1
208	ли не	1	1
209	утверждение будто	1	1
210	он говорит	1	1
211	это как	1	1
212	нужно было	2	1
213	не успела	1	1
214	всего не	1	1
215	же самое	1	1
216	со своими	1	1
217	к изучению	1	1
218	так называемым	1	1
