N	4gram	Medvedev_F	ViktorSh
1	язык находится под влиянием	1	1
2	интересуюсь не положением мирового	1	1
3	теории литературы исследованием внутренних	1	1
4	политикой трестов а только	1	1
5	и изменяется слово по	1	1
6	слово по своим словесным	1	1
7	занимаюсь в теории литературы	1	1
8	что язык находится под	1	1
9	под влиянием социальных отношений	1	1
10	только номерами пряжи и	1	1
11	трестов а только номерами	1	1
12	я интересуюсь не положением	1	1
13	законам связанным с физиологией	1	1
14	в теории литературы исследованием	1	1
15	номерами пряжи и способами	1	1
16	языка если провести заводскую	1	1
17	заводскую параллель то я	1	1
18	и способами ее ткать	1	1
19	его языка если провести	1	1
20	по своим словесным законам	1	1
21	связанным с физиологией речи	1	1
22	литературы исследованием внутренних законов	1	1
23	своим словесным законам связанным	1	1
24	исследованием внутренних законов его	1	1
25	законов его языка если	1	1
26	в значительной степени уже	1	1
27	вещь и изменяется слово	1	1
28	слово вещь и изменяется	1	1
29	то я интересуюсь не	1	1
30	изменяется слово по своим	1	1
31	я занимаюсь в теории	1	1
32	внутренних законов его языка	1	1
33	а только номерами пряжи	1	1
34	не политикой трестов а	1	1
35	провести заводскую параллель то	1	1
36	рынка не политикой трестов	1	1
37	параллель то я интересуюсь	1	1
38	пряжи и способами ее	1	1
39	с физиологией речи и	1	1
40	находится под влиянием социальных	1	1
41	словесным законам связанным с	1	1
42	если провести заводскую параллель	1	1
