N	4gram	Voloshinov	Marksizm
1	в то же время	1	15
2	но в то же	1	9
3	и не может быть	1	5
4	несобственная прямая речь в	1	5
5	не может быть и	1	4
6	может быть и речи	1	4
7	в науке о языке	1	3
8	один и тот же	1	3
9	с точки зрения своего	1	3
10	лишь с точки зрения	1	3
11	одно и то же	2	3
12	на изолированное монологическое высказывание	1	2
13	и то же слово	2	2
14	до тех пор пока	3	2
15	нет и не может	1	2
16	в собственном смысле слова	1	2
17	то же самое слово	1	1
18	единству языка как системы	1	1
19	с этой точки зрения	1	1
20	но тем не менее	1	1
21	которым можно было бы	1	1
22	соссюр и его школа	1	1
23	не что иное как	2	1
24	является не чем иным	1	1
25	побочно и более или	1	1
26	интонации в жизненной речи	1	1
27	должны быть сведены к	1	1
28	с другой стороны оно	1	1
29	тождественность языковой формы напр	1	1
30	по себе а лишь	1	1
31	в тех случаях когда	1	1
32	само собою разумеется что	1	1
33	не может быть объяснено	1	1
34	не чем иным как	2	1
35	сознания с другой стороны	1	1
36	и более или менее	1	1
37	более или менее случайно	1	1
38	ничего общего не имеет	1	1
39	изолированное монологическое высказывание и	1	1
40	что побочно и более	1	1
41	к единству языка как	1	1
42	само собой разумеется что	1	1
