N	3gram	Tiupa_Disk	OGranits
1	с точки зрения	3	5
2	не может быть	5	4
3	одно и то	2	3
4	по отношению к	13	3
5	и т.п и	1	3
6	в том что	18	2
7	художественного произведения как	1	2
8	того или иного	2	2
9	не только его	1	2
10	в данном случае	6	2
11	и то же	2	2
12	в самом деле	1	2
13	с одной стороны	12	2
14	с другой стороны	4	2
15	с самого начала	2	2
16	и один из	1	1
17	мы все же	1	1
18	на самом деле	1	1
19	в науке о	2	1
20	и как бы	5	1
21	на себя и	1	1
22	на всем протяжении	1	1
23	все то что	1	1
24	включает в себя	1	1
25	равно как и	1	1
26	между тем как	1	1
27	подобно тому как	4	1
28	в конечном счете	2	1
29	общих для них	1	1
30	в каждом индивидуальном	1	1
31	в одном ряду	1	1
32	тех или иных	1	1
33	на то что	1	1
34	только потому что	1	1
35	том что в	3	1
36	можно говорить о	1	1
37	а не как	2	1
38	в этой структуре	1	1
39	в античной греции	2	1
40	в нем только	1	1
41	тех случаях когда	1	1
42	в другом месте	1	1
43	в отличие от	12	1
44	ту или иную	1	1
45	в хх веке	1	1
46	как и в	3	1
47	в связи с	1	1
48	то же самое	2	1
49	то что в	1	1
50	но далеко не	1	1
51	та или иная	1	1
52	тем не менее	1	1
53	несмотря на все	1	1
54	только то что	2	1
55	нет и не	1	1
56	один из наиболее	1	1
57	в этом отношении	4	1
58	то же время	9	1
59	далеко не всегда	1	1
60	не должно быть	1	1
61	и утверждаю что	1	1
62	более или менее	2	1
63	в то же	7	1
64	прежде всего в	2	1
65	в произведении как	1	1
66	но не менее	1	1
67	в тех случаях	1	1
68	состоит в том	3	1
69	и не может	3	1
70	а также и	1	1
