N	4gram	Potebnia_M	VLabPisa
1	в то же время	3	5
2	одном и том же	3	2
3	с одной стороны и	2	2
4	во всех этих и	1	2
5	не в том что	3	2
6	только в том что	5	1
7	мы хотим сказать что	1	1
8	с этой точки зрения	1	1
9	в том смысле что	2	1
10	в том случае если	1	1
11	не имеет ничего общего	1	1
12	что без них не	1	1
13	в одном и том	3	1
14	но с другой стороны	2	1
15	говоря уже о том	1	1
16	имеет ничего общего с	1	1
17	а в том что	2	1
18	с другой стороны он	1	1
19	уже о том что	1	1
20	в то время как	1	1
21	в том что оно	1	1
22	чтобы не впасть в	1	1
23	не могло бы быть	1	1
24	не говоря уже о	1	1
25	не может обойтись без	1	1
