N	2gram	Losev_Dial	VrazhdaK
1	не только	26	9
2	в этом	18	8
3	и в	35	8
4	и что	17	8
5	что в	19	7
6	достоевского в	1	7
7	и все	11	7
8	но и	17	7
9	то что	25	7
10	как и	10	6
11	и даже	23	6
12	и с	10	6
13	все же	9	6
14	в котором	5	6
15	– это	14	6
16	в нем	25	6
17	но в	8	6
18	то же	21	5
19	у него	2	5
20	и не	51	5
21	между тем	3	5
22	об этом	7	5
23	не было	7	5
24	же время	9	5
25	в то	10	5
26	это не	18	4
27	при этом	2	4
28	несмотря на	12	4
29	с ним	9	4
30	для нас	1	4
31	все это	14	4
32	в виду	9	4
33	в своих	1	4
34	что он	16	4
35	уже в	5	4
36	у достоевского	1	4
37	о том	8	4
38	может быть	30	4
39	в ней	4	4
40	в истории	1	4
41	как бы	19	4
42	так же	6	4
43	во многом	1	4
44	что у	3	3
45	в его	4	3
46	в том	20	3
47	т е	49	3
48	его в	3	3
49	раз в	2	3
50	связи с	3	3
51	но он	3	3
52	в связи	3	3
53	я не	9	3
54	и как	14	3
55	далеко не	2	3
56	тем что	2	3
57	речь идет	2	3
58	в чем	9	3
59	и у	2	3
60	о себе	1	3
61	он был	1	3
62	том что	18	3
63	он не	5	3
64	и уже	4	3
65	в конце	5	3
66	и о	4	3
67	наряду с	1	3
68	что есть	2	3
69	в своем	7	3
70	на то	5	3
71	и его	6	3
72	к этому	2	3
73	и во	1	3
74	в той	4	2
75	таким образом	5	2
76	начиная с	1	2
77	об их	1	2
78	и то	15	2
79	и он	6	2
80	после этого	3	2
81	время и	2	2
82	его с	6	2
83	мы знаем	1	2
84	и далее	1	2
85	с точки	18	2
86	для него	2	2
87	его и	1	2
88	о чем	4	2
89	как раз	7	2
90	мне и	2	2
91	же не	4	2
92	в них	4	2
93	как же	8	2
94	а также	1	2
95	же в	2	2
96	отношения к	3	2
97	его на	1	2
98	в мире	3	2
99	их в	2	2
100	же как	3	2
101	в своей	9	2
102	вместе с	3	2
103	так в	1	2
104	бесы в	1	2
105	в это	1	2
106	не менее	5	2
107	и это	6	2
108	в эту	1	2
109	на первый	2	2
110	еще не	4	2
111	сказал он	1	2
112	ко мне	2	2
113	но как	7	2
114	а с	2	2
115	это в	1	2
116	и образы	2	2
117	личность и	1	2
118	в этой	3	2
119	человека с	1	2
120	при помощи	1	2
121	а в	8	2
122	на это	1	2
123	в меня	2	2
124	к ним	3	2
125	отношение к	5	2
126	в одну	8	2
127	уже не	3	2
128	из них	5	2
129	в себе	23	2
130	что я	5	2
131	с нею	3	2
132	не может	16	2
133	место в	1	2
134	с которым	2	2
135	столь же	1	2
136	точки зрения	25	2
137	тем более	2	2
138	одна из	1	2
139	об этой	2	2
140	он сам	6	2
141	чувств и	1	2
142	отнюдь не	13	2
143	но это	12	2
144	во время	2	2
145	в него	2	2
146	и ее	1	2
147	никогда не	18	2
148	души и	1	1
149	вот после	1	1
150	в особенности	6	1
151	все в	2	1
152	к сожалению	2	1
153	тою же	1	1
154	в самом	6	1
155	во всем	3	1
156	то в	8	1
157	этого и	1	1
158	так и	18	1
159	что они	8	1
160	попадает в	1	1
161	в литературе	1	1
162	все что	2	1
163	другой не	1	1
164	до сих	4	1
165	сказал что	3	1
166	в душе	8	1
167	один из	3	1
168	еще раз	2	1
169	короче говоря	1	1
170	можно говорить	2	1
171	и этот	1	1
172	– так	2	1
173	ему в	1	1
174	из которых	1	1
175	приближается к	1	1
176	вижу что	1	1
177	хочет быть	2	1
178	они не	3	1
179	этот закон	1	1
180	ни с	8	1
181	только что	5	1
182	один пример	1	1
183	если в	5	1
184	также что	2	1
185	это будет	2	1
186	лучше ли	2	1
187	того как	3	1
188	к этой	1	1
189	и кончая	1	1
190	которой не	3	1
191	об одном	3	1
192	что тип	1	1
193	нем в	1	1
194	что уже	3	1
195	он всегда	3	1
196	вот она	1	1
197	не будем	1	1
198	он как	1	1
199	дает нам	2	1
200	или по	2	1
201	не хотел	1	1
202	еще более	3	1
203	наказания а	1	1
204	что это	21	1
205	хотя и	4	1
206	от нас	1	1
207	а это	2	1
208	одному из	1	1
209	с тех	2	1
210	он и	2	1
211	и из	6	1
212	в ее	3	1
213	только не	2	1
214	того что	6	1
215	ней ничего	1	1
216	говорит о	6	1
217	от этой	1	1
218	наука может	2	1
219	в качестве	2	1
220	верит в	1	1
221	и холодным	1	1
222	заметим что	1	1
223	сама жизнь	1	1
224	прежде всего	14	1
225	в оценке	2	1
226	далее в	2	1
227	никуда не	1	1
228	это слово	1	1
229	другой стороны	7	1
230	быть может	5	1
231	перед ними	1	1
232	нет ничего	1	1
233	себе не	7	1
234	в этих	6	1
235	но на	1	1
236	за это	1	1
237	так не	1	1
238	в их	5	1
239	о своем	2	1
240	все равно	7	1
241	мы находим	7	1
242	тому же	3	1
243	но с	4	1
244	и самые	1	1
245	без всяких	2	1
246	что поэзия	5	1
247	не ясно	1	1
248	а между	1	1
249	эта попытка	1	1
250	что ни	3	1
251	в духе	1	1
252	и страшно	1	1
253	же с	1	1
254	а за	1	1
255	а о	2	1
256	этого не	1	1
257	и сам	1	1
258	в одном	4	1
259	их и	1	1
260	равно как	1	1
261	людей а	1	1
262	что за	1	1
263	тот кто	2	1
264	во внимание	2	1
265	на нее	2	1
266	на свою	1	1
267	не хотят	3	1
268	и начинается	1	1
269	сердце и	1	1
270	еще в	2	1
271	как при	1	1
272	– вы	2	1
273	но не	9	1
274	но вот	5	1
275	из литературы	1	1
276	в ту	1	1
277	в глубине	1	1
278	которых наши	1	1
279	но для	2	1
280	если это	3	1
281	приближаемся к	1	1
282	именно в	4	1
283	уже на	1	1
284	жизни и	9	1
285	такое же	1	1
286	то время	3	1
287	представление о	1	1
288	можно объяснить	1	1
289	в таком	4	1
290	сходство с	2	1
291	пор мы	1	1
292	только два	1	1
