N	2gram	Nazirov_Tv	TeoriaLi
1	в качестве	2	33
2	в мире	8	26
3	не только	16	24
4	и в	40	24
5	в частности	4	23
6	то есть	16	22
7	может быть	11	22
8	при этом	14	20
9	в том	13	20
10	в тексте	1	19
11	тогда как	3	18
12	я в	1	18
13	и не	12	17
14	а в	10	15
15	но и	10	14
16	а не	9	14
17	так и	5	14
18	в себе	3	14
19	представляет собой	4	13
20	в рамках	1	13
21	такого рода	1	13
22	но не	7	13
23	в этом	11	12
24	сводится к	2	12
25	но в	11	12
26	в его	19	12
27	то же	19	12
28	своего рода	7	11
29	том что	14	11
30	и его	14	11
31	что в	17	10
32	по отношению	3	10
33	как это	2	10
34	лишь в	1	10
35	отношению к	3	10
36	в душе	4	9
37	только в	7	9
38	в данном	2	9
39	с другой	4	9
40	не сводится	1	9
41	в искусстве	3	9
42	не в	3	9
43	в то	23	9
44	в своей	8	8
45	же время	18	8
46	как бы	26	8
47	всего лишь	1	8
48	не может	9	8
49	в самом	6	7
50	в принципе	5	7
51	не столько	4	7
52	на смену	2	7
53	или иной	1	7
54	в отличие	3	7
55	в своем	4	7
56	себя в	3	7
57	мы имеем	1	7
58	отличие от	3	7
59	во второй	3	7
60	отношение к	1	7
61	однако в	3	7
62	место в	6	7
63	в области	1	7
64	в нем	4	7
65	другой стороны	2	6
66	конечном счете	4	6
67	как и	16	6
68	не менее	8	6
69	приводит к	4	6
70	еще не	5	6
71	в основе	3	6
72	то что	9	6
73	со стороны	1	6
74	уже не	6	6
75	с его	12	6
76	в ее	3	6
77	с другими	1	6
78	в конечном	4	6
79	между ними	1	6
80	героя и	4	6
81	в русской	5	6
82	того или	1	6
83	тем самым	10	6
84	в первой	4	6
85	или иного	1	6
86	художественного творчества	1	5
87	ни в	2	5
88	в виду	3	5
89	мыслится как	1	5
90	и одновременно	1	5
91	как в	10	5
92	в художественном	1	5
93	а а	4	5
94	можно сказать	2	5
95	не является	3	5
96	я с	1	5
97	жизни как	1	5
98	как правило	3	5
