N	2gram	Nazirov_Vr	VeschiIm
1	т е	3	81
2	не есть	1	79
3	и не	5	57
4	не только	9	48
5	то что	7	48
6	не может	2	46
7	и в	8	45
8	и есть	1	40
9	может быть	4	39
10	что я	2	26
11	потому что	1	25
12	не просто	1	24
13	было бы	1	24
14	в себе	2	23
15	и что	8	22
16	как бы	4	20
17	что это	1	19
18	что же	1	19
19	с нею	2	19
20	но и	7	19
21	и ее	2	19
22	в этом	8	18
23	все же	6	18
24	прежде всего	1	17
25	и это	2	17
26	таким образом	2	16
27	того что	1	16
28	как раз	2	16
29	как и	6	15
30	уже не	2	15
31	в том	3	15
32	в ней	4	15
33	имя и	1	15
34	но это	2	14
35	и то	2	14
36	в самом	1	13
37	не будет	1	13
38	том что	3	13
39	это и	1	13
40	что в	7	12
41	и с	6	12
42	то же	5	12
43	и даже	6	12
44	о том	4	12
45	еще не	2	12
46	точки зрения	2	12
47	ничего не	1	12
48	что они	1	12
49	и как	3	12
50	имя не	1	12
51	и их	1	11
52	не менее	2	11
53	себя в	1	11
54	тем не	1	11
55	– не	1	11
56	также и	1	11
57	в то	5	11
58	по крайней	1	10
59	в чем	3	10
60	крайней мере	1	10
61	ясно что	1	10
62	с ее	1	10
63	с ним	4	9
64	говорить о	1	9
65	в своем	3	9
66	ни с	1	9
67	это не	4	9
68	бы в	1	9
69	ли это	1	9
70	но не	1	9
71	на то	3	9
72	и его	3	9
73	что он	4	8
74	отличается от	1	8
75	в свете	1	8
76	но в	6	8
77	для него	2	8
78	в ее	1	8
79	все это	4	8
80	его в	3	8
81	не с	1	8
82	с другой	1	8
83	что есть	3	8
84	отнюдь не	2	8
85	тем что	3	7
86	я не	3	7
87	от того	1	7
88	а в	2	7
89	из них	2	7
90	в той	2	6
91	их в	2	6
92	в своей	2	6
93	в каком	1	6
94	в одном	1	6
95	одна из	2	6
96	ее не	1	6
97	несмотря на	4	6
98	с точки	2	6
99	все равно	1	6
100	как же	2	6
101	в нем	6	6
102	и вообще	1	6
103	одно и	1	6
104	жизни и	1	6
105	независимо от	1	6
106	и все	7	6
107	никогда не	2	6
108	все что	1	5
109	один из	1	5
110	как к	1	5
111	в жизни	1	5
112	как о	1	5
113	вместе с	2	5
114	да и	1	5
115	как имя	1	5
116	в свою	2	5
117	свою очередь	1	5
118	того же	1	5
119	только не	1	5
120	во всех	1	5
121	что у	3	5
122	в его	3	5
123	хотя и	1	5
124	а это	1	5
125	мы находим	1	5
126	между прочим	1	5
127	об этом	5	5
128	в мысли	1	5
129	быть и	1	5
130	на это	2	5
131	что для	1	5
132	– это	6	5
133	же это	1	5
134	в особенности	1	4
135	и от	1	4
136	еще более	1	4
137	говорит о	1	4
138	о которой	2	4
139	равно как	1	4
140	если это	1	4
141	то время	1	4
142	его на	2	4
143	том как	1	4
144	ведь не	1	4
145	с этим	1	4
146	во всяком	1	4
147	его и	2	4
148	в котором	6	4
149	отношении к	1	4
150	же время	5	4
151	так же	4	4
152	при помощи	2	4
153	утверждаю что	1	4
154	тут же	1	4
155	а следовательно	1	4
156	то в	1	4
157	это будет	1	4
158	к себе	2	4
159	в качестве	1	4
160	так и	1	4
161	же не	2	4
162	в их	1	4
163	в конце	3	4
164	что только	1	4
165	и у	3	4
166	не было	5	4
167	он не	3	4
168	в силу	1	4
169	и сам	1	4
170	по своей	1	4
171	в этой	2	4
172	отношение к	2	4
173	и о	3	4
174	только что	1	3
175	а вот	1	3
176	из которых	1	3
177	нас в	1	3
178	другой стороны	1	3
179	быть может	1	3
180	себе не	1	3
181	в своих	4	3
182	заключается в	1	3
183	себя как	1	3
184	отношения к	2	3
185	как в	1	3
186	не имеет	1	3
187	было в	1	3
188	и выражение	1	3
189	что ее	1	3
190	в истории	4	3
191	тогда как	2	3
192	и а	2	3
193	и во	3	3
194	не все	1	3
195	не мог	2	3
196	к нему	1	3
197	об их	2	3
198	у него	5	3
199	есть еще	1	3
200	но он	3	3
201	и образ	1	3
202	же как	2	3
203	тем более	2	3
204	тут нет	1	3
205	ему не	1	3
206	выражение в	1	3
207	но как	2	3
208	а с	2	3
209	в частности	1	3
210	нужно было	1	3
211	что из	1	3
212	человека и	1	3
213	а тем	1	3
214	однако в	1	3
215	в уме	1	3
216	из этого	1	3
217	в целом	1	3
218	во всем	1	2
219	и уже	3	2
220	еще раз	1	2
221	можно говорить	1	2
222	и этот	1	2
223	связан с	1	2
224	или по	1	2
225	о чем	2	2
226	мне и	2	2
227	в связи	3	2
228	к реальному	1	2
229	в россии	5	2
230	именно в	1	2
231	тем самым	1	2
232	в в	2	2
233	о котором	1	2
234	они как	1	2
235	в это	2	2
236	иметь никакого	1	2
237	нет ничего	1	2
238	нам не	1	2
239	то он	1	2
240	прочим и	1	2
241	только как	1	2
242	на основе	2	2
243	и уж	1	2
244	из их	1	2
245	но они	1	2
246	очень хорошо	2	2
247	еще один	1	2
248	не стоит	1	2
249	с его	3	2
250	он сам	2	2
251	к этому	3	2
252	всяком случае	1	2
253	только о	1	2
254	бы его	1	2
255	едва ли	1	2
