N	4gram	Losev_Vesc	Vvedenie
1	в то же время	4	6
2	не что иное как	12	5
3	и в самом деле	1	3
4	с одной стороны и	1	3
5	дело в том что	4	3
6	и тем не менее	5	3
7	но в то же	1	3
8	есть не что иное	8	3
9	с этой точки зрения	3	2
10	заключается в том что	2	2
11	одно и то же	5	2
12	и т д а	1	2
13	и т д в	1	2
14	одного и того же	1	2
15	и т д все	1	2
16	и как раз в	1	1
17	так как она есть	1	1
18	т д все это	1	1
19	только в том что	1	1
20	как та или иная	1	1
21	и т д таким	1	1
22	все же это не	1	1
23	одном и том же	1	1
24	в этом смысле и	1	1
25	с другой стороны как	1	1
26	и т д и	11	1
27	может быть и речи	1	1
28	ответ на вопрос о	1	1
29	в том что он	2	1
30	т д таким образом	1	1
31	в одном и том	1	1
32	и т д словом	1	1
33	было бы сказать что	2	1
34	в том смысле что	1	1
35	бы то ни было	12	1
36	заключается в том чтобы	1	1
37	и не потому что	1	1
38	это значит не только	1	1
39	и здесь как и	1	1
40	другой стороны как это	1	1
41	не может быть и	1	1
42	если бы оно было	1	1
43	какой бы то ни	1	1
44	т е не только	1	1
45	в чем же отличие	1	1
46	и т д хотя	1	1
47	и в этом отношении	1	1
48	еще и потому что	1	1
49	также и то что	1	1
