N	2gram	Savitsky_P	Tvorches
1	и в	14	56
2	как бы	4	41
3	в его	2	37
4	в то	7	30
5	то же	9	25
6	не только	17	24
7	же время	7	24
8	но в	9	24
9	как и	1	23
10	и не	12	23
11	а в	4	23
12	в этом	10	22
13	и т	3	22
14	что в	4	21
15	в том	9	21
16	том что	4	19
17	может быть	5	19
18	потому что	3	19
19	то что	4	18
20	и на	1	17
21	т д	1	17
22	все это	2	17
23	но и	6	16
24	никогда не	1	16
25	в творчестве	1	16
26	прежде всего	3	16
27	не может	4	16
28	и с	2	15
29	xix века	6	15
30	в мире	2	15
31	в этой	1	15
32	с его	1	15
33	это не	3	14
34	творчестве достоевского	1	13
35	а не	2	13
36	в котором	4	12
37	тем самым	3	12
38	все же	1	11
39	отнюдь не	2	11
40	в самом	1	10
41	и достоевский	1	10
42	в русской	4	10
43	не в	5	10
44	только в	7	10
45	в основном	1	10
46	уже в	1	10
47	но не	3	10
48	в душе	1	9
49	наряду с	3	9
50	по природе	1	9
51	а затем	1	9
52	в нем	3	9
53	именно в	2	8
54	не менее	2	8
55	так же	1	8
56	хотя и	3	8
57	вместе с	1	8
58	еще не	1	8
59	в себе	3	8
60	в этих	1	7
61	например в	2	7
62	казалось бы	1	7
63	в которой	1	7
64	р г	1	6
65	в момент	1	6
66	еще более	2	6
67	не столько	2	6
68	и как	3	6
69	если он	1	6
70	хотя бы	8	6
71	одна из	2	6
72	его в	1	6
73	и ее	1	6
74	если бы	4	6
75	ли не	1	6
76	место в	1	6
77	и другие	1	5
78	из всех	1	5
79	мысли и	1	5
80	быть может	6	5
81	в них	2	5
82	с другой	5	5
83	в своем	4	5
84	во всей	2	5
85	из них	2	5
86	в ее	2	5
87	что и	1	5
88	не было	2	5
89	что не	1	5
90	и это	2	5
91	а с	1	5
92	что это	1	5
93	между тем	3	5
94	с этим	2	5
95	в россии	3	5
96	в истории	1	5
97	тот же	3	5
98	из этой	1	5
99	мы не	3	5
100	в виде	2	5
101	и по	1	5
102	и других	2	5
103	с собой	1	4
104	наш взгляд	1	4
105	восходит к	1	4
106	представляет собой	1	4
107	только на	1	4
108	говорить о	2	4
109	не вполне	1	4
110	что все	1	4
111	точки зрения	3	4
112	мы видим	1	4
113	и мы	2	4
114	по преимуществу	1	4
115	и потому	4	4
116	с точки	3	4
117	и через	1	4
118	что его	1	4
119	же как	1	4
120	в каждом	1	4
121	не означает	1	4
122	и я	1	4
123	как известно	1	4
124	себя в	1	4
125	могут быть	3	4
126	и есть	2	4
127	ведет к	1	4
128	в действии	1	4
129	с ними	3	4
130	на наш	1	4
131	в которых	5	4
132	нет ничего	1	4
133	и более	1	4
134	связана с	1	4
135	эта мысль	1	4
136	в отличие	1	4
137	того что	2	4
138	чуть ли	1	4
139	xix веке	2	4
140	было в	2	4
141	к жизни	1	4
142	особенно в	1	4
143	отличие от	1	4
144	в частности	2	4
145	еще в	1	4
146	далеко не	1	4
147	в xix	2	4
148	и к	4	3
149	только что	1	3
150	в с	4	3
151	другой стороны	1	3
152	по себе	4	3
153	мысль о	2	3
154	в мир	1	3
155	в жизни	2	3
156	давно уже	1	3
157	ее по	1	3
158	это от	1	3
159	во всяком	1	3
160	в свете	1	3
161	как она	1	3
162	и еще	1	3
163	русской литературы	1	3
164	время в	2	3
165	мы знаем	1	3
166	иными словами	1	3
167	г а	1	3
