N	2gram	Losev_Dial	Tragedij
1	и в	35	18
2	в этом	18	9
3	не только	26	8
4	и не	51	7
5	может быть	30	7
6	и с	10	7
7	как бы	19	7
8	он сам	6	7
9	что он	16	6
10	у него	2	6
11	же время	9	6
12	в образе	1	6
13	но в	8	6
14	и его	6	6
15	это не	18	5
16	несмотря на	12	5
17	что это	21	5
18	так и	18	5
19	к жизни	1	5
20	это очень	1	5
21	все же	9	5
22	у достоевского	1	5
23	в дальнейшем	6	5
24	то же	21	5
25	как и	10	5
26	не может	16	5
27	в то	10	5
28	а я	3	5
29	что в	19	4
30	в себе	23	4
31	и даже	23	4
32	он всегда	3	4
33	все это	14	4
34	прежде всего	14	4
35	и все	11	4
36	я не	9	4
37	об этом	7	4
38	еще не	4	4
39	но и	17	4
40	том что	18	4
41	и что	17	4
42	так же	6	4
43	то что	25	4
44	в этой	3	4
45	что я	5	4
46	в нем	25	4
47	но это	12	4
48	в целом	1	4
49	и он	6	3
50	что с	2	3
51	один из	3	3
52	достоевского в	1	3
53	должно быть	7	3
54	уже в	5	3
55	в его	4	3
56	для него	2	3
57	в своем	7	3
58	с ним	9	3
59	о чем	4	3
60	что вы	1	3
61	и сам	1	3
62	что за	1	3
63	в конце	5	3
64	и как	14	3
65	в мире	3	3
66	как в	3	3
67	никто не	2	3
68	в поле	1	3
69	что образ	1	3
70	то есть	1	3
71	при этом	2	3
72	жизнь и	5	3
73	как это	8	3
74	тем самым	1	3
75	мог бы	3	3
76	как будто	7	3
77	отнюдь не	13	3
78	все эти	4	3
79	к нему	12	3
80	в самом	6	2
81	не так	1	2
82	и то	15	2
83	раз он	1	2
84	в душе	8	2
85	еще раз	2	2
86	и здесь	1	2
87	данном случае	1	2
88	сам говорит	1	2
89	в том	20	2
90	в ресторане	1	2
91	это уже	2	2
92	он и	2	2
93	с тем	2	2
94	в ее	3	2
95	говорит о	6	2
96	как у	3	2
97	даже если	4	2
98	что и	7	2
99	ни в	20	2
100	бы и	4	2
101	но при	1	2
102	чем он	2	2
103	что все	2	2
104	не могут	4	2
105	в виде	2	2
106	его в	3	2
107	как же	8	2
108	не в	12	2
109	но все	5	2
110	но эта	4	2
111	с г	1	2
112	из самых	1	2
113	еще в	2	2
114	от всего	2	2
115	в таком	4	2
116	ничем не	4	2
117	вопрос о	3	2
118	состоит из	3	2
119	дома и	1	2
120	веру в	1	2
121	и это	6	2
122	нет в	1	2
123	она как	1	2
124	уже не	3	2
125	к тому	6	2
126	о том	8	2
127	перед нами	3	2
128	не был	3	2
129	с первого	2	2
130	не имеет	15	2
131	что эти	3	2
132	и я	3	2
133	бросается в	1	2
134	не человек	1	2
135	что же?	1	2
136	в данном	5	2
137	ее к	2	2
138	только к	2	2
139	что этот	3	2
140	отличие от	1	2
141	и личность	1	2
142	она должна	2	2
143	раз и	2	2
144	он был	1	2
145	которую вы	1	2
146	то и	3	2
147	потому что	23	2
148	личности и	2	2
149	так что	21	2
150	времени в	2	2
151	он не	5	2
152	в частности	4	2
153	на меня	2	2
154	но они	2	2
155	в это	1	2
156	точно так	3	2
157	в одном	4	2
158	говорит что	3	2
159	и до	2	2
160	я буду	1	2
161	в глаза	1	2
162	отношение к	5	2
163	столь же	1	2
164	что она	18	2
165	одна из	1	2
166	а как	1	2
167	тут же	2	2
168	тем что	2	2
169	не просто	19	2
170	только о	3	2
171	и ее	1	2
172	никогда не	18	2
173	ничего не	19	2
174	друг друга	1	2
175	в той	4	1
176	в особенности	6	1
177	все в	2	1
178	во всем	3	1
179	не выдержал	1	1
180	то в	8	1
181	от нее	1	1
182	от него	4	1
183	утверждать что	3	1
184	могут быть	6	1
185	только не	2	1
186	проникает в	1	1
187	выражение лица	2	1
188	к сожалению	2	1
189	не скажет	1	1
190	взгляд на	3	1
191	над ними	1	1
192	мы видим	6	1
193	что оно	9	1
194	своем известном	1	1
195	что ему	1	1
196	быть по	1	1
197	это тот	1	1
198	этой линии	2	1
199	по природе	1	1
200	таким образом	5	1
201	действия не	1	1
202	сам же	1	1
203	от самой	2	1
204	не знал	1	1
205	только что	5	1
206	его самого	3	1
207	также что	2	1
208	известно что	1	1
209	не нужен	1	1
210	того как	3	1
211	к этой	1	1
212	если он	1	1
213	почти не	3	1
214	в братьях	1	1
215	которой не	3	1
216	с одной	4	1
217	столкновение с	1	1
218	и вот	10	1
219	его с	6	1
220	что даже	2	1
221	должна быть	5	1
222	увидел что	1	1
223	с такой	1	1
224	что уже	3	1
225	с этой	3	1
226	и при	3	1
227	ко всему	3	1
228	и должно	3	1
229	она всегда	1	1
230	в стиле	1	1
231	и далее	1	1
232	к величайшему	1	1
233	тогда и	2	1
234	и дико	1	1
235	но от	1	1
236	что эта	5	1
237	и цветов	1	1
238	добра и	1	1
239	с образом	1	1
240	на деле	2	1
241	содержит в	6	1
242	т е	49	1
243	они только	1	1
244	приступил к	1	1
245	с этими	1	1
246	того что	6	1
247	сам по	8	1
248	простое как	1	1
249	тем не	3	1
250	не вызывает	1	1
251	о существовании	1	1
252	нам еще	1	1
253	не как	4	1
254	для нас	1	1
255	может так	1	1
256	где он	1	1
257	и холод	1	1
258	и всегда	1	1
259	одному из	1	1
260	одно из	2	1
261	на одной	1	1
262	как он	5	1
263	же не	4	1
264	в результате	2	1
265	говорил что	2	1
266	в виду	9	1
267	превратиться в	1	1
268	быть может	5	1
269	что наш	1	1
270	это значит?	2	1
271	и теперь	1	1
272	на первую	1	1
273	только в	7	1
274	нельзя ли	2	1
275	по себе	39	1
276	есть такая	1	1
277	нас от	1	1
278	с чистой	2	1
279	я даже	1	1
280	вопрос об	5	1
281	а на	1	1
282	и притом	7	1
283	не было	7	1
284	мне понятно	1	1
285	не какое-то	1	1
286	в духе	1	1
287	но он	3	1
288	здесь мы	1	1
289	голову что	1	1
290	говорит в	1	1
291	этого не	1	1
292	вот что	1	1
293	а также	1	1
294	его собственная	1	1
295	сказал что	3	1
296	что под	3	1
297	только сам	1	1
298	тот кто	2	1
299	заключается в	4	1
300	на нее	2	1
301	и чисто	1	1
302	подобного нет	1	1
303	мысль о	2	1
304	же по	1	1
305	мы начинаем	1	1
306	на себя	1	1
307	что не	13	1
308	вспомнил как	1	1
309	как его	1	1
310	в эпоху	2	1
311	не есть	67	1
312	ли образ	1	1
313	xviii века	1	1
314	именно в	4	1
315	представление о	1	1
316	обоих случаях	2	1
317	указывает на	3	1
318	вообще не	2	1
319	сходство с	2	1
320	я и	3	1
321	но самое	1	1
322	тому что	4	1
323	из тех	1	1
324	в связи	3	1
325	с жизнью	1	1
326	встречается в	1	1
327	с ними	4	1
328	петр александрович	3	1
329	и она	1	1
330	показал что	1	1
331	вы так	1	1
332	есть в	2	1
333	на земле	3	1
334	и своею	1	1
335	в своей	9	1
336	содержатся в	1	1
337	вместе с	3	1
338	если вам	1	1
339	и вместе	2	1
