N	2gram	Vinokur_St	Dialekti
1	т е	21	159
2	и не	23	120
3	и т	36	82
4	по себе	3	79
5	а не	19	78
6	и в	61	77
7	т д	25	75
8	точки зрения	16	72
9	может быть	16	71
10	не только	36	66
11	значит что	3	61
12	то что	27	59
13	и есть	1	55
14	ничего не	6	54
15	не может	10	53
16	и даже	8	47
17	с точки	10	46
18	что это	5	46
19	так как	7	46
20	потому что	13	45
21	не просто	2	44
22	как бы	8	43
23	и что	8	42
24	ни в	5	42
25	не имеет	5	41
26	вовсе не	24	41
27	в том	56	40
28	в этом	37	39
29	то же	7	39
30	что такое	2	39
31	что она	5	38
32	в себе	3	38
33	что он	23	37
34	том что	49	37
35	прежде всего	11	37
36	так что	8	36
37	это не	8	36
38	что в	41	34
39	в нем	9	34
40	и все	3	33
41	того что	14	33
42	но и	28	32
43	ясно что	10	31
44	все это	13	31
45	сказать что	9	30
46	и как	2	30
47	было бы	21	29
48	так и	15	29
49	как и	11	28
50	никогда не	7	27
51	в виду	6	26
52	крайней мере	2	26
53	не в	15	26
54	по крайней	2	26
55	говорить о	3	25
56	и то	6	25
57	и пр	4	25
58	есть только	2	25
59	но это	9	24
60	если бы	11	24
61	таким образом	16	23
62	в то	10	23
63	это и	5	23
64	что оно	4	23
65	и вот	1	23
66	но что	2	22
67	я не	13	22
68	что не	3	21
69	в чем	4	21
70	должна быть	3	21
71	допустим что	2	21
72	она не	3	21
73	и с	6	20
74	о том	30	20
75	что и	8	20
76	что все	3	20
77	в таком	4	20
78	только в	11	20
79	в каком	4	20
80	совершенно не	7	20
81	уже не	1	20
82	как раз	10	20
83	и вообще	5	20
84	в самом	14	19
85	не менее	8	19
86	не существует	4	19
87	в своем	8	19
88	и притом	1	19
89	и это	4	19
90	как это	6	19
91	тогда когда	1	19
92	что мы	5	19
93	и его	11	19
94	же время	5	18
95	хотя бы	8	18
96	с другой	11	18
97	ни на	3	18
98	что же	6	18
99	жизни и	6	18
100	в особенности	1	17
101	можно сказать	2	17
102	в сущности	2	17
103	той или	1	17
104	в основе	4	17
105	но если	5	17
106	кроме того	3	16
107	то это	3	16
108	одно и	1	16
109	к нему	2	16
110	только не	2	16
111	тем не	4	16
112	сам по	1	16
113	в своей	12	16
114	да и	4	16
115	конечно не	2	16
116	мы не	3	16
117	об этом	9	16
118	же и	4	15
119	все же	12	15
120	так же	7	15
121	то в	3	15
122	несмотря на	4	15
123	но только	2	15
124	самом деле	14	15
125	хотя и	4	15
126	в виде	3	15
127	также и	10	15
128	быть и	2	15
129	и о	4	15
130	на то	5	15
131	или нет	1	14
132	а именно	3	14
133	даже и	2	14
134	не было	7	14
135	д и	2	14
136	я уже	3	14
137	ни с	3	14
138	на свете	1	14
139	и потому	3	14
140	и только	3	14
141	же это	3	14
142	и к	5	13
143	говорит о	5	13
144	другой стороны	9	13
145	отличается от	2	13
146	что именно	2	13
147	не то	1	13
148	что они	9	13
149	время как	2	13
150	он не	11	13
151	и та	1	13
152	ни о	1	13
153	но в	16	13
154	мы находим	4	13
155	не могу	2	13
156	в ней	9	13
157	именно в	8	12
158	с этим	6	12
159	вопрос о	9	12
160	нет никакого	3	12
161	но как	1	12
162	но тогда	1	12
163	но не	5	12
164	даже не	5	12
165	могут быть	5	12
166	иной раз	1	12
167	никак не	1	12
168	не могут	2	12
169	перед нами	1	12
170	еще не	4	12
171	и тогда	2	12
172	и тут	1	12
173	все эти	7	12
174	тем более	4	12
175	и жизни	1	12
176	а в	18	12
177	в них	2	11
178	в данном	16	11
179	только на	1	11
180	что я	3	11
181	быть в	2	11
182	не о	2	11
183	и тем	3	11
184	должны быть	4	11
185	из них	11	11
186	не значит	3	11
187	можно только	1	11
188	мы говорим	1	11
189	от того	1	11
190	мы имеем	2	11
191	или в	1	11
192	есть в	2	11
193	нисколько не	3	11
194	его не	3	11
195	только то	1	11
196	в одну	1	11
197	с этой	5	10
198	одно из	3	10
199	в результате	5	10
200	к тому	9	10
201	во всяком	8	10
202	для того	15	10
203	можно ли	5	10
204	в меру	1	10
205	то или	3	10
206	в ее	6	10
207	не больше	1	10
208	от этого	2	10
209	себе и	1	10
210	только потому	2	10
211	и для	4	10
212	или иное	3	10
213	что для	4	10
214	чтобы не	1	10
215	содержит в	1	10
216	за пределы	2	10
217	оно не	3	10
218	то и	1	10
219	времени и	4	10
220	если мы	1	10
221	только о	1	10
222	нет ни	3	10
223	в его	19	10
224	в их	3	10
225	это было	2	10
226	е в	3	10
227	в частности	6	10
228	и можно	2	10
229	как мы	1	10
230	как будто	5	10
231	и уже	3	10
232	при этом	4	9
233	тому что	8	9
234	случае не	3	9
235	не как	2	9
236	в этих	5	9
237	и на	7	9
238	в котором	11	9
239	в одном	7	9
240	и когда	1	9
241	превращается в	2	9
242	точка зрения	1	9
243	и он	2	9
244	мы можем	1	9
245	же как	5	9
246	бы в	2	9
247	на этом	1	9
248	иметь в	2	9
249	общего с	3	9
250	и по	6	9
251	была бы	10	9
252	с ними	1	9
253	то время	2	9
254	как о	2	9
255	и более	4	9
256	той же	5	9
257	всех этих	2	9
258	тут не	3	9
259	и от	2	9
260	или иной	1	9
261	а если	2	9
262	выйти за	1	9
263	как он	3	9
264	в истории	5	9
265	от него	1	8
266	даже в	5	8
267	в разных	1	8
268	и говорить	1	8
269	в отношении	11	8
270	но все	9	8
271	при условии	1	8
272	вот почему	1	8
273	уже о	6	8
274	чего не	1	8
275	уже и	1	8
276	то как	1	8
277	всегда и	1	8
278	так то	1	8
279	нет и	1	8
280	себя в	1	8
281	с одной	3	8
282	не будет	1	8
283	что эта	5	8
284	этом смысле	2	8
285	в этой	13	8
286	что есть	1	8
287	или иначе	3	8
288	в одной	3	8
289	один из	1	8
290	и из	1	8
291	не на	3	8
292	но вот	1	8
293	как не	1	8
294	ничего общего	3	8
295	когда мы	1	8
296	у меня	3	8
297	при помощи	4	8
298	наука и	1	8
299	в поэзии	1	8
300	у нас	12	8
301	на самом	8	8
302	бы и	4	8
303	как нечто	1	8
304	и без	4	8
305	только и	1	8
306	того или	4	8
307	бы только	2	8
308	если она	1	8
309	все что	1	7
310	говоря уже	2	7
311	как она	1	7
312	е не	2	7
313	тем что	6	7
314	зависимости от	2	7
315	но он	5	7
316	всего прочего	1	7
317	не всегда	2	7
318	точно так	2	7
319	как на	10	7
320	думаю что	6	7
321	он сам	1	7
322	от себя	1	7
323	связи с	3	7
324	не знает	2	7
325	во внимание	2	7
326	но для	3	7
327	каком случае	1	7
328	в конце	5	7
329	а только	1	7
330	то ни	2	7
331	с какой	1	7
332	истории и	2	7
333	и при	1	7
334	из которых	1	7
335	так или	3	7
336	сами по	2	7
337	заключается в	5	7
338	отношения к	2	7
339	как в	15	7
340	со стороны	7	7
341	только одно	1	7
342	и об	7	7
343	говорят что	2	7
344	не потому	3	7
345	что здесь	2	7
346	без всякого	2	7
347	с его	3	7
348	он должен	2	7
349	очень много	1	7
350	что этот	3	7
351	и я	5	7
352	думать что	2	7
353	не говоря	2	7
354	и их	3	7
355	из этих	7	7
356	так чтобы	1	7
357	тем самым	2	7
358	нуждается в	2	7
359	эти два	1	7
360	о чем	4	6
361	то не	3	6
362	говорить что	1	6
363	у пушкина	17	6
364	более или	2	6
365	уже в	3	6
366	а что	1	6
367	одной стороны	2	6
368	в другом	5	6
369	но они	3	6
370	в зависимости	2	6
371	одна из	1	6
372	тут же	1	6
373	во всех	8	6
374	для своего	2	6
375	по своей	2	6
376	в которой	13	6
377	именно как	1	6
378	во что	1	6
379	можно было	14	6
380	с полной	2	6
381	с тем	3	6
382	что нет	2	6
383	вместе с	5	6
384	никто не	4	6
385	себя и	1	6
386	может не	2	6
387	о котором	2	6
388	не наука	1	6
389	еще и	5	6
390	ни к	1	6
391	того чтобы	15	6
392	не быть	1	6
393	личности но	1	6
394	но о	1	6
395	на основании	2	6
396	имеет никакого	1	6
397	мог бы	1	6
398	всяком случае	8	6
399	для него	10	6
400	о нем	1	6
401	они не	2	6
402	того как	8	6
403	ее в	2	6
404	с их	2	6
405	но с	7	6
406	по существу	3	6
407	вообще не	5	6
408	действительно есть	1	6
409	по своему	2	6
410	его в	4	6
411	или менее	2	6
412	бы ни	3	6
413	мере в	3	6
414	показывает что	1	6
415	и почти	1	6
416	только так	1	6
417	дело не	4	6
418	но я	5	6
419	не с	1	6
420	в науке	1	6
421	оказывается что	1	6
422	стороны и	1	6
423	при всем	1	6
424	в один	1	6
425	отношение к	3	6
426	для этого	2	6
427	в каком-то	2	6
428	и совершенно	1	6
429	больше того	1	6
430	а я	1	6
431	в той	9	5
432	а есть	1	5
433	до сих	13	5
434	их не	1	5
435	в своих	2	5
436	если он	1	5
437	например в	8	5
438	я могу	1	5
439	что по	1	5
440	их в	2	5
441	в одно	1	5
442	тем или	3	5
443	в это	3	5
444	речь идет	6	5
445	но даже	1	5
446	и той	1	5
447	двух или	1	5
448	я думаю	11	5
449	как я	1	5
450	к этому	4	5
451	нет никаких	2	5
452	есть также	1	5
453	едва ли	1	5
454	гораздо более	5	5
455	все в	2	5
456	все его	1	5
457	что у	8	5
458	в качестве	7	5
459	тому же	2	5
460	есть еще	1	5
461	и другое	1	5
462	что его	1	5
463	тот кто	1	5
464	на другую	1	5
465	вы хотите	1	5
466	в свете	1	5
467	я приведу	1	5
468	и у	2	5
469	сих пор	12	5
