N	4gram	Propp_Russ	formyVre
1	одного и того же	1	9
2	в то время как	1	4
3	так же как и	3	3
4	и в этом случае	2	2
5	одна и та же	1	2
6	в том что в	6	1
7	к еде и питью	1	1
8	мы не будем останавливаться	2	1
9	наряду с этим в	1	1
10	вместе с тем и	2	1
11	и том же месте	1	1
12	в тех случаях когда	2	1
13	в том что они	1	1
14	говорит о том что	1	1
15	приходит к выводу что	1	1
16	одном и том же	1	1
17	как мы уже знаем	2	1
18	в данном случае мы	1	1
19	в этом случае он	1	1
20	в одном и том	1	1
21	но вместе с тем	3	1
22	в одном ряду с	1	1
23	состояло в том что	2	1
24	не имеет существенного значения	2	1
25	но в данном случае	1	1
26	в первой половине xix	1	1
27	и в том же	1	1
