N	3gram	Propp_Isto	Russkaja
1	друг с другом	3	14
2	в том что	6	7
3	на самом деле	2	6
4	для того чтобы	1	6
5	до сих пор	11	5
6	в том случае	1	4
7	не может быть	8	4
8	на то что	5	4
9	к тому чтобы	1	4
10	более или менее	5	4
11	бы то ни	2	4
12	вместе с тем	7	3
13	можно было бы	5	3
14	в этом случае	3	3
15	что он не	4	2
16	того или иного	1	2
17	в этом направлении	1	2
18	точно так же	8	2
19	в большинстве случаев	4	2
20	о том что	5	2
21	к тому что	1	2
22	это потому что	1	2
23	друг от друга	1	2
24	о том чтобы	1	2
25	и вместе с	2	2
26	том случае когда	1	1
27	подлежит никакому сомнению	1	1
28	быть не может	1	1
29	должны были бы	2	1
30	тем что они	2	1
31	необходимо иметь в	1	1
32	в противном случае	1	1
33	чтобы освободиться от	1	1
34	на земле что	1	1
35	и должно было	1	1
36	бы привести к	2	1
37	положение по сравнению	1	1
38	на точку зрения	1	1
39	лишь тогда когда	1	1
40	за то что	2	1
41	может быть назван	2	1
42	дело в том	3	1
43	смысле этого слова	1	1
44	является не только	1	1
45	не только для	1	1
46	но в то	1	1
47	всех этих случаях	1	1
48	это конечно не	2	1
49	мы уже знаем	3	1
50	это значило бы	1	1
51	связаны друг с	2	1
52	и должно быть	2	1
53	это завело бы	1	1
54	уже знаем что	2	1
55	до известной степени	1	1
56	так же как	6	1
57	бы показать что	1	1
58	естественно поэтому что	1	1
59	тех или иных	1	1
60	между собой и	1	1
61	по отношению к	6	1
62	во многих случаях	1	1
63	и прежде всего	1	1
64	во всех этих	1	1
65	в том чтобы	1	1
66	видно из всего	1	1
67	прежде всего в	1	1
68	что он на	1	1
69	с самого начала	4	1
70	содержат в себе	1	1
71	так как это	1	1
72	что он имеет	1	1
73	то ни было	2	1
74	сих пор мы	4	1
75	таит в себе	1	1
76	мы должны себе	1	1
77	по сравнению со	1	1
78	на первый взгляд	2	1
79	в связи с	5	1
80	то же самое	3	1
81	мог бы привести	1	1
82	она там и	1	1
83	не играет роли	1	1
84	ни к какому	1	1
85	тем не менее	7	1
86	но все же	7	1
87	только то что	1	1
88	в другом месте	2	1
89	из всех этих	1	1
90	во всем мире	1	1
91	в этом отношении	1	1
92	вопрос о том	2	1
93	и не только	1	1
94	только в этом	1	1
95	никогда не было	1	1
96	не подлежит никакому	1	1
97	так же и	2	1
98	должны себе представить	1	1
99	в значительной степени	1	1
100	в этой роли	2	1
101	на этот вопрос	2	1
102	о том чем	1	1
103	а в нем	1	1
104	но и для	1	1
105	так как оно	2	1
106	этого вопроса необходимо	1	1
107	к тому же	1	1
108	сводится к тому	1	1
109	потому что они	1	1
110	и в этом	1	1
