N	2gram	Vinokur_Ku	Sovremen
1	не может	13	17
2	может быть	25	12
3	точки зрения	25	12
4	таким образом	17	11
5	мы не	1	9
6	в каждом	3	8
7	в этом	31	7
8	и в	44	7
9	мы можем	2	6
10	в результате	8	6
11	только одна	1	6
12	как и	3	6
13	ничего не	6	6
14	и не	23	6
15	с точки	16	5
16	прежде всего	14	5
17	что же	11	5
18	все эти	17	5
19	в условиях	1	5
20	в дальнейшем	1	4
21	а в	7	4
22	так как	16	4
23	вопрос о	11	4
24	это не	13	4
25	не только	29	4
26	мы должны	2	4
27	в развитии	1	4
28	с помощью	12	4
29	как бы	11	4
30	нет и	1	4
31	если мы	5	4
32	в зависимости	7	4
33	их в	1	4
34	жизни и	1	4
35	вместе с	8	4
36	в целом	5	4
37	же это	2	4
38	в том	47	4
39	зависимости от	9	4
40	из них	4	4
41	точку зрения	2	4
42	мы видели	3	4
43	и к	1	3
44	и потому	6	3
45	на этой	4	3
46	этим мы	1	3
47	и мы	2	3
48	когда мы	3	3
49	уже в	5	3
50	то же	12	3
51	при этом	6	3
52	мы получаем	2	3
53	не в	18	3
54	а не	17	3
55	в системе	3	3
56	для нас	6	3
57	все это	10	3
58	мы получим	1	3
59	как он	1	3
60	в одном	4	3
61	к действию	2	3
62	у нас	19	3
63	а все	2	3
64	основной вопрос	1	3
65	в конце	5	3
66	ведь это	1	3
67	так называемых	3	3
68	в наших	1	3
69	было бы	28	3
70	в первом	3	3
71	у всех	1	3
72	в этой	8	3
73	и все	4	3
74	мы называем	1	3
75	в себе	4	3
76	следующим образом	1	3
77	само собою	1	3
78	ясно что	7	3
79	не подлежит	1	3
80	что она	5	3
81	он может	1	3
82	одна из	1	3
83	все же	17	3
84	в области	15	3
85	отличается от	2	3
86	отнюдь не	5	3
87	в нем	7	3
88	но в	11	3
89	еще не	10	3
90	с этим	6	2
91	что в	25	2
92	тем не	10	2
93	в самом	20	2
94	дает нам	1	2
95	совершенно не	4	2
96	значение в	1	2
97	и что	11	2
98	отличие от	3	2
99	такие же	2	2
100	и пр	23	2
101	то и	4	2
102	о значении	2	2
103	с одной	3	2
104	в отличие	3	2
105	такого рода	1	2
106	в свою	4	2
107	из этих	5	2
108	в его	16	2
109	во всяком	8	2
110	мы знаем	3	2
111	не дает	1	2
112	в которую	1	2
113	еще более	1	2
114	то ни	2	2
115	с совершенно	1	2
116	что это	11	2
117	или же	3	2
118	быть и	1	2
119	в некоторых	1	2
120	по мнению	1	2
121	из которых	3	2
122	что такое	8	2
123	может иметь	3	2
124	если же	1	2
125	говорить о	5	2
126	на его	3	2
127	в науке	4	2
128	все те	3	2
129	конечно в	1	2
130	с общим	1	2
131	представлять себе	1	2
132	в живом	2	2
133	на их	1	2
134	у него	3	2
135	не могут	5	2
136	в новых	1	2
137	в виде	1	2
138	а на	3	2
139	свою очередь	4	2
140	и даже	5	2
141	говорим о	3	2
142	самом деле	17	2
143	в которой	7	2
144	но все	5	2
145	к чему	1	2
146	тот или	1	2
147	возможность и	2	2
148	как мы	2	2
149	настоящее время	2	2
150	она может	1	2
151	тем же	2	2
152	и во	1	2
153	той же	5	2
154	могут быть	5	2
155	в таком	3	2
156	в нашем	8	2
157	уже не	13	2
158	не знаем	1	2
159	и есть	3	2
160	что все	6	2
161	или иной	3	2
162	и именно	3	2
163	на этот	4	2
164	такой же	1	2
165	говорить об	1	2
166	первый период	2	2
167	на этом	4	2
168	роль в	6	2
169	не менее	12	2
170	так сказать	5	2
171	приводит к	3	2
172	собою разумеется	1	2
173	и по	4	2
174	из четырех	1	2
175	из одного	3	2
176	в настоящее	2	2
177	знаем что	3	2
178	тот же	7	2
179	от обстоятельств	1	2
180	мы с	3	2
181	всяком случае	8	2
182	он должен	2	2
183	как угодно	1	2
184	данной области	1	1
185	во всех	1	1
186	можно наблюдать	1	1
187	существу не	1	1
188	все они	1	1
189	к началу	1	1
190	которую можно	2	1
191	необходимость в	1	1
192	бы то	1	1
193	которые в	2	1
194	совершенно иными	1	1
195	поскольку она	1	1
196	и конкретную	1	1
197	к которому	3	1
198	именно к	1	1
199	это и	6	1
200	его и	1	1
201	этом случае	4	1
202	реагирует на	1	1
203	в свое	4	1
204	и составляет	1	1
205	только не	1	1
206	но можно	2	1
207	том случае	3	1
208	влечет за	1	1
209	а потому	6	1
210	во втором	2	1
211	то он	1	1
212	но как	2	1
213	и живой	1	1
