N	3gram	Kanaev_Sov	RusskieA
1	в том что	1	49
2	тем не менее	2	14
3	в этом случае	1	12
4	в данном случае	1	8
5	в настоящее время	2	7
6	мы не можем	6	7
7	не может быть	4	6
8	так же как	1	6
9	в связи с	1	5
10	мы видели что	3	5
11	в западной европе	1	5
12	не что иное	1	4
13	в отличие от	2	4
14	что иное как	1	4
15	можно было бы	1	4
16	во всяком случае	2	4
17	по отношению к	1	3
18	мы должны признать	1	3
19	до сих пор	1	3
20	в свою очередь	2	3
21	на другой день	1	3
22	с точки зрения	5	3
23	может быть и	2	3
24	мы уже знаем	1	2
25	ничего общего не	1	2
26	для наших целей	1	2
27	может быть только	1	2
28	друг с другом	2	2
29	но все же	1	2
30	и у нас	1	2
31	равно как и	1	2
32	на самом деле	1	2
33	и в этом	1	2
34	но тем не	1	2
35	всяком случае не	1	2
36	по его мнению	1	2
37	одна из них	1	2
38	с одной стороны	1	2
39	все это пока	1	1
40	а может быть	1	1
41	можно говорить об	1	1
42	в заключение нужно	1	1
43	только одна из	1	1
44	xix в и	1	1
45	сих пор в	1	1
46	одни и те	1	1
47	до наших дней	1	1
48	в предыдущей главе	1	1
49	и другую сторону	1	1
50	переносились в область	1	1
51	все же в	1	1
52	мы знаем что	1	1
53	в такой же	1	1
54	она не может	1	1
55	как мы видим	1	1
56	конце xix в	1	1
57	по аналогии с	1	1
58	поэтому мы не	2	1
59	в древней греции	1	1
60	при таком методе	2	1
61	на этот вопрос	1	1
62	мы видим что	1	1
63	не может не	3	1
64	то же самое	2	1
65	научное объяснение их	1	1
66	что она может	1	1
67	и могут быть	1	1
68	так как он	2	1
69	и те же	1	1
70	и может быть	1	1
71	со всеми его	1	1
72	не более как	1	1
73	их и что	1	1
74	и что следовательно	1	1
75	дело в том	1	1
76	и до сих	1	1
77	и та же	1	1
78	в измененном виде	1	1
79	не имеет с	1	1
80	у нас на	1	1
81	в новое время	1	1
82	одна и та	1	1
83	общего не имеет	1	1
