N	4gram	Bakhtin_Fr	DiskursI
1	в то же время	12	8
2	с одной стороны и	1	5
3	дело в том что	2	5
4	одного и того же	1	4
5	в том числе и	2	3
6	между жизнью и смертью	1	2
7	то же время и	1	2
8	одним и тем же	1	2
9	не что иное как	1	1
10	в том и в	1	1
11	и в том и	1	1
12	в большинстве случаев это	1	1
13	только после того как	1	1
14	и до настоящего времени	1	1
15	том и в другом	1	1
16	большей или меньшей степени	1	1
17	как бы в точке	1	1
18	в той или иной	1	1
19	в большей или меньшей	1	1
20	жизнью и смертью в	1	1
21	с другой стороны в	1	1
22	в том что они	1	1
23	говорит о том что	1	1
24	и прежде всего с	1	1
25	и в другом случае	1	1
26	заключается в том что	1	1
27	с большей или меньшей	1	1
28	той или иной мере	1	1
29	начала и до конца	4	1
30	то же время они	1	1
31	лишь в одном из	1	1
32	все дело в том	1	1
33	здесь как и в	1	1
34	в том или ином	2	1
35	есть не что иное	1	1
