N	2gram	Kanaev_Sov	Problemy
1	и в	7	106
2	и не	6	90
3	как бы	4	70
4	может быть	12	66
5	в его	2	56
6	в этом	7	52
7	в нем	3	51
8	не может	17	49
9	как и	6	44
10	точки зрения	12	40
11	и его	1	39
12	а не	3	38
13	то же	3	36
14	не только	4	36
15	но в	3	33
16	прежде всего	5	32
17	он не	1	29
18	в то	1	29
19	все это	3	29
20	и все	3	28
21	в одном	3	27
22	не в	3	27
23	к другому	1	27
24	же время	1	26
25	в самом	2	25
26	к нему	1	25
27	с точки	5	25
28	вовсе не	1	24
29	самом деле	2	24
30	рядом с	1	23
31	по себе	1	22
32	в каждом	8	22
33	таким образом	11	22
34	там где	1	21
35	как мы	2	21
36	все же	3	20
37	никогда не	1	20
38	только в	1	20
39	что же	5	19
40	что в	2	19
41	с его	1	19
42	отношению к	1	19
43	уже не	2	18
44	по отношению	1	18
45	в себе	3	18
46	еще не	3	18
47	на самом	1	18
48	но не	1	18
49	все эти	5	18
50	и к	3	17
51	с ним	1	17
52	а в	4	17
53	в том	4	17
54	это не	4	17
55	так же	1	16
56	если бы	1	16
57	этом смысле	1	16
58	в другом	1	16
59	у него	2	15
60	и для	1	15
61	и наконец	5	15
62	в своем	1	14
63	в конце	3	14
64	себя самого	1	14
65	так как	4	14
66	но все	2	13
67	точка зрения	1	13
68	его в	1	13
69	в мире	1	13
70	и это	1	13
71	в большинстве	1	13
72	в целом	4	13
73	при этом	3	12
74	и даже	2	12
75	во всяком	2	12
76	не знает	1	12
77	так сказать	2	12
78	и что	2	12
79	было бы	3	12
80	том что	1	12
81	но это	1	12
82	ничего не	6	12
83	их в	4	11
84	с другой	1	11
85	ни одного	1	11
86	он сам	1	11
87	должно быть	1	11
88	мы уже	1	11
89	не могут	2	11
90	дело идет	1	11
91	она не	1	11
92	или как	1	11
93	самого начала	3	10
94	сих пор	1	10
95	до сих	1	10
96	приводит к	2	10
97	той же	2	10
98	к одному	1	10
99	друг с	2	9
100	хотя и	1	9
101	с самого	3	9
102	из одного	2	9
103	могут быть	2	9
104	всяком случае	2	9
105	ни в	1	9
106	или в	1	9
107	раз и	1	9
108	и потому	3	9
109	человека в	1	9
110	в результате	6	8
111	и до	1	8
112	о том	1	8
113	все время	1	8
114	из них	4	8
115	несмотря на	1	8
116	ни было	1	8
117	но как	1	8
118	и у	1	8
119	и от	1	8
120	мы должны	4	8
121	что это	2	8
122	уже в	3	8
123	это и	1	8
124	с другом	2	8
125	отличается от	3	7
126	вопрос о	4	7
127	только на	1	7
128	сказать что	1	7
129	что все	2	7
130	что она	3	7
131	все его	1	7
132	не было	1	7
133	как его	1	7
134	между ними	1	7
135	и следовательно	1	7
136	во всех	1	7
137	то ни	2	7
138	если же	2	7
139	бы то	1	7
140	его с	1	7
141	в процессе	1	7
142	его и	1	7
143	он в	3	7
144	на этот	2	7
145	точку зрения	4	7
146	тот же	2	7
147	все равно	1	7
148	в виде	2	7
149	но эта	1	7
150	и их	1	7
151	он с	1	7
152	такой же	2	7
153	кроме того	1	6
154	в своих	1	6
155	не менее	2	6
156	и нет	1	6
157	с этим	2	6
158	конечно не	1	6
159	одна из	3	6
160	человек и	1	6
161	но ведь	1	6
162	на этом	2	6
163	для его	2	6
164	человека как	1	6
165	все те	2	6
166	можно было	1	6
167	этот вопрос	1	6
168	в этой	3	6
169	может стать	1	6
170	зависимости от	4	6
171	в отличие	2	6
172	и во	2	6
173	он может	3	6
174	и пр	2	6
175	не принимает	1	6
176	по существу	1	6
177	на его	2	6
178	на них	1	6
179	отличие от	2	6
180	как он	3	6
181	в начале	1	6
182	идет о	1	6
183	жизни и	4	6
184	и только	1	6
185	но для	1	6
186	те же	1	5
187	именно в	1	5
188	по своим	1	5
189	к которому	1	5
190	в зависимости	4	5
191	того же	1	5
192	крайней мере	1	5
193	зрения и	1	5
194	в такой	1	5
195	той или	1	5
196	один из	1	5
197	та же	1	5
198	ним и	1	5
199	функции в	1	5
200	со всеми	2	5
201	вместе с	4	5
202	по крайней	1	5
203	совершенно не	2	5
204	мы не	9	5
205	нет и	4	5
206	они не	1	5
207	ведь это	3	5
208	в ней	1	5
209	быть и	2	5
210	с человеком	1	5
211	благодаря этому	1	5
212	или иной	2	5
213	все что	1	4
214	еще более	2	4
215	нами в	1	4
216	в духе	1	4
217	в первом	3	4
218	на друга	1	4
219	за собой	1	4
220	друг на	1	4
221	во всей	1	4
222	на котором	2	4
223	каждый элемент	1	4
224	поэтому в	1	4
225	тем не	2	4
226	что такое	2	4
227	связи с	1	4
228	в которой	2	4
229	в эту	1	4
230	но только	1	4
231	с ее	1	4
232	мы видели	4	4
233	он уже	1	4
234	из которых	2	4
235	от другого	1	4
236	о другом	1	4
237	и действительно	1	4
238	вследствие этого	1	4
239	нет в	1	4
240	здесь нет	1	4
241	то он	1	4
242	то и	2	4
243	и если	1	4
244	в первых	1	4
245	времени и	2	4
246	сами по	1	4
247	во внутреннем	1	4
248	он должен	2	4
249	что с	1	4
250	здесь в	1	4
251	к концу	1	4
252	мысли в	1	4
253	это как	1	4
254	только так	2	4
255	конечно в	2	4
256	еще в	1	4
257	стороны и	1	4
258	как их	1	4
259	и прежде	1	4
260	таким же	1	4
261	говорить о	2	3
262	какой бы	1	3
263	а затем	1	3
264	и само	1	3
265	но что	1	3
266	волевого акта	1	3
267	функций в	1	3
268	есть то	1	3
269	без труда	1	3
270	в данном	1	3
271	это последнее	1	3
272	между двумя	1	3
273	увидим что	1	3
274	но они	1	3
275	и еще	1	3
276	настоящее время	2	3
277	одной из	1	3
278	то чем	1	3
279	и вообще	1	3
280	только не	1	3
281	мы видим	2	3
282	по преимуществу	1	3
283	она в	1	3
284	мы знаем	2	3
285	чем в	1	3
286	к чему	2	3
287	что его	1	3
288	например у	1	3
289	в таком	2	3
290	между собой	3	3
291	мы можем	6	3
292	очень часто	1	3
293	не дает	2	3
294	совсем не	1	3
295	и та	1	3
296	и мы	3	3
297	другом как	1	3
298	и есть	2	3
299	значение в	2	3
300	и по	2	3
301	в один	2	3
302	и особенно	1	3
303	почти не	1	3
304	и при	1	3
305	кто же	1	3
306	стремится быть	1	3
307	все они	1	3
308	не является	1	3
309	да еще	1	3
310	всех элементов	3	3
311	а может	1	3
312	как например	1	3
313	если мы	4	3
314	тем же	2	3
315	не из	1	3
316	в настоящее	2	3
317	именно к	1	3
318	этом случае	1	3
319	данном случае	1	3
320	которых он	1	3
321	и всегда	1	3
322	на которой	1	3
323	у нас	3	3
324	мы будем	1	3
325	этого не	1	3
326	дело в	1	3
327	так в	1	3
328	и могут	1	3
329	но уже	1	3
330	которой он	2	3
331	но конечно	1	3
332	оно может	1	3
333	реагирует на	1	3
334	из этих	2	3
335	человека и	1	3
336	находиться в	1	3
337	которые в	1	3
338	же в	1	3
339	и эта	1	3
340	зрения своего	1	2
341	из всех	1	2
342	но тем	1	2
343	что дело	1	2
344	само собою	3	2
345	в корне	1	2
346	роль в	2	2
347	если уже	1	2
348	мы с	2	2
349	в этот	1	2
350	что вся	1	2
351	он ищет	1	2
352	с помощью	4	2
353	бы два	1	2
354	отметить что	1	2
355	себе в	1	2
356	свою очередь	2	2
357	на ней	1	2
358	быть в	1	2
