N	2gram	Tiupa_Disk	VeschiIm
1	не есть	3	79
2	и не	25	57
3	не только	36	48
4	то что	10	48
5	не может	17	46
6	и в	27	45
7	и есть	2	40
8	может быть	29	39
9	а не	35	37
10	общения с	4	25
11	потому что	7	25
12	не просто	1	24
13	было бы	1	24
14	только в	9	23
15	по себе	3	23
16	что она	1	23
17	в себе	22	23
18	сказать что	4	22
19	в смысле	1	22
20	и что	2	22
21	как бы	9	20
22	что такое	1	20
23	и следовательно	1	20
24	что это	1	19
25	что же	4	19
26	но и	22	19
27	и ее	5	19
28	в этом	29	18
29	все же	8	18
30	прежде всего	17	17
31	и это	3	17
32	таким образом	4	16
33	того что	4	16
34	как раз	1	16
35	от всего	1	15
36	как и	27	15
37	уже не	7	15
38	в том	29	15
39	в ней	2	15
40	но это	3	14
41	и то	4	14
42	не в	8	14
43	в самом	4	13
44	не будет	1	13
45	том что	27	13
46	это и	2	13
47	в себя	7	13
48	что в	8	12
49	и с	2	12
50	то же	12	12
51	и даже	4	12
52	о том	12	12
53	еще не	20	12
54	точки зрения	6	12
55	но если	1	12
56	ничего не	1	12
57	что они	1	12
58	что и	5	12
59	и как	9	12
60	и их	1	11
61	содержит в	3	11
62	не менее	6	11
63	себя в	8	11
64	общение с	1	11
65	еще и	1	11
66	тем не	1	11
67	ни в	7	11
68	что не	4	11
69	вовсе не	1	11
70	также и	6	11
71	в то	8	11
72	и только	1	11
73	по крайней	3	10
74	в чем	2	10
75	крайней мере	3	10
76	с ее	3	10
77	я и	3	9
78	в результате	3	9
79	со стороны	17	9
80	бы и	1	9
81	то и	1	9
82	хотя бы	3	9
83	как вещь	1	9
84	говорить о	3	9
85	в своем	11	9
86	должно быть	2	9
87	это не	5	9
88	если оно	1	9
89	она не	1	9
90	так что	1	9
91	но не	17	9
92	на то	1	9
93	и его	4	9
94	как с	1	8
95	должна быть	2	8
96	если бы	1	8
97	с тем	1	8
98	что он	6	8
99	себя и	2	8
100	отличается от	3	8
101	но в	15	8
102	мы не	2	8
103	мы имеем	4	8
104	для него	9	8
105	в ее	4	8
106	все это	2	8
107	со своим	1	8
108	с другими	1	8
109	его в	1	8
110	указывает на	2	8
111	и потому	3	8
112	в философии	1	8
113	не с	4	8
114	даже не	1	8
115	с другой	14	8
116	можно сказать	7	8
117	отнюдь не	11	8
118	с этой	2	7
119	в сущности	3	7
120	оно не	2	7
121	самом деле	2	7
122	вещь в	1	7
123	все эти	2	7
124	тем что	4	7
125	в действительности	3	7
126	слова и	2	7
127	мог бы	1	7
128	никак не	1	7
129	или не	2	7
130	я не	1	7
131	и тем	2	7
132	от того	1	7
133	а в	5	7
134	из них	6	7
135	необходимо чтобы	2	7
136	в той	2	6
137	для себя	6	6
138	в разных	1	6
139	их в	2	6
140	в своей	10	6
141	в каком	1	6
142	в данном	9	6
143	в одном	5	6
144	вообще но	1	6
145	и до	2	6
146	момент в	3	6
147	одна из	1	6
148	вопрос о	2	6
149	на почве	3	6
150	несмотря на	1	6
151	с точки	3	6
152	эти две	1	6
153	дело в	3	6
154	быть только	1	6
155	между ними	1	6
156	в нем	16	6
157	и вообще	2	6
158	что является	1	6
159	должны быть	3	6
160	одно и	2	6
161	когда мы	1	6
162	как мы	2	6
163	бытия и	1	6
164	жизни и	2	6
165	тех или	1	6
166	независимо от	1	6
167	и все	5	6
168	никогда не	3	6
169	она сама	2	5
170	как это	2	5
171	один из	3	5
172	как к	2	5
173	мысли и	2	5
174	подобно тому	4	5
175	себя с	2	5
176	в жизни	2	5
177	ничем не	1	5
178	как о	1	5
179	вместе с	3	5
180	да и	2	5
181	в свою	3	5
182	свою очередь	3	5
183	нет и	1	5
184	точка зрения	3	5
185	того же	5	5
186	о ней	2	5
187	во всех	6	5
188	и мы	1	5
189	в его	9	5
190	хотя и	3	5
191	как можно	1	5
192	в которой	2	5
193	на себя	2	5
194	в понятии	1	5
195	и без	2	5
196	как она	1	5
197	об этом	3	5
198	должен быть	1	5
