N	3gram	Tiupa_Teor	Narrotol
1	в том что	10	18
2	в данном случае	5	17
3	в отличие от	7	11
4	по отношению к	10	11
5	дамы с собачкой	1	11
6	к тому же	1	9
7	о том что	1	9
8	не может быть	5	8
9	тем не менее	3	8
10	не сводится к	9	8
11	в соответствии с	2	8
12	той или иной	3	8
13	то же время	8	8
14	по большей части	2	8
15	в то же	8	8
16	и тем самым	2	6
17	состоит в том	6	6
18	в известном смысле	2	6
19	мы имеем дело	2	6
20	можно сказать что	3	6
21	во времени и	1	6
22	с одной стороны	3	6
23	для того чтобы	5	5
24	в свою очередь	3	5
25	подобно тому как	3	5
26	имеем дело с	1	5
27	начала и конца	1	4
28	начало и конец	1	4
29	в конечном счете	6	4
30	к тому что	2	4
31	в равной степени	3	4
32	войны и мира	1	4
33	заключает в себе	1	3
34	в самом деле	2	3
35	обращает на себя	1	3
36	а в том	1	3
37	следует подчеркнуть что	1	3
38	в первом случае	1	3
39	иметь в виду	1	3
40	речь идет о	1	3
41	в зависимости от	1	3
42	уже говорилось выше	1	3
43	в художественных текстах	1	3
44	точно так же	1	3
45	не было и	1	3
46	по сути дела	3	3
47	в связи с	3	3
48	то же самое	1	3
49	при всей своей	1	3
50	едва ли не	1	3
51	присутствия в мире	6	3
52	того или иного	6	3
53	так и не	5	3
54	на себя внимание	1	3
55	с точки зрения	3	3
56	я в мире	8	3
57	дело в том	1	3
58	как раз в	1	3
59	несет в себе	3	3
60	тогда как в	2	3
61	как уже говорилось	2	3
62	войне и мире	2	2
63	в той или	1	2
64	мере в какой	1	2
65	и в жизни	1	2
66	все то что	1	2
67	и в то	2	2
68	в той мере	1	2
69	текста так и	1	2
70	следует иметь в	1	2
71	в е годы	1	2
72	из этих двух	1	2
73	в силу своей	4	2
74	собственно говоря и	1	2
75	более или менее	6	2
76	и то же	2	2
77	поименованное в тексте	1	2
78	в таком случае	2	2
79	одного и того	4	2
80	в себе самом	1	2
81	а между тем	1	2
82	той мере в	1	2
83	не могло быть	2	2
84	не только на	1	2
85	не только не	2	2
86	и того же	4	2
87	не входит в	1	2
88	как субъекта самоопределения	1	2
89	а с другой	2	2
90	перед нами не	1	2
91	по этой причине	1	2
92	а не все	1	2
93	раз в том	1	2
94	оказывается всего лишь	1	2
95	и потому что	1	2
96	в своего рода	1	2
97	вследствие того что	1	2
98	представляет собой некий	1	2
99	на второй план	1	2
100	между тем это	1	2
101	к одному из	1	2
102	не все что	1	2
103	здесь мы имеем	1	2
104	присутствия я в	7	2
105	одно и то	2	2
106	текста в целом	1	2
107	во втором эпизоде	1	2
108	так же как	1	2
109	с легкой руки	2	2
110	в русской литературе	2	2
111	тем или иным	2	2
112	в войне и	2	2
113	на первый взгляд	1	2
114	по своей природе	3	2
115	что иное как	1	2
116	еще и потому	1	2
117	кадров внутреннего зрения	7	2
118	как бы в	1	2
119	в маркированном положении	1	2
120	пребывания в мире	1	2
121	с кротким мягким	1	1
122	не могли бы	1	1
123	деталей в пределах	1	1
124	картина мира которая	1	1
125	кадрового единства фразы	1	1
126	в самом начале	2	1
127	в этой системе	2	1
128	в осмысленном и	1	1
129	малый отрезок времени	1	1
130	одной стороны и	1	1
131	как другая жизнь	1	1
132	характеристика душечки постепенно	1	1
133	и как бы	1	1
134	отнюдь не в	1	1
135	смерти чиновника или	1	1
136	внеличную сторону индивида	1	1
137	в структуре текста	2	1
138	но не слияние	3	1
139	что душевная характеристика	1	1
140	может или пожелает	1	1
141	по себе а	1	1
142	никак не может	1	1
143	стремился к полноте	1	1
144	судьба выражает внеличную	1	1
145	до известной степени	2	1
146	лишь поименованное в	1	1
147	мастера и маргариты	2	1
148	от друга местом	1	1
149	была тихая добродушная	1	1
150	проявляет себя в	1	1
151	так и его	2	1
152	времени в поле	1	1
153	в большинстве случаев	1	1
154	искусством непрямого говорения	1	1
155	входит лишь поименованное	1	1
156	позицию по отношению	1	1
157	в рамках одного	2	1
158	является искусством непрямого	1	1
159	бы место лишь	1	1
160	движется один отдельный	1	1
161	единства фразы устанавливает	1	1
162	таково в частности	1	1
163	адресата а не	1	1
164	в этом смысле	3	1
165	тривиальная в общеязыковом	1	1
166	по своему происхождению	1	1
167	при этом что	2	1
168	то или иное	1	1
169	и делает героя	1	1
170	литература является искусством	1	1
171	друга местом временем	1	1
172	порядок фокусирующих восприятие	1	1
173	оно живет в	1	1
174	читателю ракурс видения	1	1
175	таков что душевная	1	1
176	кадры повествования а	1	1
177	не обязательно человек	1	1
178	в ходе чтения	1	1
179	значении этого термина	1	1
180	специфически человеческий способ	1	1
181	я в качестве	2	1
182	жизни не в	1	1
183	неизбежно принадлежит к	1	1
184	дифференцированном и оцененном	1	1
185	вдруг заслоняется крупным	1	1
186	жизни между тем	1	1
187	устанавливает задаваемый читателю	1	1
188	лично для себя	1	1
189	сближение но не	3	1
190	коммуникативного события в	1	1
191	современных гуманитарных науках	1	1
192	душечки постепенно углубляемая	1	1
193	организации кадров внутреннего	1	1
194	в том числе	3	1
195	было и не	1	1
196	единственный в тексте	1	1
197	всех без исключения	3	1
198	в кадры повествования	1	1
199	в кадры читательского	1	1
200	самая тривиальная в	1	1
201	зрения читателя находится	1	1
202	и многих других	1	1
203	при этом в	1	1
204	всей его полноте	1	1
205	данном случае это	1	1
206	друг от друга	1	1
207	живет в готовом	1	1
208	отрезок времени в	1	1
209	не несет в	1	1
210	в этом втором	1	1
211	фокусирующих восприятие определений	1	1
212	как бы не	1	1
213	один отдельный кадр	1	1
214	крупным планом заключительного	1	1
215	на ее полные	1	1
216	так или иначе	5	1
217	в самом общем	1	1
218	связи с этим	1	1
219	в современных гуманитарных	1	1
220	повествования а читателем	1	1
221	сторону индивида и	1	1
222	в том случае	1	1
223	в особенности в	1	1
224	раскрывают содержание судьбы	1	1
225	а также в	1	1
226	лишь в самом	2	1
227	вступает в противоречие	1	1
228	слияние пространственных и	1	1
229	ракурс видения в	1	1
230	ним всегда преодолеваемая	1	1
231	даже самая тривиальная	1	1
232	восприятия в каждый	1	1
233	в своей индивидуальности	1	1
234	перерывом во времени	1	1
235	отграниченная система смыслов	1	1
236	текста но и	1	1
237	таким образом что	1	1
238	формах косвенной речи	1	1
239	одного из вероятных	1	1
240	щеки на мягкую	1	1
241	состав такого кадра	1	1
242	место слияние пространственных	1	1
243	преодолеваемая даль и	2	1
244	а тот кто	1	1
245	о жизни на	1	1
246	на две половины	1	1
247	не менее не	1	1
248	ильфа и петрова	1	1
249	деталями кадр внутреннего	1	1
250	к другому человеку	1	1
251	в полной мере	1	1
252	очередь членится на	1	1
253	а тем более	1	1
254	или даже вовсе	1	1
255	в смерти чиновника	1	1
256	том что в	1	1
257	в том или	1	1
258	имеет место слияние	1	1
259	точки зрения в	1	1
260	себя в комнате	1	1
261	такого кадра входит	1	1
262	казалось бы место	1	1
263	звучит один голос	1	1
264	это была тихая	1	1
265	не сводятся к	2	1
266	можно сказать не	1	1
267	читательского восприятия в	1	1
268	жизни а не	1	1
269	что в основе	2	1
270	внутреннего зрения и	1	1
271	то ни было	2	1
272	человеческий способ существования	1	1
273	для воспринимающего сознания	1	1
274	в рамках этой	1	1
275	в искусстве слова	2	1
276	нем звучит один	1	1
277	слова в соответствии	1	1
278	в первой главе	1	1
279	на мягкую белую	1	1
280	художественного высказывания в	1	1
281	формах художественного письма	1	1
282	имеет место в	1	1
283	следует смешивать с	3	1
284	в его личностности	1	1
285	всегда преодолеваемая даль	1	1
286	или движется один	1	1
287	своего рода механизмом	1	1
288	завершенная и строго	1	1
289	какой бы то	1	1
290	соответствии с его	1	1
291	ни субъективным как	1	1
292	стабильно дифференцированном и	1	1
293	значении этого слова	3	1
294	в конце предыдущего	1	1
295	а не с	1	1
296	знания убеждения мнения	1	1
297	фразы устанавливает задаваемый	1	1
298	это своего рода	2	1
299	в своем составе	3	1
300	только то что	1	1
301	не проходит бесследно	1	1
302	даль и сближение	2	1
303	вести речь о	1	1
304	же время они	1	1
305	говорящих и слушающих	1	1
306	в организации кадров	1	1
307	том числе и	2	1
308	пределах кадрового единства	1	1
309	с другой стороны	6	1
310	наличии у него	1	1
311	бы то ни	2	1
312	кадры читательского восприятия	1	1
313	здоровая порядок фокусирующих	1	1
314	из того что	1	1
315	то есть от	1	1
316	или иного рода	1	1
317	а не только	1	1
318	не тот кто	1	1
319	имея в виду	1	1
320	автора и читателя	1	1
321	в значительной степени	2	1
322	мысли м.м бахтина	1	1
323	классический реализм xix	1	1
324	задаваемый читателю ракурс	1	1
325	душевная характеристика душечки	1	1
326	в своем восприятии	1	1
327	организатор коммуникативного события	1	1
328	одним и тем	1	1
329	в области литературы	1	1
330	в тексте не	1	1
331	в тарасе бульбе	2	1
332	в нашем случае	2	1
333	жизни то есть	1	1
334	облекается в молчание	1	1
335	заслоняется крупным планом	1	1
336	последовательно вводятся автором	1	1
337	в общеязыковом отношении	1	1
338	есть не что	1	1
339	в евгении онегине	1	1
340	в этих случаях	1	1
341	ее полные розовые	1	1
342	при этом становится	1	1
343	очень здоровая порядок	1	1
344	индивида и его	1	1
345	по сути своей	2	1
346	к чужому слову	1	1
347	втором эпизоде в	1	1
348	то есть в	1	1
349	и строго отграниченная	1	1
350	в этом тексте	1	1
351	сказания притчи анекдота	1	1
352	никогда не бывает	1	1
353	каждый малый отрезок	1	1
354	готовом стабильно дифференцированном	1	1
355	розовые щеки на	1	1
356	и тем же	1	1
357	возможна только в	1	1
358	креативного и рецептивного	2	1
359	если говорить о	1	1
360	и который в	1	1
361	автором в кадры	1	1
362	картина мира это	1	1
363	картина мира и	1	1
364	в противном случае	2	1
365	переносом в пространстве	1	1
366	осмысленном и конкретном	1	1
367	несут в себе	1	1
368	состоит как раз	1	1
369	в противоречие с	1	1
370	по крайней мере	1	1
371	в данный момент	2	1
372	временем действия и	1	1
373	и неслиянность голосов	1	1
374	кадра входит лишь	1	1
375	от своей судьбы	1	1
376	тогда как внутренняя	1	1
377	поле зрения читателя	1	1
378	в готовом стабильно	1	1
379	души вдруг заслоняется	1	1
380	себя в другом	1	1
381	в последние десятилетия	1	1
382	шею с темной	1	1
383	свою очередь членится	1	1
384	барышня с кротким	1	1
385	случае мы имеем	1	1
386	участников коммуникативного события	1	1
387	в поле зрения	1	1
388	взглядом очень здоровая	1	1
389	этой точки зрения	2	1
390	писал в.ф асмус	1	1
391	и рецептивного сознаний	1	1
392	том или ином	1	1
393	и в самом	2	1
394	кадр внутреннего зрения	1	1
395	как и в	2	1
396	и составом участников	1	1
397	в пределах кадрового	1	1
398	не следует смешивать	3	1
399	и временных примет	1	1
400	в реальной действительности	1	1
401	и оцененном мире	1	1
402	подхваченная и усиленная	1	1
403	не только к	1	1
404	как один из	1	1
405	и мире толстого	1	1
406	как это нередко	1	1
407	место лишь в	1	1
408	все что может	1	1
409	ощущаться завершенная и	1	1
410	в соответствии со	1	1
411	а в то	1	1
412	и тем более	1	1
413	выражает внеличную сторону	1	1
414	литературная классика xix	1	1
415	строго отграниченная система	1	1
416	самом начале этой	1	1
417	на котором он	1	1
418	стремится к однозначности	1	1
419	быть определена как	1	1
420	судьбы они едины	1	1
421	контроль над собой	1	1
422	они едины судьба	1	1
423	в нем звучит	1	1
424	в то время	1	1
425	в финале же	1	1
426	причастной вненаходимости бахтин	2	1
427	добродушная жалостливая барышня	1	1
428	хранения и передачи	1	1
429	к чужому я	1	1
430	глядя на ее	1	1
431	начале этой цепочки	1	1
432	находится или движется	1	1
433	местом временем действия	1	1
434	в другом и	1	1
435	несмотря на свою	1	1
436	жалостливая барышня с	1	1
437	его поступки только	1	1
438	отделен от своей	1	1
439	именно в этом	1	1
440	за ним всегда	1	1
441	не субъективно оно	1	1
442	данного коммуникативного события	1	1
443	не что иное	1	1
444	пожелает представить себе	1	1
445	и здесь мы	1	1
446	временных примет в	1	1
447	тихая добродушная жалостливая	1	1
448	в тексте а	1	1
449	ни объективным как	1	1
450	поступки только раскрывают	1	1
451	содержит в себе	1	1
452	и для автора	1	1
453	роль в организации	1	1
454	только раскрывают содержание	1	1
455	своей судьбы они	1	1
456	классика xix столетия	1	1
457	по тем или	1	1
458	действия и составом	1	1
459	в себя не	1	1
460	но в действительности	1	1
461	может ощущаться завершенная	1	1
462	это уже не	1	1
463	может быть определена	1	1
464	восприятие определений таков	1	1
465	примет в осмысленном	1	1
466	поэтому вслед за	1	1
467	насыщенный деталями кадр	1	1
468	во всей его	2	1
469	но иного рода	1	1
470	при условии что	1	1
471	и его поступки	1	1
472	разность и неслиянность	1	1
473	пространственных и временных	1	1
474	и является в	1	1
475	что может или	1	1
476	мира представляет собой	2	1
477	входит в состав	1	1
478	том что он	2	1
479	мягкую белую шею	1	1
480	тот кто говорит	1	1
481	в каждый малый	1	1
482	имеет в своем	2	1
483	может и должен	1	1
484	дело обстоит иначе	1	1
485	в рамках которого	2	1
486	мягким взглядом очень	1	1
487	в хх веке	1	1
488	едины судьба выражает	1	1
489	героя тогда как	1	1
490	при этом у	1	1
491	и сближение но	2	1
492	том случае если	1	1
493	у себя в	1	1
494	и не могло	2	1
495	внутренней речи как	1	1
496	более того личность	1	1
497	определений таков что	1	1
498	например так и	1	1
499	как это делает	1	1
500	читаем это была	1	1
501	не отделен от	1	1
502	в основе своей	2	1
503	и конкретном целом	1	1
504	в следующей главе	1	1
505	бахтин говорил о	1	1
506	однако все они	1	1
507	читателя находится или	1	1
508	в ударном положении	1	1
509	в виду что	1	1
510	или пожелает представить	1	1
511	речи хотя и	1	1
512	полные розовые щеки	1	1
513	кротким мягким взглядом	1	1
514	с этой точки	2	1
515	тексте а не	1	1
516	белую шею с	1	1
517	из этих сторон	1	1
518	может быть и	2	1
519	вводятся автором в	1	1
