N	4gram	Losev_Prob	EvropaiE
1	и в то же	1	8
2	с одной стороны и	2	6
3	так же как и	1	3
4	в той или иной	1	3
5	заключается в том что	2	2
6	но в то же	1	2
7	если оставить в стороне	1	1
8	дело в том что	3	1
9	в том случае если	1	1
10	в том числе и	2	1
11	и с точки зрения	1	1
12	на то что в	1	1
13	нужно помнить что в	1	1
14	не говоря уже об	1	1
15	только в том случае	2	1
16	во всех этих случаях	1	1
17	в связи с этим	2	1
18	котором мы говорили в	1	1
19	в то время как	2	1
20	несмотря на то что	1	1
21	не говоря уже о	5	1
22	одного и того же	2	1
23	о котором мы говорили	1	1
24	вовсе не обязательно чтобы	1	1
25	и не только в	1	1
26	один и тот же	1	1
27	и во многих других	1	1
28	к тому или иному	1	1
