N	3gram	Tiupa_Narr	Otkroven
1	в человеке в	2	3
2	для того чтобы	4	3
3	а не в	1	2
4	ни у кого	1	2
5	никогда не было	1	2
6	как и все	1	2
7	не может быть	6	2
8	но и в	4	2
9	что у него	2	2
10	в самом начале	1	1
11	сам по себе	1	1
12	хотя и не	2	1
13	так и не	2	1
14	в его жизни	1	1
15	о том что	3	1
16	в том что	11	1
17	не в том	1	1
18	друг с другом	1	1
19	не растворяется в	1	1
20	в том случае	1	1
21	жизни а не	1	1
22	все та же	1	1
23	и то что	1	1
24	и все что	1	1
25	преступление и наказание	1	1
26	на людей и	1	1
27	и он не	1	1
28	как и в	1	1
29	и все же	4	1
30	в самом деле	3	1
31	том случае если	1	1
32	во всяком случае	2	1
33	с его собственным	1	1
34	и в самом	1	1
35	бросается в глаза	1	1
36	которым можно было	1	1
37	как бы в	2	1
38	вместо того чтобы	1	1
39	о бессмертии души	1	1
40	я верю в	1	1
41	само по себе	1	1
42	в этом отношении	5	1
43	что это за	2	1
44	по сравнению с	1	1
45	потому что в	1	1
46	сказать про него	1	1
47	на то что	2	1
48	в строгом смысле	1	1
49	было для него	1	1
50	самим собой в	1	1
51	по природе своей	1	1
52	заключает в себе	2	1
53	не было и	2	1
54	все что было	1	1
55	он и не	1	1
56	и не может	3	1
57	всех действующих лиц	1	1
