N	4gram	Propp_Morf	slovoVRo
1	в то же время	1	18
2	одно и то же	1	3
3	с этой точки зрения	1	2
4	и т д можно	1	2
5	в точном смысле слова	1	2
6	в то время как	3	2
7	бы они ни были	1	2
8	или во всяком случае	1	2
9	то же время и	1	2
10	до сих пор не	1	2
11	в свою очередь также	1	1
12	не может войти в	1	1
13	в том случае если	2	1
14	в связи с изучением	1	1
15	сюда прежде всего относится	1	1
16	в связи с этим	4	1
17	во всем ее объеме	1	1
18	как бы они ни	1	1
19	в том что он	1	1
20	с самого начала в	1	1
21	все более и более	1	1
22	бы то ни было	2	1
23	прежде чем перейти к	1	1
24	во всех этих случаях	1	1
25	в основе ее лежат	1	1
