N	3gram	Propp_Isto	VelikijI
1	в первый раз	1	3
2	к тому что	1	3
3	и т д	25	2
4	в том что	7	2
5	но и в	4	2
6	том что он	1	2
7	так как не	1	2
8	так и в	3	1
9	т д и	1	1
10	и должна быть	1	1
11	в ней мы	1	1
12	видно и потому	1	1
13	вслед за ним	1	1
14	вместе с тем	6	1
15	и вместе с	3	1
16	мы видим что	4	1
17	его связь с	1	1
18	в этом мире	1	1
19	на том свете	5	1
20	это одна из	1	1
21	как и в	3	1
22	и то и	2	1
23	на составные части	1	1
24	и что в	1	1
25	то и другое	2	1
26	он превращается в	1	1
27	как бы в	1	1
28	но все же	3	1
29	с другой стороны	17	1
30	с такой силой	1	1
31	бы то ни	1	1
32	после того как	4	1
33	ты не имел	1	1
