N	2gram	Medvedev_B	Problema
1	и в	1	182
2	и не	2	152
3	не только	1	104
4	у нас	3	68
5	а не	1	56
6	так и	1	56
7	отнюдь не	1	48
8	было бы	1	46
9	прежде всего	1	45
10	в своей	1	45
11	что в	1	44
12	таким образом	1	42
13	во всяком	1	39
14	в данном	1	38
15	никак не	1	37
16	еще не	1	36
17	все это	2	31
18	с другой	1	30
19	все же	1	29
20	об этом	1	29
21	и о	1	28
22	другой стороны	1	26
23	крайней мере	1	26
24	как будто	1	26
25	по крайней	1	26
26	и на	1	25
27	всяком случае	1	25
28	на самом	1	24
29	тем более	1	24
30	и ее	1	21
31	говорить о	1	21
32	можно было	2	20
33	и потому	1	20
34	кроме того	1	19
35	не было	1	18
36	в ней	2	18
37	совершенно не	1	17
38	будто бы	1	16
39	художественного произведения	1	16
40	далеко не	1	16
41	и более	1	15
42	что все	1	14
43	за пределы	1	14
44	в области	1	13
45	является только	1	12
46	не о	1	11
47	и во	1	11
48	не то	2	10
49	вопрос о	1	9
50	не вполне	1	9
51	не все	1	8
52	и нет	1	8
53	в значительной	1	7
54	одной из	1	7
55	же не	1	7
56	в эпоху	1	7
57	до конца	1	6
58	к ней	1	6
59	только одной	1	5
60	больше чем	2	5
61	говорить об	1	5
62	его не	1	5
63	в пределах	1	5
64	со всем	1	4
65	как некоторого	1	4
66	о них	1	4
67	бы только	1	4
68	было говорить	1	4
69	остановиться на	1	4
70	сейчас в	1	4
71	теории литературы	1	4
72	для которой	1	4
73	художественном произведении	1	4
74	представляется нам	1	4
75	значение слова	1	4
76	было и	1	3
77	нас еще	1	3
78	то как	1	3
79	только более	1	3
80	должна быть	1	3
81	выходит за	1	3
82	точке зрения	1	2
83	этой книги	1	2
84	о смысловом	1	2
85	стоит на	1	2
86	на которой	1	2
87	говорить не	1	2
88	точно и	1	2
89	и меньше	1	2
90	между ними	1	1
91	в речи	1	1
92	чтобы можно	1	1
93	следовало бы	1	1
94	совершенно недостаточны	1	1
95	очень узко	1	1
96	самом понятии	1	1
97	всего в	1	1
98	так по	1	1
99	и исторической	1	1
100	бы пожалуй	1	1
101	также не	1	1
102	то нельзя	1	1
103	заставляет думать	1	1
104	темы как	1	1
105	также что	1	1
106	литературы как	1	1
107	спорно и	1	1
108	творчества и	1	1
109	можно в	1	1
110	работу по	1	1
111	невозможны без	1	1
112	ней только	1	1
113	своей книге	1	1
114	данном художественном	1	1
115	ведь понятие	1	1
116	более подробно	1	1
117	не следует	1	1
118	иначе не	1	1
119	нашему мнению	1	1
120	формализма и	1	1
121	ясного и	1	1
122	в научном	1	1
123	нет но	1	1
124	теория литературы	1	1
125	о художественном	1	1
126	основное значение	1	1
127	такое определение	1	1
128	свободная от	1	1
129	как часть	1	1
130	а о	1	1
131	в композиции	1	1
132	по нашему	1	1
