N	2gram	Propp_Isto	TeoriaLi
1	в качестве	8	33
2	не только	28	24
3	и в	40	24
4	в частности	3	23
5	состоит в	1	22
6	может быть	37	22
7	при этом	6	20
8	в том	12	20
9	в тексте	1	19
10	и не	19	17
11	а в	15	15
12	но и	21	14
13	а не	18	14
14	так и	13	14
15	в себе	6	14
16	представляет собой	7	13
17	в рамках	2	13
18	такого рода	1	13
19	но не	7	13
20	в этом	13	12
21	сводится к	1	12
22	но в	13	12
23	в его	10	12
24	то же	21	12
25	своего рода	2	11
26	том что	11	11
27	и его	5	11
28	что в	19	10
29	по отношению	6	10
30	как это	6	10
31	отношению к	6	10
32	только в	16	9
33	с другой	8	9
34	не в	11	9
35	в то	4	9
36	в своей	2	8
37	как бы	6	8
38	по своей	2	8
39	не может	19	8
40	не столько	1	7
41	особого рода	1	7
42	в отличие	3	7
43	в своем	5	7
44	себя в	2	7
45	мы имеем	25	7
46	а также	2	7
47	отличие от	3	7
48	однако в	2	7
49	в области	2	7
50	в нем	8	7
51	другой стороны	7	6
52	более или	5	6
53	как и	5	6
54	не менее	7	6
55	приводит к	3	6
56	еще не	14	6
57	в основе	4	6
58	то что	17	6
59	со стороны	3	6
60	уже не	3	6
61	в ее	2	6
62	с другими	2	6
63	в конечном	2	6
64	или иначе	1	6
65	между ними	2	6
66	или менее	5	6
67	в русской	7	6
68	того или	1	6
69	тем самым	2	6
70	или иного	1	6
71	ни в	2	5
72	в виду	2	5
73	мыслится как	1	5
74	так или	1	5
75	и одновременно	1	5
76	как в	7	5
77	а а	1	5
78	того чтобы	3	5
79	для того	1	5
80	я с	1	5
81	как правило	4	5
82	для него	2	5
83	того что	6	5
84	в себя	2	5
85	между тем	2	5
86	он не	10	5
87	и тем	2	5
88	в пределах	4	5
89	и о	1	5
90	могут быть	5	5
91	художественного произведения	1	5
92	в отношении	1	4
93	не на	2	4
94	по пути	2	4
95	в этих	17	4
96	отношения к	2	4
97	что он	32	4
98	входит в	1	4
99	в другом	6	4
100	говорить о	1	4
101	сказать что	7	4
102	в нашем	1	4
103	к тому	6	4
104	этого слова	1	4
105	никогда не	25	4
106	или иным	1	4
107	это не	8	4
