N	2gram	Savitsky_P	Hudozhes
1	в качестве	9	31
2	в мире	2	24
3	и в	14	23
4	не только	17	20
5	в том	9	20
6	может быть	5	19
7	в частности	2	18
8	и не	12	16
9	но и	6	14
10	а не	2	13
11	в рамках	1	13
12	но не	3	13
13	а в	4	13
14	в себе	3	13
15	в этом	10	12
16	то же	9	12
17	сводится к	3	11
18	представляет собой	1	11
19	как бы	4	11
20	точки зрения	3	11
21	в его	2	11
22	но в	9	10
23	в душе	1	9
24	или иной	1	9
25	том что	4	9
26	с другой	5	9
27	не в	5	9
28	не может	4	9
29	себя в	1	8
30	в области	11	8
31	в то	7	8
32	что в	4	7
33	в самом	1	7
34	только в	7	7
35	же время	7	7
36	в отличие	1	7
37	внутреннего зрения	1	7
38	отличие от	1	7
39	я и	3	7
40	не столько	2	7
41	другой стороны	1	6
42	более или	1	6
43	с ее	1	6
44	с его	1	6
45	в ее	2	6
46	а также	4	6
47	или менее	1	6
48	в нем	3	6
49	хх века	2	5
50	не менее	2	5
51	того чтобы	1	5
52	для того	3	5
53	со стороны	2	5
54	как к	1	5
55	того что	2	5
56	прежде всего	3	5
57	тем самым	3	5
58	то что	4	5
59	в ходе	1	5
60	могут быть	3	5
61	место в	1	5
62	например в	2	4
63	отношения к	2	4
64	еще не	1	4
65	в данном	1	4
66	говорить о	2	4
67	в своем	4	4
68	во времени	1	4
69	или иным	1	4
70	и то	1	4
71	это не	3	4
72	в отношении	10	4
73	его в	1	4
74	и как	3	4
75	в этих	1	4
76	в себя	1	4
77	между тем	3	4
78	и тем	2	4
79	и что	1	4
80	далеко не	1	4
81	и о	5	4
82	в силу	2	4
83	хотя и	3	4
84	и к	4	3
85	и на	1	3
86	в момент	1	3
87	если бы	4	3
88	оказывается в	1	3
89	есть в	2	3
90	в жизни	2	3
91	как и	1	3
92	в иной	1	3
93	культуры в	2	3
94	потому что	3	3
95	одной стороны	3	3
96	отношении к	5	3
97	во всей	2	3
98	из этих	1	3
99	по преимуществу	1	3
100	с одной	3	3
101	том числе	2	3
102	с точки	3	3
103	как раз	2	3
104	и притом	1	3
105	во всех	2	3
106	в русской	4	3
107	в которой	1	3
108	одно и	1	3
109	в пределах	8	3
110	этом смысле	1	3
111	человека с	1	3
112	тот или	1	3
113	и ее	1	3
114	поскольку не	1	2
115	ведет к	1	2
116	и другие	1	2
117	и который	1	2
118	жить и	1	2
119	не как	1	2
120	а затем	1	2
121	существующее в	1	2
122	одно из	1	2
123	но чтобы	1	2
124	по себе	4	2
125	в них	2	2
126	заключается в	3	2
127	к более	1	2
128	именно в	2	2
129	в порядке	3	2
130	из тех	1	2
131	с ними	3	2
132	в одно	1	2
133	в известном	1	2
134	в каком	1	2
135	ни к	1	2
136	полноте и	1	2
137	и политического	4	2
138	на основе	1	2
139	вслед за	3	2
140	и это	2	2
141	не вполне	1	2
142	так же	1	2
143	и наоборот	1	2
144	было и	1	2
145	должен быть	1	2
146	видим в	1	2
147	если мы	1	2
148	может оказаться	1	2
149	одна из	2	2
150	не все	1	2
151	не просто	1	2
152	никогда не	1	2
153	и по	1	2
154	но на	1	2
155	этих двух	1	2
156	наших глазах	1	2
157	в формах	1	2
158	все это	2	2
159	что и	1	2
160	xix века	6	2
161	к жизни	1	2
162	и более	1	2
163	в какой	1	2
164	тем более	2	2
165	и потому	4	2
166	но как	1	2
167	а с	1	2
168	человеческого бытия	1	2
169	и весьма	2	2
170	в значительной	2	2
171	есть как	1	2
172	не с	1	2
173	этом мире	1	2
174	в этой	1	2
175	числе и	1	2
176	известном смысле	1	2
177	и особенно	1	2
178	столь же	3	2
179	отнюдь не	2	2
180	мира с	2	2
181	к деградации	1	1
182	как преодоление	1	1
183	можно говорить	1	1
184	и здесь	1	1
185	такова же	1	1
186	если в	2	1
187	в случаях	1	1
188	тех кто	4	1
