N	2gram	Tiupa_Narr	Mirosoze
1	и в	22	97
2	может быть	24	64
3	не только	50	63
4	в этом	23	55
5	но и	39	54
6	он не	8	53
7	а не	27	53
8	в нем	9	49
9	не может	16	49
10	у него	13	47
11	и не	34	39
12	никогда не	8	38
13	в ней	5	37
14	потому что	7	37
15	не было	3	36
16	не в	12	34
17	и есть	1	33
18	для него	8	31
19	но он	2	30
20	человека в	2	30
21	как и	15	29
22	прежде всего	7	29
23	и он	8	27
24	в мире	8	27
25	но в	10	27
26	к человеку	1	26
27	о человеке	1	26
28	в своей	8	25
29	он был	1	25
30	и все	7	24
31	у нас	4	24
32	ведет к	3	23
33	в своем	7	23
34	что в	6	23
35	что он	7	22
36	в самом	8	21
37	достоевского и	2	21
38	в себе	14	20
39	в бога	1	20
40	отношение к	2	20
41	как бы	11	19
42	до конца	2	19
43	человек не	1	19
44	в его	12	18
45	того что	7	17
46	и потому	2	17
47	том что	15	16
48	в том	20	16
49	на земле	1	16
50	то что	14	16
51	было бы	2	16
52	и его	12	16
53	быть может	1	15
54	в котором	3	15
55	не знает	2	15
56	в этой	8	15
57	в конце	4	14
58	человек в	3	14
59	она не	2	14
60	в творчестве	1	14
61	так как	1	14
62	та же	2	13
63	и на	5	13
64	друг друга	2	13
65	и вот	2	13
66	привести к	1	12
67	он сам	4	12
68	к нему	5	12
69	и у	4	12
70	но не	7	12
71	в человеке	2	12
72	в любви	1	12
73	это не	6	12
74	все это	1	12
75	и к	7	11
76	любовь к	1	11
77	с тем	1	11
78	уже не	11	11
79	хотя бы	4	11
80	в которой	2	11
81	в русской	3	11
82	только в	23	11
83	как в	9	11
84	но это	2	11
85	и для	4	11
86	жизни и	7	11
87	то же	12	10
88	так же	2	10
89	чем у	1	10
90	всю жизнь	1	10
91	один из	8	10
92	должна быть	2	10
93	не могут	1	10
94	не имеет	3	10
95	это и	2	10
96	в самой	1	10
97	все что	4	9
98	к тому	13	9
99	не мог	7	9
100	должно быть	1	9
101	что и	3	9
102	xix века	1	9
103	человек и	2	9
104	я не	5	9
105	не будет	2	9
106	он уже	3	9
107	то есть	15	9
108	с ним	6	9
109	вместе с	3	9
110	в свою	4	9
111	образ и	1	9
112	а в	19	9
113	лишь в	3	9
114	христа в	1	8
115	в этих	3	8
116	и с	3	8
117	тем что	1	8
118	человека есть	2	8
119	о том	5	8
120	вопрос о	1	8
121	себя в	4	8
122	что не	2	8
123	за пределы	1	8
124	в отношении	1	8
125	еще в	4	8
126	того чтобы	7	8
127	отношении к	1	8
128	с его	6	8
129	ничего не	8	8
130	они не	3	8
131	уже в	1	8
132	мира и	2	8
133	для того	4	8
134	во всем	1	7
135	что человек	1	7
136	не существует	3	7
137	в нашем	4	7
138	что все	1	7
139	точки зрения	8	7
140	человеку и	1	7
141	она есть	1	7
142	что она	3	7
143	на этом	1	7
144	в жизни	9	7
145	отношения к	1	7
146	жизни в	7	7
147	более чем	2	7
148	мог бы	1	7
149	должен быть	1	7
150	не могу	2	7
151	также и	4	7
152	как он	3	7
153	с этой	3	6
154	не как	1	6
155	и нет	1	6
156	людей и	2	6
157	русской литературы	1	6
158	что у	6	6
159	его в	1	6
160	к чему	3	6
161	и она	1	6
162	у них	1	6
163	можно было	2	6
164	по своей	3	6
165	чтобы не	1	6
166	и от	3	6
167	и здесь	3	6
168	что это	4	6
169	явление духа	1	6
170	его на	1	6
171	него нет	1	6
172	если бы	9	6
173	в которых	1	6
174	бы не	1	6
175	у человека	1	6
176	в образе	1	6
177	в ее	4	6
178	людей не	1	6
179	в смысл	2	6
180	того как	1	6
181	должен был	1	6
182	и более	2	6
183	жизнь и	1	6
184	его не	1	6
185	быть и	3	6
186	к ней	3	6
187	на то	4	6
188	не к	4	6
189	еще не	6	5
190	бы в	2	5
191	которые не	1	5
192	мысли и	1	5
193	человек есть	1	5
194	одно из	2	5
195	с собой	2	5
196	и как	4	5
197	он остается	1	5
198	мысли о	1	5
199	отличается от	1	5
200	с этим	1	5
201	во всяком	2	5
202	для этого	1	5
203	мы увидим	1	5
204	чем его	1	5
205	сказать что	5	5
206	к которому	1	5
207	все время	2	5
208	момент в	1	5
209	по преимуществу	1	5
210	на протяжении	12	5
211	верит в	1	5
212	отказывается от	1	5
213	личности в	2	5
214	сих пор	3	5
215	вопроса о	1	5
216	человека его	1	5
217	в человеческой	1	5
218	в то	9	5
219	означает что	1	5
220	когда он	1	5
221	до сих	3	5
222	они и	2	5
223	интерес к	3	5
224	оно не	4	5
225	и мы	1	5
226	да и	5	5
227	тот кто	2	5
228	его и	2	5
229	в основе	1	5
230	жизни это	2	5
231	той же	2	5
232	в самую	2	5
233	тот же	1	5
234	человека но	1	5
235	в более	1	5
236	не для	1	5
237	которых он	1	5
238	так и	12	5
239	как у	6	5
240	в их	1	5
241	и я	1	5
242	xx века	1	5
243	связано с	2	5
244	на людей	1	5
245	него и	1	5
246	как будто	4	5
247	в той	4	4
