N	2gram	Medvedev_B	Analitik
1	не только	1	71
2	и в	1	66
3	и не	2	48
4	а не	1	42
5	так и	1	35
6	отнюдь не	1	29
7	что в	1	22
8	в своей	1	19
9	в данном	1	18
10	с другой	1	17
11	в пределах	1	16
12	и на	1	15
13	прежде всего	1	15
14	далеко не	1	14
15	еще не	1	12
16	не следует	1	11
17	все же	1	10
18	было бы	1	10
19	говорить о	1	9
20	другой стороны	1	9
21	крайней мере	1	9
22	таким образом	1	9
23	за пределы	1	9
24	по крайней	1	9
25	одной из	1	8
26	во всяком	1	7
27	всяком случае	1	7
28	все это	2	7
29	художественного произведения	1	7
30	как будто	1	7
31	и более	1	6
32	тем более	1	6
33	не о	1	5
34	будто бы	1	5
35	и потому	1	5
36	совершенно не	1	5
37	значительной степени	1	4
38	не все	1	4
39	не было	1	4
40	между ними	1	4
41	литературных произведений	2	4
42	и во	1	4
43	на которой	1	4
44	об этом	1	4
45	его не	1	4
46	в значительной	1	4
47	и ее	1	4
48	и о	1	4
49	в области	1	4
50	в речи	1	3
51	вопрос о	1	3
52	на самом	1	3
53	что все	1	3
54	всего в	1	3
55	представляется нам	1	3
56	никак не	1	3
57	можно было	2	3
58	видеть в	2	3
59	же не	1	3
60	а о	1	3
61	в ней	2	3
62	по нашему	1	3
63	о свободе	1	2
64	не вполне	1	2
65	литературы как	1	2
66	творчества и	1	2
67	было и	1	2
68	забывать что	1	2
69	у нас	3	2
70	более что	1	2
71	но автор	1	1
72	о смысловом	1	1
73	должна быть	1	1
74	точно и	1	1
75	о них	1	1
76	произведений является	1	1
77	об исторических	1	1
78	зато очень	1	1
79	художественном произведении	1	1
80	не уничтожается	1	1
81	систематизации и	1	1
82	нельзя не	1	1
83	имеющихся в	1	1
84	иначе не	1	1
85	переходя к	1	1
86	короче говоря	1	1
87	функцией в	1	1
88	также не	1	1
89	меньшей мере	1	1
90	теории литературы	1	1
91	по меньшей	1	1
92	о художественном	1	1
93	выходит за	1	1
94	неудивительно что	1	1
95	ведет по	1	1
96	также что	1	1
97	говорить не	1	1
98	в книге	1	1
99	к ней	1	1
100	свести к	1	1
101	в композиции	1	1
102	и меньше	1	1
