N	2gram	Vygotskiy_	Sovremen
1	не может	31	17
2	может быть	15	12
3	точки зрения	27	12
4	таким образом	30	11
5	мы не	6	9
6	в каждом	1	8
7	в этом	43	7
8	и в	33	7
9	не можем	2	7
10	мы можем	15	6
11	в результате	9	6
12	как и	13	6
13	ничего не	6	6
14	и не	18	6
15	с точки	12	5
16	в стадии	1	5
17	прежде всего	5	5
18	что же	2	5
19	все эти	9	5
20	в условиях	3	5
21	и наконец	3	5
22	а в	5	4
23	так как	20	4
24	вопрос о	15	4
25	это не	8	4
26	не только	28	4
27	мы должны	13	4
28	в развитии	45	4
29	с помощью	32	4
30	как бы	11	4
31	если мы	9	4
32	системы в	3	4
33	в зависимости	2	4
34	их в	3	4
35	жизни и	2	4
36	вместе с	9	4
37	в целом	8	4
38	же это	1	4
39	в том	44	4
40	зависимости от	3	4
41	из них	6	4
42	точку зрения	1	4
43	мы видели	10	4
44	и к	7	3
45	и потому	3	3
46	видели что	2	3
47	этим мы	1	3
48	с самого	8	3
49	когда мы	4	3
50	уже в	4	3
51	то же	12	3
52	при этом	9	3
53	мы получаем	1	3
54	с необходимостью	5	3
55	можем назвать	1	3
56	в два	1	3
57	поэтому мы	1	3
58	не в	10	3
59	а не	14	3
60	в системе	4	3
61	для нас	1	3
62	все это	2	3
63	как он	7	3
64	в одном	3	3
65	к действию	2	3
66	у нас	4	3
67	а все	1	3
68	основной вопрос	1	3
69	самого начала	8	3
70	в конце	3	3
71	в наших	2	3
72	и т.д	6	3
73	было бы	18	3
74	в первом	4	3
75	ли мы	2	3
76	в этой	8	3
77	из двух	2	3
78	он в	3	3
79	и все	2	3
80	его развития	4	3
81	мы называем	1	3
82	в себе	4	3
83	следующим образом	1	3
84	ясно что	2	3
85	не подлежит	2	3
86	что она	3	3
87	он может	5	3
88	все же	5	3
89	при таком	1	3
90	в области	19	3
91	может не	3	3
92	отличается от	2	3
93	между собой	17	3
94	отнюдь не	2	3
95	в нем	10	3
96	но мы	7	3
97	но в	9	3
98	развития целого	1	3
99	еще не	11	3
100	с этим	9	2
101	что в	33	2
102	этих двух	4	2
103	тем не	1	2
104	в самом	10	2
105	дает нам	1	2
106	совершенно не	5	2
107	мы видим	6	2
108	значение в	3	2
109	и что	18	2
110	для развития	9	2
111	отличие от	3	2
112	такие же	1	2
113	друг с	10	2
114	которой он	1	2
115	то и	2	2
116	о значении	1	2
117	с одной	10	2
118	в отличие	3	2
119	такого рода	1	2
120	в свою	5	2
121	из этих	2	2
122	в его	15	2
123	во всяком	4	2
124	мы знаем	5	2
125	не дает	2	2
126	в которую	1	2
127	еще более	5	2
128	то ни	1	2
129	с совершенно	1	2
130	что это	1	2
131	еще мало	1	2
132	что при	4	2
133	по мнению	2	2
134	из которых	3	2
135	только один	4	2
136	что такое	6	2
137	может иметь	3	2
138	если же	1	2
139	говорить о	3	2
140	на его	4	2
141	конечно в	1	2
142	развития мы	2	2
143	в живом	1	2
144	на их	3	2
145	у него	8	2
146	для его	2	2
147	не могут	7	2
148	в виде	3	2
149	со всеми	2	2
150	а на	1	2
151	свою очередь	4	2
152	и даже	3	2
153	как известно	7	2
154	говорим о	2	2
155	самом деле	9	2
156	в которой	8	2
157	но все	2	2
158	ни одна	1	2
159	же самое	7	2
160	как мы	20	2
161	настоящее время	2	2
162	развития в	14	2
163	тем же	1	2
164	и во	2	2
165	той же	7	2
166	могут быть	7	2
167	и будет	1	2
168	развития но	8	2
169	в нашем	5	2
170	и есть	8	2
171	и они	1	2
172	что все	9	2
173	или иной	1	2
174	на этот	9	2
175	такой же	4	2
176	на этом	8	2
177	не менее	4	2
178	так сказать	1	2
179	же мы	2	2
180	этой стадии	1	2
181	приводит к	10	2
182	и по	5	2
183	может дать	1	2
184	на котором	3	2
185	с другом	10	2
186	свою собственную	1	2
187	в настоящее	2	2
188	в один	1	2
189	знаем что	2	2
190	тот же	7	2
191	подлежит сомнению	1	2
192	всяком случае	2	2
193	он должен	9	2
194	помощью которой	1	1
195	на понятии	1	1
196	данной области	1	1
197	процессы развития	2	1
198	во всех	3	1
199	развития таким	1	1
200	только одно	1	1
201	к началу	5	1
202	которую можно	1	1
203	бы то	2	1
204	которые в	4	1
205	поскольку она	1	1
206	с двух	2	1
207	объяснить нам	2	1
208	к которому	7	1
209	что один	1	1
210	это и	3	1
211	ходом развития	2	1
212	предмета является	1	1
213	его и	4	1
214	этом случае	5	1
215	сравнение можно	1	1
216	реагирует на	1	1
217	в свое	2	1
218	и составляет	5	1
219	объяснение этого	1	1
220	только не	7	1
221	виде мы	1	1
222	различных условиях	1	1
223	этого явления	1	1
224	развитии в	3	1
225	влечет за	1	1
226	образом все	1	1
227	а потому	3	1
228	во втором	2	1
229	то он	1	1
230	речи мы	3	1
231	но как	6	1
232	поэтому что	1	1
233	никакого принципиального	1	1
234	только из	1	1
235	не является	7	1
236	в данном	4	1
237	до сих	3	1
238	только к	4	1
239	все его	1	1
240	за шагом	1	1
241	высшей стадии	1	1
242	он уже	1	1
243	и более	8	1
244	то этим	1	1
245	невозможным и	1	1
246	вытекает из	4	1
247	мы постараемся	4	1
248	в постановке	1	1
249	в действительности	6	1
250	опирается на	4	1
251	все три	2	1
252	действия в	2	1
253	от его	1	1
254	есть такой	1	1
255	что иное	2	1
256	которых в	1	1
257	видим что	3	1
258	в процессе	37	1
259	данном случае	3	1
260	ведь в	1	1
261	т.е он	1	1
262	течение нескольких	1	1
263	в очень	1	1
264	развития поэтому	1	1
265	не имеют	4	1
266	связи с	9	1
267	раз и	3	1
268	в самый	1	1
269	первом же	1	1
270	этот процесс	5	1
271	если в	4	1
272	и эту	1	1
273	на язык	1	1
274	если понимать	1	1
275	что сказать	2	1
276	это последнее	1	1
277	должно быть	10	1
278	мы уже	4	1
279	это как	1	1
280	общего и	1	1
281	почти не	1	1
282	случае и	2	1
283	развития совершенно	1	1
284	в первый	1	1
285	в скрытом	2	1
286	для ее	1	1
287	же процесс	2	1
288	идет о	1	1
289	она не	2	1
290	в течение	1	1
291	чтобы он	1	1
292	она в	1	1
293	но еще	1	1
294	их результаты	1	1
295	что уже	3	1
296	это типичное	1	1
297	одной стороны	10	1
298	развития с	3	1
299	шаг за	1	1
300	развития из	2	1
301	на другой	1	1
302	на друга	2	1
303	ничто не	3	1
304	мы имеем	4	1
305	и у	1	1
306	быть в	3	1
307	процесс развития	14	1
308	и речи	1	1
309	в другом	7	1
310	совсем не	1	1
311	несмотря на	3	1
312	том как	3	1
313	т.е от	1	1
314	мы всегда	1	1
315	объяснение не	2	1
316	не быть	1	1
317	остается еще	2	1
318	в ней	2	1
319	которых он	2	1
320	друг на	2	1
321	ни было	1	1
322	функциями в	1	1
323	что эта	7	1
324	своими собственными	1	1
325	получать такие	1	1
326	научной мысли	2	1
327	этих процессов	4	1
328	явлений к	1	1
329	это значит	5	1
330	хотя и	1	1
331	с другой	11	1
332	подлежит никакому	1	1
333	и тогда	1	1
334	а это	3	1
335	об объяснении	1	1
336	в этот	4	1
337	с ним	6	1
338	между различными	1	1
339	на которых	1	1
340	связей и	5	1
341	что вся	1	1
342	он не	13	1
343	может объяснить	2	1
344	кроме того	2	1
345	мы без	1	1
346	же необходимо	1	1
347	и из	2	1
348	выработанные в	1	1
349	под руководством	1	1
350	за собой	4	1
351	два основных	1	1
352	и т.п	2	1
353	и той	3	1
354	развития что	1	1
355	никакому сомнению	1	1
356	не соответствует	1	1
357	одной и	3	1
358	частей а	1	1
359	новой для	1	1
360	развития и	21	1
361	но тем	1	1
362	в экспериментах	1	1
363	что с	7	1
364	те же	6	1
365	между двумя	4	1
366	те или	2	1
367	которому они	1	1
368	аналогии с	2	1
369	в область	2	1
370	мы в	2	1
371	увидим что	1	1
372	совпадают с	1	1
373	только на	3	1
374	но они	2	1
375	и их	4	1
376	или иные	1	1
377	и всегда	1	1
378	такого объяснения	1	1
379	остановиться на	3	1
380	все что	2	1
381	не приходится	1	1
382	правда и	1	1
383	для своего	1	1
384	для объяснения	6	1
385	можем ли	1	1
386	и при	4	1
387	совершенно невозможно	1	1
388	определенные условия	1	1
389	в известном	9	1
390	это или	1	1
391	на самом	3	1
392	одному и	3	1
393	смысле можно	2	1
394	здесь в	1	1
395	на которой	1	1
396	самое что	2	1
397	образом из	1	1
