N	4gram	Tiupa_Anal	Myslijsy
1	в то же время	7	13
2	одного и того же	4	9
3	одной и той же	2	7
4	не в том что	1	7
5	один и тот же	1	4
6	и в том что	1	4
7	не что иное как	1	4
8	а в том что	1	4
9	дело в том что	3	4
10	в том что он	2	3
11	заключается в том что	1	3
12	не говоря уже о	1	3
13	а между тем в	1	3
14	но и в том	1	3
15	лицом к лицу с	1	2
16	во всяком случае не	1	2
17	состоит в том что	1	2
18	в том что по	1	2
19	по себе еще не	1	2
20	но дело в том	1	2
21	лишь в том что	1	2
22	но с другой стороны	1	2
23	само по себе а	1	1
24	прибавим к этому что	1	1
25	здесь не только в	3	1
26	не для того чтобы	1	1
27	и сам по себе	1	1
28	что при таком воззрении	1	1
29	имеем дело не с	1	1
30	во всех подобных случаях	1	1
31	с другой стороны и	1	1
32	в том что мы	1	1
33	мы имеем дело не	2	1
34	а тем более в	1	1
35	в каждом из этих	1	1
36	случае мы имеем дело	1	1
37	нас а в нас	1	1
38	тем не менее не	1	1
39	из уст в уста	1	1
40	молчи скрывайся и таи	1	1
41	не только не противоречит	1	1
42	мы имеем дело с	1	1
43	есть не что иное	1	1
