N	2gram	Tiupa_Vved	Vvedenie
1	в том	21	38
2	в этом	27	35
3	и в	23	35
4	может быть	25	30
5	том что	16	30
6	не только	32	26
7	для того	1	23
8	того чтобы	2	22
9	таким образом	6	21
10	также и	6	20
11	не может	14	19
12	то что	9	19
13	потому что	7	18
14	но также	2	16
15	только в	9	16
16	со стороны	15	16
17	о том	7	16
18	представляет собой	18	14
19	что в	6	13
20	в самом	6	13
21	и не	24	13
22	в нем	9	13
23	в его	9	12
24	того что	7	12
25	в их	2	12
26	точки зрения	1	12
27	что такое	23	12
28	то же	8	11
29	в ее	1	11
30	по себе	2	11
31	в данном	22	11
32	этом смысле	1	11
33	ясно что	2	11
34	как мы	5	11
35	прежде всего	11	10
36	не в	12	10
37	между тем	3	10
38	в той	5	10
39	но в	14	10
40	как об	1	9
41	дело с	4	9
42	представляют собой	3	9
43	тем не	3	9
44	все же	10	9
45	этого рода	1	9
46	из этих	5	9
47	но не	9	9
48	и как	2	9
49	не менее	4	9
50	в истории	1	9
51	это не	7	8
52	в качестве	18	8
53	именно в	1	8
54	о котором	5	8
55	а только	3	8
56	можно было	2	8
57	с другой	10	8
58	представить себе	2	7
59	и то	1	7
60	как и	21	7
61	самом деле	6	7
62	но и	31	7
63	в разных	2	7
64	было бы	4	7
65	о природе	1	7
66	как бы	8	7
67	той мере	2	6
68	один из	3	6
69	на вопрос	1	6
70	об этом	5	6
71	этом случае	1	6
72	все это	3	6
73	не могут	1	6
74	его в	1	6
75	на этот	2	6
76	тем что	2	6
77	с тем	1	6
78	в какой	4	6
79	а именно	3	6
80	вместе с	2	6
81	в которых	2	6
82	же время	4	6
83	и это	2	6
84	так например	2	6
85	вовсе не	1	6
86	уже не	7	6
87	мере в	2	6
88	и даже	3	6
89	хотя бы	2	6
90	каждой из	1	6
91	и что	2	6
92	как он	2	6
93	сказать что	1	6
94	могут быть	5	6
95	том чтобы	2	6
96	но если	1	6
97	и его	9	6
98	в то	5	6
99	а в	15	6
100	иное как	1	6
101	на почве	1	5
102	а потому	1	5
103	уже в	2	5
104	внимание на	4	5
105	хотя и	10	5
106	язык как	2	5
107	что и	6	5
108	в виду	3	5
109	другой стороны	3	5
110	с их	2	5
111	в них	4	5
112	но с	1	5
113	в первом	3	5
114	одним из	5	5
115	дело в	1	5
116	что не	2	5
117	имеет дело	1	5
118	не есть	2	5
119	что он	2	5
120	что иное	1	5
121	по своему	3	5
122	данном случае	15	5
123	культуры в	1	5
124	во всяком	3	5
125	в течение	2	5
126	как уже	1	5
127	так что	1	5
128	и тем	3	5
129	а не	31	5
130	говорить о	5	5
131	дело не	2	5
132	в различных	1	5
133	на основании	1	5
134	не что	1	5
135	и т.д	6	5
136	быть в	1	5
137	а как	1	5
138	не просто	2	5
139	в целом	4	5
140	как это	2	5
141	всяком случае	3	5
142	в особенности	3	4
