N	3gram	Vygotskiy_	SlovoVZh
1	по отношению к	11	11
2	не может быть	8	7
3	можно сказать что	5	5
4	в том что	30	4
5	дело в том	2	4
6	так как если	1	4
7	как если бы	3	4
8	то ни было	1	3
9	до сих пор	4	3
10	этой точки зрения	2	3
11	бы то ни	1	3
12	тем не менее	1	3
13	и не может	1	3
14	находит свое выражение	1	2
15	в каком отношении	1	2
16	имеем в виду	1	2
17	на самом деле	3	2
18	одной стороны и	3	2
19	в жизни и	1	2
20	то же самое	4	2
21	одно и то	2	2
22	в данном случае	5	2
23	мы все время	1	2
24	в зависимости от	8	2
25	с одной стороны	14	2
26	с другой стороны	10	2
27	и то же	2	2
28	с точки зрения	34	2
29	но тем не	1	2
30	в такой же	3	2
31	и в своем	2	1
32	если бы даже	1	1
33	сам по себе	3	1
34	является то что	4	1
35	и таким образом	2	1
36	о том что	10	1
37	той социальной среды	1	1
38	в неразрывное единство	1	1
39	ни в какой	2	1
40	включает в себя	1	1
41	его внутренней речи	2	1
42	для этого нам	1	1
43	мы обратимся к	1	1
44	в самом деле	5	1
45	один и тот	1	1
46	если мы обратимся	1	1
47	можно с уверенностью	1	1
48	даже тогда когда	1	1
49	мы таким образом	1	1
50	является для него	1	1
51	в том и	1	1
52	чтобы убедиться в	2	1
53	все более и	3	1
54	относится не к	1	1
55	таким образом мы	1	1
56	в высшей степени	7	1
57	в свою очередь	3	1
58	и связи с	2	1
59	и тот же	1	1
60	или не хочет	1	1
61	по себе не	1	1
62	по себе в	1	1
63	и в частности	3	1
64	что не только	1	1
65	то что для	1	1
66	как и в	2	1
67	что является для	1	1
68	они выражают не	1	1
69	как мы уже	4	1
70	вопросу о том	1	1
71	сама по себе	3	1
72	но в процессе	1	1
73	в том же	3	1
74	один чрезвычайно важный	1	1
75	не только его	1	1
76	ни в коем	1	1
77	же время не	1	1
78	того что заключено	1	1
79	речи так как	1	1
80	во всяком случае	5	1
81	подвести итоги нашему	1	1
82	самом же деле	1	1
83	между тем это	1	1
84	в коем случае	1	1
85	она не может	1	1
86	социальной среды на	1	1
87	как уже сказано	8	1
88	и с другой	1	1
89	только то что	2	1
90	подобно тому как	2	1
91	и что она	1	1
92	мы увидим что	2	1
93	с самого начала	9	1
94	то что оно	1	1
95	на самом же	1	1
96	в конечном счете	4	1
97	же как и	4	1
98	слова как только	1	1
99	еще один чрезвычайно	1	1
100	зависимости от того	1	1
101	то что я	1	1
102	то что мы	1	1
103	опираясь на эти	1	1
104	находит в нем	1	1
105	тогда когда он	2	1
106	можно было бы	6	1
107	в этом отношении	6	1
108	тому же самому	1	1
109	так же как	6	1
110	и к его	1	1
111	то же время	2	1
112	свое выражение в	1	1
113	бы показать что	1	1
114	но для этого	1	1
115	выражают не только	1	1
116	изучить с помощью	1	1
117	уж конечно не	1	1
118	но и в	1	1
119	более и более	3	1
120	в то же	2	1
121	мы имеем в	1	1
122	в значительной степени	2	1
123	то время как	4	1
124	том что в	3	1
125	и в этом	1	1
126	по крайней мере	1	1
127	в частности в	1	1
128	и тогда когда	1	1
129	в то время	5	1
130	в этом смысле	3	1
131	или хотя бы	1	1
132	но все это	1	1
133	вопросов между тем	1	1
134	но все же	1	1
135	будущего действия и	1	1
136	другой стороны как	1	1
137	убедиться в этом	1	1
138	к тому же	1	1
139	друг к другу	2	1
140	к вопросу о	1	1
