N	4gram	Vinokur_Ku	Myslijsy
1	по мере того как	3	14
2	в то же время	4	13
3	одного и того же	2	9
4	только в том что	1	8
5	одной и той же	1	7
6	одно и то же	1	7
7	не в том что	1	7
8	и в том что	1	4
9	в том смысле что	1	4
10	не что иное как	2	4
11	а в том что	2	4
12	все более и более	1	4
13	дело в том что	1	4
14	что же касается до	1	3
15	в том что он	3	3
16	до тех пор пока	1	3
17	в одном и том	1	3
18	в применении к языку	1	3
19	заключается в том что	2	3
20	в том что оно	2	3
21	с этой точки зрения	3	3
22	но во всяком случае	1	3
23	не говоря уже о	1	3
24	одном и том же	1	3
25	в том смысле как	1	2
26	и притом не только	1	2
27	смысле этого слова и	1	2
28	в свою очередь есть	1	2
29	на язык как на	1	2
30	и т п и	2	2
31	состоит в том что	4	2
32	в силу того что	2	2
33	в том случае если	3	2
34	и то же слово	1	2
35	и во многих других	1	2
36	говоря уже о том	1	2
37	уже о том что	1	2
38	и т д не	2	2
39	не только в том	1	2
40	что само по себе	1	2
41	но с другой стороны	1	2
42	бы то ни было	1	2
43	обратить внимание на то	2	2
44	то тем самым мы	1	2
45	само по себе не	1	1
46	той мере в какой	6	1
47	состоит не в том	1	1
48	том самом смысле в	1	1
49	история языка должна быть	1	1
50	что в них не	1	1
51	в той мере в	6	1
52	до сих пор еще	1	1
53	не для того чтобы	1	1
54	в том что и	1	1
55	и т п а	2	1
56	только в том случае	2	1
57	лишь тогда когда он	1	1
58	вовсе не то что	1	1
59	не обратив внимания на	1	1
60	вовсе не в том	1	1
61	именно в силу того	1	1
62	предмет лингвистики так же	1	1
63	нужно для того чтобы	1	1
64	а вместе с тем	1	1
65	следует обратить внимание на	1	1
66	по отношению к своему	1	1
67	со своей точки зрения	1	1
68	только о том что	1	1
69	сводится к тому что	1	1
70	для того чтобы определить	1	1
71	не в том чтобы	4	1
72	будто на язык как	1	1
73	том случае если бы	1	1
74	так же невозможно влияние	1	1
75	и вместе с тем	1	1
76	что в языке есть	1	1
77	на более или менее	1	1
78	от присоединения к ним	1	1
79	влияние произвола как невозможно	1	1
80	в том что она	1	1
81	говорят же люди на	1	1
82	зависит не только от	1	1
83	в том что мы	1	1
84	можно себе представить что	1	1
85	еще и потому что	1	1
86	а если так то	1	1
87	в них уже не	1	1
88	лишь в той мере	2	1
89	можно было бы сказать	2	1
90	в том только смысле	1	1
91	и в самом деле	4	1
92	и в том и	1	1
93	произвола как невозможно соловью	1	1
94	значат то что они	1	1
95	для того чтобы устранить	1	1
96	язык как предмет лингвистики	1	1
97	не сам по себе	1	1
98	в живой речи в	1	1
99	не только потому что	3	1
100	и т п но	1	1
101	в большей или меньшей	2	1
102	ответить на этот вопрос	1	1
103	общем смысле этого слова	1	1
104	же невозможно влияние произвола	1	1
105	на язык как предмет	1	1
106	то же что в	1	1
107	имеют для нас значение	1	1
108	в каждом из этих	1	1
109	чтобы ответить на этот	1	1
110	же люди на чужих	1	1
111	несправедливо будто на язык	1	1
112	можно говорить о языке	1	1
113	самом смысле в каком	1	1
114	сами по себе они	1	1
115	совершенно несправедливо будто на	1	1
116	и т д и	3	1
117	в самом деле в	1	1
118	с а а не	1	1
119	и с этой точки	2	1
120	а а не с	1	1
121	лишь в том случае	1	1
122	то это потому что	1	1
123	языка и т д	1	1
124	из уст в уста	1	1
125	в том самом смысле	1	1
126	и т д это	2	1
127	то что они значат	1	1
128	именно в том и	2	1
129	невозможно влияние произвола как	1	1
130	как невозможно соловью поменяться	1	1
131	как предмет лингвистики так	1	1
132	становится для нас менее	1	1
133	на том основании что	1	1
134	точно так же как	3	1
135	д и т д	2	1
136	лингвистики так же невозможно	1	1
137	есть не что иное	1	1
