N	4gram	Bakhtin_KF	slovoVRo
1	в то же время	2	18
2	но в то же	1	7
3	и в то же	1	6
4	во всех своих моментах	2	2
5	ни в чем не	4	2
6	и связанных с ними	1	2
7	до сих пор не	1	2
8	хотя бы и с	1	1
9	не может войти в	1	1
10	каково бы оно ни	1	1
11	и ни в чем	2	1
12	в его целом с	1	1
13	по себе а именно	1	1
14	там где оно не	1	1
15	дело в том что	1	1
16	к единому и единственному	2	1
17	в чем не укорененное	1	1
18	для того или иного	1	1
19	но во всяком случае	1	1
20	как это было показано	1	1
21	бы оно ни было	1	1
22	на своем месте и	1	1
23	от единого и единственного	2	1
24	в том что между	1	1
25	должно признать что в	1	1
26	бы то ни было	2	1
27	он не может быть	1	1
28	включает в себя момент	1	1
29	во всех этих случаях	1	1
30	тем не менее в	1	1
