N	3gram	Bakhtin_fo	PoTuStor
1	с точки зрения	9	6
2	на самом деле	1	4
3	с самого начала	3	4
4	до сих пор	4	3
5	не может быть	4	3
6	в большинстве случаев	2	3
7	в чем не	3	3
8	по сравнению с	3	3
9	во всяком случае	1	3
10	можно сказать что	1	3
11	ни в чем	3	3
12	и пр и	1	3
13	все то что	2	2
14	нечего и говорить	1	2
15	так же как	2	2
16	в нем нет	2	2
17	и может быть	1	2
18	но отнюдь не	1	2
19	по аналогии с	1	2
20	во всех его	1	2
21	о том что	2	2
22	не могут быть	1	2
23	в самом деле	1	2
24	пр и пр	1	2
25	и только для	1	2
26	в его целом	2	2
27	друг на друга	4	2
28	и в этом	2	2
29	из одних и	1	1
30	со всех сторон	2	1
31	остановимся прежде всего	1	1
32	последующей жизни но	1	1
33	сущность этого метода	1	1
34	одних и тех	2	1
35	так и в	1	1
36	все же в	2	1
37	те же что	2	1
38	в том что	4	1
39	друг с другом	5	1
40	и со всеми	1	1
41	и на своей	1	1
42	и связанных с	1	1
43	то что можно	1	1
44	точки зрения может	1	1
45	рано или поздно	1	1
46	и та же	2	1
47	зрения может быть	1	1
48	в этом и	1	1
49	дело в том	2	1
50	той или иной	3	1
51	прежде всего к	1	1
52	вместе с тем	3	1
53	и говорить о	1	1
54	мы уже знаем	1	1
55	но вместе с	1	1
56	лежит на границе	1	1
57	него существует только	1	1
58	как мы сказали	1	1
59	выражение той же	1	1
60	еще совершенно не	1	1
61	для него существует	1	1
62	жизнь с ее	1	1
63	в стадии разложения	1	1
64	прежде всего на	1	1
65	и прежде всего	4	1
66	только для того	1	1
67	в данном случае	2	1
68	мы имеем в	2	1
69	снова и снова	1	1
70	в этот момент	1	1
71	стадии разложения и	1	1
72	же что и	3	1
73	есть прежде всего	1	1
74	тех же элементов	1	1
75	и ту же	1	1
76	в себя и	2	1
77	же как и	2	1
78	со всеми его	2	1
79	мы можем коснуться	1	1
80	имеем в виду	3	1
81	и того же	6	1
82	в философии и	1	1
83	этой точки зрения	1	1
84	и др и	1	1
85	в высшей степени	1	1
86	одну и ту	1	1
87	одна и та	2	1
88	с этой точки	1	1
89	очень важный момент	2	1
90	то же самое	1	1
91	во всем мире	1	1
92	не оставляет никаких	1	1
93	поэтому и не	1	1
94	из того же	1	1
95	с его специфической	1	1
96	для того чтобы	11	1
97	мы еще не	1	1
98	не подлежит конечно	1	1
99	совершенно так же	1	1
100	так как он	2	1
101	в разных местах	1	1
102	можем коснуться лишь	1	1
103	с одной стороны	3	1
104	на первый план	2	1
105	он не был	1	1
106	все снова и	1	1
107	ни внешнего ни	1	1
108	в этом отношении	5	1
109	или во всяком	1	1
110	связи с этим	4	1
111	внешнего ни внутреннего	1	1
112	и тех же	2	1
113	таким образом и	2	1
114	весь остальной мир	1	1
115	вообще не может	1	1
116	его жизни в	1	1
117	в них и	1	1
118	сих пор еще	1	1
119	в основе их	1	1
120	теперь мы должны	1	1
121	и связанные с	1	1
122	во всей последующей	1	1
123	одного и того	6	1
124	наиболее резкое и	1	1
125	в связи с	12	1
126	может быть только	3	1
