N	2gram	Berdyaev_V	FransuaR
1	и в	16	367
2	то есть	1	209
3	в этом	4	112
4	и не	20	101
5	в его	4	98
6	прежде всего	2	92
7	не только	2	87
8	но и	5	84
9	как бы	5	82
10	все эти	3	79
11	вовсе не	1	77
12	как и	4	76
13	в нем	4	75
14	но в	3	75
15	и на	1	72
16	в том	3	71
17	как мы	1	71
18	то же	1	66
19	и все	4	66
20	в них	3	65
21	в этой	1	65
22	так и	4	65
23	и с	1	64
24	во всех	3	62
25	все это	5	62
26	что в	3	52
27	в своем	1	51
28	только в	2	48
29	так как	9	46
30	и до	1	46
31	том что	2	45
32	то что	9	41
33	у него	1	40
34	жизни и	3	40
35	в самом	1	38
36	в ней	4	37
37	с его	3	36
38	он был	1	35
39	может быть	1	35
40	мы видим	1	35
41	в конце	3	32
42	для него	2	32
43	в своей	3	31
44	нового времени	1	31
45	так же	1	30
46	один из	2	30
47	потому что	4	30
48	и потому	7	30
49	никогда не	3	30
50	в духе	2	29
51	в одном	1	29
52	еще не	8	29
53	в этих	3	29
54	что он	4	29
55	не в	3	29
56	и другие	1	27
57	в образах	1	27
58	все же	1	27
59	на части	1	27
60	роль в	1	27
61	но это	3	25
62	мира и	1	25
63	но не	2	24
64	в ее	1	24
65	и от	1	24
66	как в	1	24
67	того чтобы	2	24
68	отношение к	1	24
69	с ним	2	23
70	и для	3	23
71	в их	1	23
72	есть и	1	23
73	к нему	1	23
74	это не	2	23
75	еще и	1	23
76	не было	3	22
77	а в	2	22
78	тем что	2	22
79	что и	3	22
80	вместе с	1	22
81	и во	2	22
82	связь с	1	22
83	в своих	1	21
84	уже в	1	21
85	в себя	2	21
86	что это	1	21
87	ни в	3	21
88	в виду	1	20
89	и это	2	20
90	в образе	4	20
91	во всем	1	19
92	их в	3	19
93	к этому	1	19
94	с другой	1	19
95	хотя и	5	19
96	в форме	2	19
97	одна из	2	18
98	превращается в	3	18
99	весь мир	1	18
100	на этом	1	18
101	это в	1	18
102	и смерти	1	17
103	для того	1	17
104	конечно не	2	17
105	в результате	1	17
106	можно было	2	17
107	но все	1	17
108	и вот	1	17
109	того что	5	17
110	а не	7	17
111	между тем	2	16
112	тот же	3	16
113	ничего не	1	16
114	они не	1	16
115	в которой	1	15
116	не были	1	15
117	и вообще	1	15
118	в истории	8	15
119	в котором	4	14
120	в чем	3	14
121	и по	1	14
122	мы не	2	14
123	все что	4	14
124	земли и	2	14
125	и сам	2	13
126	о мире	1	13
127	что все	4	13
128	его к	2	13
129	мира в	2	13
130	о чем	1	13
131	в жизни	3	13
132	в мире	5	13
133	бы в	1	13
134	и есть	4	13
135	они и	2	13
136	мир и	2	13
137	и эта	1	13
138	другой стороны	1	12
139	не был	1	12
140	и ее	1	12
141	жизни в	1	12
142	у нас	1	12
143	менее всего	1	12
144	в атмосфере	1	12
145	не могут	2	12
146	лишь в	3	12
147	мы слышим	2	12
148	уже не	2	11
149	что они	7	11
150	и что	3	11
151	того как	1	11
152	были в	1	11
153	и так	1	11
154	с ними	1	11
155	между собою	1	11
156	он говорит	1	11
157	на котором	1	10
158	на земле	7	10
159	и они	3	10
160	да и	2	10
161	наших дней	1	10
162	человека и	6	10
163	конце концов	1	10
164	к тому	3	10
165	не просто	1	10
166	в изображении	1	10
167	в процессе	1	10
168	им в	1	10
169	в целом	1	10
170	в разных	1	9
171	как это	1	9
172	был в	1	9
173	в которых	1	9
174	не понимает	1	9
175	это как	1	9
176	что на	1	9
177	говорит о	1	9
178	к жизни	1	9
179	но как	1	9
180	власти и	1	9
181	не имеет	3	9
182	видим что	1	9
183	и то	2	9
184	для нас	2	9
185	конечно в	1	9
186	что не	4	9
187	с этой	1	8
188	людей и	2	8
189	всего в	2	8
190	от этого	3	8
191	с тем	2	8
192	его связь	1	8
193	значение в	1	8
194	от него	2	8
195	перестает быть	1	8
196	мы увидим	1	8
197	после того	1	8
198	они в	3	8
199	превращаются в	2	8
200	но с	1	8
201	это очень	1	8
202	самой жизни	1	8
203	же и	1	7
204	во всяком	2	7
205	себе и	1	7
206	к ним	1	7
207	на него	1	7
208	от них	1	7
209	на том	2	7
210	мы будем	1	7
211	нет ничего	3	7
212	нет и	2	7
213	здесь есть	1	7
214	них и	1	7
215	в виде	1	7
216	но она	1	7
217	и очень	1	7
218	и вечно	2	7
219	в состоянии	1	7
220	так много	2	7
221	и за	2	7
222	смертью и	1	7
223	и если	1	7
224	его не	2	7
225	по этому	3	7
226	жизнь в	1	6
227	не могли	2	6
228	хотя бы	3	6
229	в противоположность	1	6
230	уже и	1	6
231	находится в	1	6
232	является и	1	6
233	веке в	1	6
234	папы и	1	6
235	это одна	1	6
236	для них	2	6
237	его и	2	6
238	у них	1	6
239	мировой истории	1	6
240	истины и	1	6
241	или даже	1	6
242	людей в	3	6
243	и которые	1	6
244	его на	1	6
245	говорить о	4	6
246	до того	2	6
247	не была	1	6
248	ни для	1	6
249	могут быть	2	6
250	времени с	1	6
251	этого слова	1	6
252	ее в	2	6
253	как она	1	6
254	в новом	1	6
255	за то	3	6
256	в искусстве	1	6
257	таким же	1	6
258	в лице	1	6
259	и над	2	5
260	раз и	1	5
261	он так	1	5
262	жизни с	1	5
263	и могли	1	5
264	все в	1	5
265	который был	1	5
266	и самое	1	5
267	вместо того	2	5
268	значения и	2	5
269	сравнению с	1	5
270	по сравнению	1	5
271	но мы	2	5
272	но прежде	1	5
273	и всегда	1	5
274	этой новой	1	5
275	есть не	1	5
276	что было	2	5
277	ко всем	1	5
278	было не	1	5
279	говорит что	1	5
280	свобода и	1	5
281	должно быть	3	5
282	в человеке	1	5
283	этот мир	1	5
284	мире и	1	5
285	вообще в	1	5
286	должна быть	3	5
287	мы в	1	5
288	себя и	1	5
289	свою роль	1	5
290	к миру	1	5
291	в едином	1	5
292	ничем не	1	5
293	бы и	3	5
294	по словам	1	5
295	места в	1	5
296	что мы	4	5
297	человека в	1	5
298	церкви и	1	5
299	в трех	1	5
300	и новые	2	5
301	не к	2	5
302	я не	1	4
303	еще недостаточно	1	4
304	которого они	1	4
305	и своих	1	4
306	ее от	1	4
307	в день	1	4
308	что во	3	4
309	над ним	1	4
310	бы ни	1	4
311	не случайно	1	4
312	если в	1	4
313	в земной	2	4
314	оно не	3	4
315	их и	1	4
316	в словах	1	4
317	это самое	1	4
318	образ и	1	4
319	ее на	1	4
320	мира с	1	4
321	мы и	2	4
322	не так	2	4
323	их было	1	4
324	что человек	1	4
325	стороны в	1	4
326	всегда в	1	4
327	духа в	1	4
328	когда в	2	4
