N	2gram	Berdyaev_O	Sotsiolo
1	все это	6	7
2	в том	5	5
3	в этом	12	5
4	не только	11	3
5	не в	11	3
6	и в	19	3
7	в его	7	3
8	что в	4	2
9	ведь это	2	2
10	то что	5	2
11	том что	2	2
12	как бы	3	2
13	было бы	3	2
14	как будто	1	2
15	в частности	1	2
16	по природе	1	2
17	но и	13	2
18	может быть	11	2
19	и что	1	2
20	и заключается	1	2
21	в конце	1	2
22	должна быть	1	2
23	еще не	3	2
24	а в	5	1
25	что он	3	1
26	науки о	1	1
27	быть не	1	1
28	в силу	1	1
29	на этот	1	1
30	все эти	4	1
31	не было	9	1
32	у которых	1	1
33	и сложность	1	1
34	этом нужно	1	1
35	единственный путь	1	1
36	есть метод	1	1
37	из путей	1	1
38	в своей	2	1
39	во всяком	1	1
40	в мире	1	1
41	и потому	2	1
42	все же	2	1
43	что это	1	1
44	с ним	3	1
45	и более	1	1
46	в этой	5	1
47	и его	4	1
48	всему этому	1	1
49	его собственная	1	1
50	один из	1	1
51	так и	2	1
52	слишком много	1	1
53	в котором	1	1
54	него и	4	1
55	же это	2	1
56	творчества это	1	1
57	и не	13	1
58	всяком случае	1	1
59	он ни	1	1
60	том как	1	1
61	что творчество	1	1
62	и о	2	1
63	но не	1	1
64	может служить	1	1
65	она должна	1	1
66	прежде всего	9	1
67	тем что	2	1
68	что она	1	1
69	тем же	1	1
70	но сам	1	1
71	в каждом	1	1
72	в строгом	1	1
73	а с	1	1
74	же не	1	1
75	в сущности	1	1
76	психологии и	1	1
77	он говорит	1	1
78	его в	2	1
79	в процессе	1	1
80	границы и	1	1
81	вовсе не	1	1
82	о том	3	1
83	мы не	1	1
84	мысли в	1	1
85	в этих	3	1
86	у него	22	1
87	по себе	2	1
88	бы он	1	1
89	и остаются	1	1
90	хотя бы	3	1
91	это не	3	1
92	бы в	1	1
93	вопросом о	2	1
94	никогда не	9	1
95	и есть	3	1
96	не может	4	1
97	и как	1	1
98	и никакая	1	1
99	что все	2	1
100	как и	6	1
101	ничего не	2	1
102	в них	1	1
