N	3gram	Vygotskiy_	UchenyiS
1	в конечном счете	1	4
2	не может быть	5	4
3	то ни было	1	3
4	с другой стороны	5	3
5	в этой области	2	3
6	бы то ни	1	3
7	по нашему мнению	2	3
8	и то что	3	2
9	на каждом шагу	4	2
10	в том что	41	2
11	в самом деле	4	2
12	не могут быть	1	2
13	до сих пор	3	2
14	хотя бы и	2	2
15	тех или иных	1	2
16	в конце концов	1	2
17	то же самое	9	2
18	в этом отношении	9	2
19	но даже и	1	2
20	в этом смысле	7	2
21	он может быть	1	1
22	и формы в	1	1
23	но нам представляется	1	1
24	в первую очередь	2	1
25	друг с другом	10	1
26	и т.д в	1	1
27	сам по себе	2	1
28	так или иначе	1	1
29	содержания и формы	1	1
30	поставить знак равенства	1	1
31	же самое что	1	1
32	в своей совокупности	1	1
33	которые могли бы	1	1
34	не входит в	1	1
35	с тем что	4	1
36	не только к	1	1
37	верно и то	1	1
38	с одной стороны	8	1
39	если бы это	1	1
40	можно сказать что	1	1
41	они относятся к	2	1
42	на первый план	5	1
43	оно все же	1	1
44	все это в	1	1
45	и не только	1	1
46	на то что	5	1
47	является одним из	1	1
48	не только в	1	1
49	более или менее	3	1
50	обе эти тенденции	1	1
51	с другом не	1	1
52	в данном случае	1	1
53	само по себе	3	1
54	о котором говорил	1	1
55	нам думается что	1	1
56	понятий с другой	1	1
57	в этом случае	4	1
58	том что она	1	1
59	в буквальном смысле	1	1
60	и не случайно	1	1
61	он не обладает	1	1
62	все же не	2	1
63	знак равенства между	2	1
64	мы полагаем что	1	1
65	идет не о	1	1
