N	2gram	Tiupa_Vved	formyVre
1	и в	23	148
2	в этом	27	73
3	то есть	13	70
4	в романе	6	58
5	в нем	9	51
6	прежде всего	11	46
7	и не	24	37
8	в его	9	36
9	и его	9	36
10	вовсе не	1	35
11	но и	31	33
12	то же	8	32
13	не только	32	32
14	в литературе	2	32
15	но в	14	31
16	жизни и	8	31
17	так и	14	29
18	времени в	3	27
19	может быть	25	27
20	не в	12	26
21	как мы	5	26
22	как и	21	25
23	как бы	8	25
24	человеческой жизни	4	24
25	точки зрения	1	24
26	только в	9	23
27	в то	5	23
28	времени и	7	23
29	человека в	2	23
30	в том	21	22
31	то что	9	22
32	связи с	2	21
33	во всех	2	21
34	жизни в	5	21
35	же время	4	21
36	все эти	1	21
37	в своем	9	19
38	и др	2	19
39	и на	5	19
40	и для	8	19
41	таким образом	6	18
42	у него	8	18
43	и все	8	18
44	еще не	8	18
45	при этом	43	17
46	те же	2	17
47	в особенности	3	17
48	в пределах	3	17
49	все же	10	16
50	новой жизни	1	16
51	в связи	1	16
52	того же	1	16
53	в основе	6	16
54	и во	2	16
55	и их	1	16
56	не может	14	16
57	в разных	2	15
58	в одном	5	15
59	в них	4	15
60	никогда не	6	15
61	так сказать	2	15
62	с его	1	15
63	в пространстве	1	15
64	вместе с	2	15
65	лишь в	4	15
66	и как	2	14
67	и с	2	14
68	так же	2	14
69	в конце	3	14
70	его жизни	1	14
71	всех этих	1	14
72	а не	31	14
73	как раз	5	14
74	все это	3	14
75	в самом	6	13
76	в котором	11	13
77	для того	1	13
78	во время	3	13
79	с ним	3	13
80	как в	8	13
81	роль в	2	13
82	в их	2	13
83	в частности	19	13
84	того чтобы	2	13
85	а в	15	13
86	же в	3	13
87	и до	1	12
88	не было	5	12
89	он не	6	12
90	отнюдь не	14	12
91	что в	6	12
92	это время	2	12
93	потому что	7	12
94	в истории	1	12
95	ничего не	3	12
96	но не	9	12
97	и наконец	2	12
98	из них	1	11
99	хотя и	10	11
100	его в	1	11
101	между ними	1	11
102	романе в	1	11
103	и у	2	11
104	в образе	1	11
105	смерть и	1	11
106	уже в	2	11
107	мира и	5	11
108	в ней	5	11
109	и времени	2	11
110	уже не	7	10
111	и того	3	10
112	входит в	2	10
113	в ее	1	10
114	также и	6	10
115	на основе	2	10
116	здесь не	2	10
117	тот же	1	10
118	этом мире	1	10
119	и даже	3	9
120	их в	3	9
121	с другой	10	9
122	наряду с	2	9
123	всего в	1	9
124	на протяжении	2	9
125	к себе	2	9
126	и это	2	9
127	могут быть	5	9
128	та же	1	9
129	отношения к	1	9
130	оно не	2	9
131	том что	16	9
132	для него	5	9
133	греческий роман	1	9
134	есть в	2	9
135	жизнь и	1	9
136	одного и	1	9
137	мира в	8	9
138	и к	2	8
139	в результате	5	8
140	в виду	3	8
141	в этих	5	8
142	к тому	9	8
143	но эти	1	8
144	в этот	3	8
145	и т.п	14	8
146	хронотопа в	2	8
147	с одной	9	8
148	в произведении	1	8
149	что и	6	8
150	характер и	1	8
151	в мире	9	8
152	героя и	5	8
153	здесь мы	2	8
154	в роман	1	8
155	и по	3	8
156	один из	3	8
157	в жизни	7	8
158	для себя	2	8
159	со всеми	1	8
160	если бы	10	8
161	в непосредственном	1	8
162	до конца	5	8
163	жизни но	1	8
164	и то	1	8
165	значение в	1	8
166	том числе	1	8
167	во всяком	3	8
168	это не	7	8
169	и прежде	1	8
170	а также	12	8
171	на фоне	3	8
172	и потому	2	8
173	отношение к	5	8
174	отношению к	11	8
175	или иной	5	8
176	себе самому	1	8
177	в целом	4	8
178	в той	5	7
179	еще более	2	7
180	не как	2	7
181	имеет место	6	7
182	между собой	2	7
183	к ним	4	7
184	к этому	3	7
185	из этих	5	7
186	картину мира	5	7
187	в себе	15	7
188	но он	2	7
189	не знает	2	7
190	в форме	1	7
191	с ее	3	7
192	в процессе	1	7
193	например в	2	7
194	поэтому и	1	7
195	и он	4	7
196	себя и	1	7
197	нет ничего	2	7
198	было бы	4	7
199	не могло	2	7
200	в эпизоде	1	7
201	в отличие	11	7
202	том же	1	7
203	у них	3	7
204	того что	7	7
205	мир в	1	7
206	этом отношении	7	7
207	время здесь	1	7
208	отличие от	11	7
209	во времени	2	7
210	место в	2	7
211	все что	3	6
212	с самим	2	6
213	роман в	1	6
214	раскрывается в	1	6
215	именно в	1	6
