N	4gram	Losev_Vlad	Literetu
1	в то же время	7	21
2	не говоря уже о	3	6
3	бы то ни было	1	4
4	в том же году	1	3
5	до тех пор пока	2	2
6	дело в том что	7	2
7	одно и то же	1	2
8	не что иное как	2	1
9	и в частности для	1	1
10	и тем не менее	1	1
11	и не может быть	1	1
12	в том что в	2	1
13	в эти самые годы	1	1
14	нет и не может	1	1
15	вот в чем дело	1	1
16	и в то же	3	1
17	на жизнь как на	1	1
18	и вместе с тем	1	1
19	но дело в том	2	1
20	что в сравнении с	1	1
21	как было сказано в	1	1
22	в том что он	2	1
23	не в том чтобы	1	1
24	а в том чтобы	1	1
25	тех пор пока не	1	1
26	как и следовало ожидать	1	1
27	но в то же	2	1
28	мы имеем дело с	1	1
