N	3gram	Vygotskiy_	Literetu
1	в том что	20	21
2	с одной стороны	6	12
3	не может быть	3	11
4	в данном случае	5	11
5	в отличие от	1	11
6	состоит в том	2	11
7	в конечном счете	1	10
8	так или иначе	1	10
9	о том что	8	10
10	в этом отношении	1	10
11	с точки зрения	11	8
12	с другой стороны	5	7
13	к тому же	2	6
14	из того что	1	6
15	подобно тому как	1	6
16	с этой точки	2	5
17	при этом как	1	5
18	в том чтобы	2	5
19	этой точки зрения	2	5
20	но при этом	1	4
21	по аналогии с	2	4
22	и тем самым	1	4
23	и то что	3	4
24	и т п	7	3
25	в самом деле	29	3
26	ничего общего с	2	3
27	речь идет о	5	3
28	то же самое	12	3
29	только в том	5	3
30	в свою очередь	3	3
31	на то что	16	3
32	на самом деле	3	3
33	в целом ряде	1	3
34	но и не	1	3
35	в зависимость от	1	3
36	во всяком случае	6	3
37	и в частности	1	3
38	тех пор пока	2	2
39	в себя и	1	2
40	говорить на языке	1	2
41	все той же	1	2
42	в первый раз	2	2
43	для того чтобы	17	2
44	в русской поэзии	2	2
45	как и всякое	1	2
46	не так как	1	2
47	и то же	3	2
48	в своем составе	1	2
49	все же в	2	2
50	органической связи с	1	2
51	в разговоре с	1	2
52	и вместе с	3	2
53	а с другой	1	2
54	не только не	3	2
55	потому что не	1	2
56	имел в виду	1	2
57	к тому что	5	2
58	только то что	3	2
59	а не только	1	2
60	не мог бы	1	2
61	может и не	1	2
62	за то что	1	2
63	вместе с тем	3	2
64	тем что в	2	2
65	и в самом	15	2
66	которые могли бы	1	2
67	в виду не	1	2
68	в стихах и	1	2
69	до тех пор	2	2
70	все та же	1	2
71	я не могу	3	2
72	одно и то	3	2
73	в первой половине	1	2
74	можно было бы	6	2
75	в этом случае	1	2
76	несет в себе	3	2
77	не менее важным	1	2
78	на первый взгляд	1	2
79	жизни и в	1	2
80	место в этом	1	2
81	до самого конца	1	1
82	и как раз	1	1
83	жизни а не	1	1
84	а отнюдь не	1	1
85	одного из них	2	1
86	каждого из них	1	1
87	не будь ее	1	1
88	что он не	4	1
89	все то что	13	1
90	как будто бы	1	1
91	например с точки	1	1
92	к тому чтобы	4	1
93	никогда не можем	1	1
94	что в ней	3	1
95	что не может	1	1
96	казалось бы не	1	1
97	то что в	5	1
98	на себя как	1	1
99	в жизни а	1	1
100	с другой из	1	1
101	который может быть	1	1
102	бы не было	1	1
103	не в том	2	1
104	более или менее	1	1
105	слова и когда	1	1
106	о мире и	1	1
107	если бы я	1	1
108	в самый центр	1	1
109	а в том	1	1
110	другой стороны читатель	1	1
111	с тем чтобы	1	1
112	до сих пор	6	1
113	потому что в	2	1
114	все более и	4	1
115	в глубине души	1	1
116	может быть не	2	1
117	в этом и	1	1
118	в такой же	1	1
119	так как у	1	1
120	мы никогда не	1	1
121	не имеет ничего	1	1
122	в зависимости от	1	1
123	и не было	1	1
124	мы находимся в	1	1
125	что он все	1	1
126	в один из	2	1
127	но только в	1	1
128	мы все время	3	1
129	том что в	1	1
130	и того же	1	1
131	в высшей степени	1	1
132	в наше время	2	1
133	как и других	1	1
134	и там где	1	1
135	по этому поводу	1	1
136	в капитанской дочке	1	1
137	но все же	1	1
138	во всей ее	2	1
139	потому что здесь	1	1
140	о том как	3	1
141	одного и того	1	1
142	не более чем	1	1
143	при таком взгляде	1	1
144	и в том	1	1
145	в ней есть	1	1
146	такой же мере	1	1
147	и в этом	6	1
148	а также и	1	1
149	в евгении онегине	2	1
150	к такого рода	1	1
151	есть не более	1	1
152	то есть в	1	1
153	что едва ли	1	1
154	все тот же	2	1
155	кто из них	1	1
156	как бы в	1	1
157	вовсе не является	1	1
158	свое собственное отражение	1	1
159	может быть он	1	1
160	о котором не	1	1
161	так как мы	2	1
162	когда речь идет	1	1
163	в это время	1	1
164	на второй план	1	1
165	том или ином	1	1
166	еще при жизни	1	1
167	как один из	1	1
168	того же самого	2	1
169	то с другой	1	1
170	и к тому	1	1
171	быть определена как	1	1
172	не что иное	1	1
173	более и более	4	1
174	еще раз в	1	1
175	он не может	1	1
176	нет у нас	1	1
177	в своей основе	1	1
178	несмотря на свою	2	1
179	мы узнаем о	1	1
180	как в данном	1	1
181	до какой степени	1	1
182	в лучшем случае	2	1
183	как мы видели	2	1
184	как раз в	3	1
185	может быть определена	1	1
186	и сидя в	1	1
187	и в полном	1	1
188	именно в том	1	1
189	с самого начала	10	1
190	том что он	3	1
191	он не мог	2	1
192	и при этом	1	1
193	то что для	1	1
194	том что они	2	1
195	и в сущности	2	1
196	что иное как	1	1
197	автора и читателя	1	1
198	и не может	1	1
199	при таком ее	1	1
200	это и есть	2	1
201	затруднительное положение в	1	1
202	не только как	1	1
203	мы не можем	2	1
204	что несмотря на	1	1
205	в основе своей	1	1
206	новые и новые	1	1
207	в сущности говоря	10	1
208	может быть и	1	1
