N	3gram	Potebnia_M	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	6	7
3	с точки зрения	3	6
4	во всяком случае	7	6
5	по крайней мере	6	5
6	до сих пор	5	5
7	для того чтобы	4	5
8	более или менее	6	5
9	но все же	2	4
10	о том что	1	4
11	от связи с	1	3
12	в том что	18	3
13	и таким образом	1	3
14	так же как	1	3
15	всяком случае не	1	3
16	главным образом в	1	3
17	в связи с	2	3
18	точно так же	1	3
19	а так как	3	3
20	тем не менее	10	3
21	ничего общего с	1	2
22	и потому что	2	2
23	и связанные с	1	2
24	с тем и	1	2
25	не только для	2	2
26	между этими двумя	1	2
27	то что он	1	2
28	на то что	3	2
29	таким образом в	3	2
30	с самого начала	5	2
31	то ни было	1	2
32	этой точки зрения	1	2
33	заключает в себе	6	2
34	с тех пор	1	2
35	по сравнению с	1	2
36	бы то ни	2	2
37	в этом отношении	1	2
38	то же время	3	2
39	в том виде	1	2
40	в то же	3	2
41	том виде в	1	2
42	с этой точки	2	2
43	но и для	2	2
44	друг на друга	2	2
45	и в этом	7	2
46	вместе с другими	1	1
47	мы видели что	2	1
48	но совершенно ясно	1	1
49	не должны быть	1	1
50	сами по себе	8	1
51	так и в	5	1
52	на каждом шагу	1	1
53	нельзя сказать чтобы	1	1
54	мы видели выше	1	1
55	но при этом	1	1
56	в первом случае	1	1
57	природы но и	1	1
58	притом не только	2	1
59	с тем с	1	1
60	потому что в	5	1
61	не потому что	1	1
62	все более и	2	1
63	в свою очередь	8	1
64	в одном и	3	1
65	и тот же	1	1
66	а между тем	5	1
67	не только не	2	1
68	смысле этого слова	3	1
69	может и не	1	1
70	и том же	3	1
71	том что все	1	1
72	и сами по	3	1
73	не воплощается в	1	1
74	между человеком и	3	1
75	то не только	1	1
76	тем что в	1	1
77	но когда мы	1	1
78	не может быть	11	1
79	по отношению к	13	1
80	не менее продолжает	1	1
81	что в таком	2	1
82	и все же	1	1
83	не только от	1	1
84	таком случае эта	1	1
85	а потому что	2	1
86	в отличие от	1	1
87	и не могут	1	1
88	а в том	4	1
89	виде в каком	1	1
90	после того как	3	1
91	только в одном	1	1
92	в отвлеченные понятия	1	1
93	но все они	1	1
94	и того же	6	1
95	что касается до	2	1
96	один и тот	1	1
97	на задний план	1	1
98	не более как	3	1
99	мы можем знать	1	1
100	отвлеченные понятия и	1	1
101	с тем что	4	1
102	с тем какое	1	1
103	психологической точки зрения	1	1
104	в таком случае	4	1
105	или по крайней	2	1
106	не потому только	1	1
107	в общих чертах	1	1
108	видели выше что	1	1
109	каждая из этих	1	1
110	в одном из	2	1
111	но и потому	1	1
112	указывает на то	1	1
113	а следовательно и	1	1
114	но с другой	3	1
115	их отношение к	1	1
116	по-видимому и в	1	1
117	несмотря на все	1	1
118	таким образом уже	1	1
119	только то что	1	1
120	лицом к лицу	1	1
121	в чем именно	1	1
122	в славянских и	1	1
123	потому только что	1	1
124	для этого в	1	1
125	и в этой	1	1
126	с другой стороны	7	1
127	и выйти из	1	1
128	между нами и	1	1
129	тем и другим	1	1
130	с психологической точки	1	1
131	по всей вероятности	2	1
132	но тем не	6	1
133	человеком и животным	1	1
134	о том как	1	1
135	не в том	6	1
136	духовную жизнь народа	1	1
137	напрасно было бы	2	1
138	по тому же	1	1
139	одном и том	3	1
140	в каком он	1	1
141	к лицу с	1	1
142	не совпадает с	1	1
143	в то время	3	1
144	при этом не	2	1
145	только тогда когда	5	1
146	на высших степенях	1	1
147	могло бы быть	1	1
148	более и более	2	1
149	что и в	4	1
150	выйти из этого	1	1
151	одного из своих	1	1
152	еще и потому	1	1
153	все же есть	1	1
154	одного и того	6	1
155	сравнению с другими	1	1
156	на все усилия	1	1
157	и проч которые	1	1
158	друг к другу	1	1
