N	4gram	Losev_Prob	FransuaR
1	в то же время	1	55
2	но в то же	2	20
3	в том числе и	1	17
4	дело в том что	4	13
5	в той или иной	2	10
6	и до сих пор	1	6
7	не подлежит никакому сомнению	1	5
8	то же время это	1	5
9	в связи с этим	1	4
10	не что иное как	3	3
11	в коем случае нельзя	1	2
12	до нас не дошло	1	2
13	а с другой стороны	3	2
14	все более и более	1	2
15	здесь как и во	1	2
16	бы то ни было	2	2
17	ни в коем случае	3	2
18	дело здесь не в	1	2
19	и с точки зрения	1	2
20	одним и тем же	1	2
21	что на самом деле	1	1
22	с точки зрения тех	1	1
23	это уже не просто	1	1
24	в нем не только	1	1
25	вопрос о том как	1	1
26	во всяком случае не	1	1
27	том числе и в	1	1
28	в том что в	1	1
29	о том что он	1	1
30	в то время как	4	1
31	в своей вступительной статье	1	1
32	но все такого рода	1	1
33	в своей книге о	1	1
34	у нас и нет	1	1
35	свидетельствует о том что	1	1
36	он смотрит и на	1	1
37	является одним из самых	1	1
38	о том что даже	1	1
39	с одной стороны он	1	1
40	в одном и том	1	1
41	был в этом отношении	1	1
42	той или иной мере	2	1
43	не обходится и без	1	1
44	одном и том же	1	1
45	и вместе с тем	2	1
46	по отношению к людям	1	1
47	заключается в том чтобы	1	1
48	не может быть никакой	1	1
49	имеет ничего общего с	1	1
50	дело не обходится и	1	1
51	в области художественного творчества	1	1
52	с другой стороны он	1	1
53	для того чтобы освободиться	1	1
54	в средневековой литературе мы	1	1
55	состоит в том что	1	1
56	в этом отношении не	1	1
57	в настоящее время можно	1	1
58	в силу того что	1	1
59	в других местах и	1	1
60	при виде того как	1	1
61	и почти во всех	1	1
62	и после того как	1	1
63	ни в чем не	2	1
64	все эти и подобные	1	1
65	в этом виде он	1	1
66	и ни к какому	1	1
67	эти и подобные им	1	1
68	в новое время это	1	1
69	не чем иным как	3	1
70	не имеет ничего общего	2	1
71	в том что он	2	1
72	как и во всяком	1	1
73	однако было бы нелепостью	1	1
74	и в средние века	1	1
75	в одной из своих	1	1
76	который в свою очередь	1	1
77	вместе с тем он	1	1
78	еще и до сих	1	1
