N	3gram	Voloshinov	KFilosof
1	не может быть	3	11
2	с точки зрения	6	10
3	в его целом	2	10
4	может быть только	1	7
5	ни в чем	3	4
6	в чем не	3	4
7	в этом смысле	3	3
8	на самом деле	4	3
9	в нем и	1	3
10	и в этом	2	3
11	то что я	1	2
12	в том что	1	2
13	той или иной	1	2
14	ничего общего не	1	2
15	и может быть	2	2
16	имеем в виду	1	2
17	и ни в	1	2
18	и та же	1	2
19	уже не может	1	2
20	он может быть	1	2
21	то ни было	1	2
22	на своем месте	1	2
23	одна и та	1	2
24	бы то ни	1	2
25	быть не может	1	1
26	в этот момент	1	1
27	не имеет места	1	1
28	ориентируется в нем	1	1
29	своем месте и	1	1
30	со всем его	1	1
31	изнутри ее самой	1	1
32	и теряет свою	1	1
33	вместе с тем	1	1
34	моей жизни и	1	1
35	в конечном счете	2	1
36	во всяком случае	3	1
37	в большинстве случаев	3	1
38	в том смысле	1	1
39	в себя и	1	1
40	то же самое	1	1
41	во всех его	2	1
42	оно ни было	1	1
43	для того чтобы	1	1
44	сводится к следующему	1	1
45	биологический и психологический	1	1
46	форму и содержание	1	1
47	в него т.е	1	1
48	вытекает из предшествующего	1	1
49	и входит в	1	1
50	и пр и	3	1
51	он не дает	1	1
52	одного и того	1	1
53	со всех сторон	1	1
54	и на своем	1	1
55	как это было	1	1
56	и связанных с	1	1
57	до сих пор	3	1
58	дело в том	1	1
59	в единую ткань	1	1
60	в нем нет	2	1
61	но отнюдь не	2	1
62	конечно не может	1	1
63	в основных чертах	1	1
64	не может иметь	1	1
65	все что есть	1	1
66	с ним и	1	1
67	и того же	1	1
68	том что мы	1	1
69	зависит от того	1	1
70	она может быть	1	1
71	и говорить о	1	1
72	что может быть	1	1
73	на этом пути	1	1
74	и только для	2	1
75	бы оно ни	1	1
76	это и есть	1	1
77	его жизни в	1	1
78	связанных с ними	2	1
79	мы не можем	1	1
80	свой смысл и	1	1
