N	4gram	Trubetskoy	Mirosoze
1	в то время как	1	4
2	одной и той же	1	3
3	в том что он	1	3
4	и в конце концов	1	2
5	что до сих пор	2	1
6	в том случае если	4	1
7	все другие народы мира	1	1
8	в то же время	2	1
9	и не может быть	1	1
10	не может не быть	1	1
11	и в нем не	1	1
12	с психологической точки зрения	1	1
13	а это было бы	1	1
14	то время как другие	1	1
15	а может быть и	1	1
16	указывают на то что	2	1
17	а между тем в	1	1
18	о том что все	1	1
19	в тех случаях когда	1	1
20	в том что все	1	1
21	до сих пор не	5	1
22	в том что оно	1	1
