N	3gram	Losev_Vlad	Vvedenie
1	и т д	3	39
2	для того чтобы	3	22
3	в том что	13	15
4	о том что	9	13
5	не может быть	4	10
6	в этом смысле	4	10
7	тем не менее	8	9
8	в самом деле	1	6
9	к выводу что	1	6
10	в то же	7	6
11	в этом случае	1	6
12	то же время	7	6
13	в том чтобы	4	5
14	не что иное	2	5
15	что иное как	2	5
16	с другой стороны	3	5
17	во всяком случае	8	5
18	и в том	2	4
19	по крайней мере	1	4
20	и в особенности	1	4
21	так или иначе	3	4
22	само по себе	1	4
23	не только в	3	4
24	но все же	1	4
25	с одной стороны	1	4
26	в этом отношении	2	4
27	и в этом	1	4
28	не только как	1	4
29	и тем не	1	3
30	вместе с тем	2	3
31	заключается в том	1	3
32	в свое время	6	3
33	можно сказать что	3	3
34	дело в том	7	3
35	но в то	2	3
36	как мы видели	1	3
37	и то что	7	3
38	есть не что	1	3
39	с тем что	1	3
40	также и в	2	3
41	по этому поводу	2	3
42	в том виде	1	3
43	в принципиальном отношении	1	3
44	или иначе но	2	2
45	в свою очередь	2	2
46	не в том	3	2
47	и потому что	3	2
48	мы уже знаем	1	2
49	но вместе с	1	2
50	в значительной мере	1	2
51	со стороны своих	1	2
52	что же касается	8	2
53	это не только	1	2
54	и той же	1	2
55	на котором он	1	2
56	и то же	1	2
57	как мы уже	3	2
58	не говоря уже	3	2
59	сам по себе	1	2
60	т д в	1	2
61	смысле этого слова	1	2
62	в конце концов	6	2
63	одно и то	1	2
64	одной и той	1	2
65	точно так же	2	2
66	что в нем	1	2
67	что в этом	1	2
68	имеет дело с	1	2
69	в связи с	7	2
70	во второй половине	3	2
71	к этому времени	3	2
72	что даже и	1	2
73	уже не только	2	2
74	после того как	2	2
75	что несмотря на	1	2
76	а также и	2	2
77	может быть и	1	2
78	тех пор пока	2	1
79	тех времен когда	1	1
80	вместе с ростом	1	1
81	что можно назвать	1	1
82	в том же	3	1
83	в том как	1	1
84	брокгауза и ефрона	1	1
85	учиться и что	1	1
86	независимо и от	1	1
87	как мы знаем	3	1
88	точки зрения можно	1	1
89	как это было	1	1
90	по вопросу о	1	1
91	все равно не	1	1
92	выводу что и	1	1
93	не в этом	1	1
94	и в дальнейшем	1	1
95	это впрочем не	1	1
96	и без того	1	1
97	дело не в	1	1
98	что не только	1	1
99	в своей работе	1	1
100	его отношение к	1	1
101	да и что	1	1
102	приходит к выводу	1	1
103	и не в	1	1
104	и есть тот	1	1
105	в высшей школе	1	1
106	в том числе	1	1
107	все что может	1	1
108	у него в	2	1
109	в подлинном смысле	1	1
110	совсем не то	1	1
111	пор пока не	1	1
112	более или менее	5	1
113	до тех пор	2	1
114	что на этот	1	1
115	сообщение о том	1	1
116	том виде в	1	1
117	а кроме того	1	1
118	эта наука не	1	1
119	словаря брокгауза и	1	1
120	говоря уже о	3	1
121	нужно сказать что	1	1
122	уже потому что	1	1
123	не было бы	1	1
124	хотя бы на	2	1
125	потому что она	1	1
126	но в общем	2	1
127	и в конце	2	1
128	то что можно	1	1
129	и в более	1	1
130	о том насколько	1	1
131	потому что в	2	1
132	он был в	1	1
133	не потому что	1	1
134	но что такое	1	1
135	для которых он	1	1
136	сказать что в	1	1
137	того что в	1	1
138	в настоящее время	2	1
139	энциклопедического словаря брокгауза	1	1
140	с этой стороны	1	1
141	при жизни а	1	1
142	чем та которая	1	1
143	по поводу того	1	1
144	большой интерес представляет	1	1
145	как раз в	1	1
146	то что этот	1	1
147	уже и в	1	1
148	во многих случаях	1	1
149	том что в	3	1
150	в сравнении с	2	1
151	сказать что он	1	1
152	до него в	1	1
153	и никогда не	1	1
154	по себе не	1	1
155	а в том	3	1
156	уже после смерти	2	1
157	виде в каком	1	1
158	но во всяком	1	1
159	том что он	4	1
160	может быть названа	1	1
161	в котором можно	1	1
162	на свои вопросы	1	1
163	не менее не	1	1
164	то ни было	1	1
165	также и то	3	1
166	не может не	1	1
167	ответа на свои	1	1
168	правда в очень	1	1
169	то обстоятельство что	2	1
170	о человеке и	1	1
171	то что у	2	1
172	к тому что	1	1
173	еще и потому	2	1
174	только то что	1	1
175	лицом к лицу	1	1
176	притом не только	1	1
177	в таких случаях	1	1
178	было вполне естественно	1	1
179	бы то ни	2	1
180	между прочим и	2	1
181	как уже сказано	1	1
182	не то что	2	1
183	было бы с	1	1
184	только в формах	1	1
185	может быть никакой	1	1
186	в истории русской	1	1
187	то что в	1	1
188	так как в	1	1
189	на эту тему	2	1
190	уже о том	1	1
191	имеем дело с	1	1
192	только с помощью	1	1
193	по истории и	1	1
194	мы имеем дело	1	1
