N	3gram	Tiupa_Disk	VrazhdaK
1	и все же	3	5
2	то же время	9	4
3	в то же	7	4
4	в русской литературе	2	3
5	в связи с	1	3
6	в том что	18	2
7	не может быть	5	2
8	с точки зрения	3	2
9	что к этому	1	1
10	тем самым он	1	1
11	но при этом	3	1
12	в котором он	1	1
13	в этот период	1	1
14	в свою очередь	3	1
15	каждый из них	2	1
16	же время и	2	1
17	далеко не все	1	1
18	героя нашего времени	1	1
19	одно и то	2	1
20	речь идет о	2	1
21	равно как и	1	1
22	он сам в	1	1
23	он как бы	1	1
24	о том как	1	1
25	на то что	1	1
26	и в то	2	1
27	в соответствии с	4	1
28	не только от	1	1
29	по крайней мере	3	1
30	в этом смысле	1	1
31	заключается в том	1	1
32	а с другой	4	1
33	нельзя не учитывать	1	1
34	хотя в нем	1	1
35	и то что	2	1
36	о том что	8	1
37	но и от	1	1
38	при этом он	1	1
39	основания предполагать что	1	1
40	до сих пор	1	1
41	но в этом	1	1
42	в это время	1	1
43	в е годы	2	1
44	или по крайней	1	1
45	во всяком случае	2	1
46	тем не менее	1	1
47	уже в конце	1	1
48	начале х годов	1	1
49	едва ли не	2	1
50	с другой стороны	4	1
51	в известном смысле	1	1
52	в начале х	2	1
53	то что они	1	1
54	это и есть	1	1
55	на первый взгляд	1	1
56	в записках охотника	2	1
57	и то же	2	1
58	отличается не только	1	1
59	рассказ о том	1	1
60	тем что он	2	1
61	но не менее	1	1
62	в этом отношении	4	1
63	и не может	3	1
64	что этот человек	1	1
65	х годов в	1	1
