N	3gram	Losev_Dial	SlovoVZh
1	не может быть	12	7
2	можно сказать что	1	5
3	в том что	12	4
4	то ни было	1	3
5	до сих пор	1	3
6	этой точки зрения	4	3
7	и не в	1	3
8	это как бы	1	3
9	бы то ни	2	3
10	имеет в виду	1	3
11	тем не менее	10	3
12	и не может	1	3
13	имеем в виду	1	2
14	на самом деле	1	2
15	одной стороны и	1	2
16	в жизни и	1	2
17	то же самое	1	2
18	с этой стороны	1	2
19	одно и то	2	2
20	в данном случае	3	2
21	мы никогда не	1	2
22	в зависимости от	3	2
23	с одной стороны	3	2
24	с другой стороны	3	2
25	и то же	2	2
26	зависит от того	1	2
27	с точки зрения	25	2
28	в такой же	1	2
29	со всех сторон	1	1
30	этом смысле она	1	1
31	сам по себе	6	1
32	сами по себе	3	1
33	в нашем случае	1	1
34	и таким образом	1	1
35	о том что	6	1
36	как одно из	1	1
37	включает в себя	1	1
38	в самом деле	6	1
39	даже тогда когда	1	1
40	бьют мимо цели	1	1
41	совершенно ясно что	1	1
42	жизни и уже	1	1
43	хотя бы только	2	1
44	не менее эта	1	1
45	по себе не	1	1
46	и в частности	2	1
47	мы это уже	1	1
48	и та же	3	1
49	что мы имеем	1	1
50	как и в	3	1
51	они должны быть	1	1
52	том что все	1	1
53	может находиться в	1	1
54	как мы уже	1	1
55	сама по себе	11	1
56	не только его	2	1
57	ни в коем	4	1
58	но прежде всего	1	1
59	во всяком случае	3	1
60	о том кто	1	1
61	самом же деле	1	1
62	в коем случае	4	1
63	и независимо от	1	1
64	но в то	1	1
65	она не может	1	1
66	так можно сказать	1	1
67	если же оно	1	1
68	в лучшем случае	2	1
69	как на нечто	1	1
70	и ее истории	1	1
71	равно как и	2	1
72	не может находиться	1	1
73	только то что	1	1
74	подобно тому как	5	1
75	и что она	2	1
76	в своем движении	1	1
77	с самого начала	1	1
78	на самом же	1	1
79	в конечном счете	1	1
80	же как и	1	1
81	одна и та	3	1
82	так как будто	1	1
83	то что мы	3	1
84	она в самом	1	1
85	в основе своей	1	1
86	и делает его	1	1
87	не нужно думать	1	1
88	в этом отношении	2	1
89	но зато она	1	1
90	так же как	2	1
91	то же время	3	1
92	далеко не всегда	1	1
93	точки зрения уже	1	1
94	тех или иных	2	1
95	так и к	1	1
96	оно по природе	1	1
97	не должно быть	2	1
98	и прежде всего	6	1
99	более или менее	1	1
100	во всех языках	1	1
101	в то же	3	1
102	мы имеем в	1	1
103	в чем не	1	1
104	то время как	6	1
105	том что в	1	1
106	мы имеем дело	1	1
107	но если бы	1	1
108	и в этом	4	1
109	по крайней мере	10	1
110	ни в чем	2	1
111	по самому существу	1	1
112	может быть ни	1	1
113	уже не есть	1	1
114	в то время	6	1
115	что мы воспринимаем	2	1
116	в этом смысле	1	1
117	того что именно	3	1
118	нужно думать что	1	1
119	ровно ничего не	8	1
120	уже не может	1	1
121	того кто является	1	1
122	мы уже сказали	2	1
123	к тому же	2	1
124	может быть только	1	1
