N	4gram	Tiupa_Anal	Russkaja
1	в то же время	7	10
2	в том случае если	1	3
3	лишь в том случае	1	2
4	и вместе с тем	1	2
5	бы то ни было	3	1
6	при таком взгляде на	1	1
7	аспекта одного и того	1	1
8	и в этом случае	1	1
9	друг с другом в	1	1
10	заключается в том что	1	1
11	его можно было бы	1	1
12	но в то же	2	1
13	как и следовало ожидать	1	1
14	во всех этих случаях	1	1
15	в том числе и	1	1
16	той или иной культурной	1	1
17	может и должно быть	1	1
18	несмотря на то что	1	1
19	одного и того же	2	1
20	и не может быть	4	1
