N	3gram	Bakhtin_sl	Istorich
1	и т д	7	142
2	в этих случаях	1	47
3	с другой стороны	5	46
4	мы видим что	1	30
5	до сих пор	4	30
6	в этом случае	4	29
7	с одной стороны	7	28
8	в том что	4	25
9	не может быть	11	24
10	но все же	1	23
11	тем не менее	2	23
12	о том что	2	22
13	мы имеем в	1	19
14	не только в	3	19
15	в связи с	2	17
16	мы видели что	1	16
17	в данном случае	3	15
18	по отношению к	2	14
19	за тридевять земель	1	14
20	на то что	1	14
21	в то время	2	13
22	мы увидим что	1	13
23	то время как	2	13
24	но и в	2	12
25	как мы видели	2	12
26	всех этих случаях	1	11
27	во всех этих	2	11
28	как и в	2	10
29	можно было бы	2	10
30	друг с другом	2	9
31	более или менее	5	9
32	в зависимости от	4	8
33	в большинстве случаев	11	7
34	во всяком случае	7	7
35	что он не	1	7
36	если бы мы	1	7
37	но это не	1	6
38	этой точки зрения	1	6
39	с этой точки	1	6
40	с самого начала	1	6
41	мы не можем	1	6
42	том что в	1	5
43	на задний план	1	5
44	для того чтобы	1	5
45	мы еще не	1	5
46	для наших целей	1	5
47	в отличие от	12	5
48	со всех сторон	1	5
49	в нем и	1	5
50	в других случаях	2	5
51	в том числе	1	5
52	до наших дней	1	5
53	так и в	5	5
54	чем перейти к	1	4
55	влечет за собой	1	4
56	так или иначе	1	4
57	не только на	2	4
58	только в одном	1	4
59	там где уже	1	4
60	на своем пути	1	4
61	и может быть	1	4
62	с точки зрения	11	4
63	там где нет	1	4
64	обстоит дело с	1	4
65	иметь в виду	1	4
66	связи с изучением	1	4
67	сами по себе	1	4
68	можно сказать что	1	4
69	и в особенности	5	4
70	а иногда и	1	4
71	одной стороны и	2	3
72	все то что	1	3
73	как один из	1	3
74	и то же	2	3
75	не только не	2	3
76	к тому что	2	3
77	в одном из	1	3
78	даже там где	1	3
79	не только по	1	3
80	дело в том	1	3
81	мы уже говорили	1	3
82	в другом случае	3	3
83	у него есть	1	3
84	в средние века	1	3
85	но и на	1	3
86	исключают друг друга	1	3
87	не исключают друг	1	3
88	и др все	1	3
89	не могло быть	1	3
90	то ни было	1	3
91	бы то ни	1	3
92	сих пор не	2	3
93	таким образом в	4	3
94	но и здесь	3	3
